QuestionID,CASCADE,CASCADE+BERT,CASCADE+COUNTER,MCAN,MCAN+BERT,MCAN+ROBERTA,MCAN+ALBERT,PANOPTIC
131108002,no,yes,yes,yes,yes,no,yes,yes
393254000,nothing,i don't know,nothing,nothing,no,fire,no,
393254001,bus,bus,bus,van,truck,truck,van,bus
393254002,background,background,background,background,background,background,background,background
42000,blue,red,red,black,black,black,white,red
42001,yes,yes,yes,yes,yes,yes,yes,yes
42002,red,red,red,red,red,red,red,red
131115000,yes,yes,yes,yes,yes,yes,yes,yes
131115001,yes,no,no,no,no,no,no,yes
131115002,3,3,3,3,3,2,3,3
262189000,1,2,2,3,3,5,3,4
262189001,blue,blue,blue,yellow,blue,blue,green,blue
262189002,yes,1 way,1 way,no,no,no,yes,no
393266000,red,red,red,orange,red,red and yellow,red,red
393266001,right,no,no,right,right,right,right,right
393266002,green,green,green,green,green,green,green,green
393267000,white,black,white,pink,black,pink,pink,white
393267001,wine,wine,wine,wine,wine,wine,wine,wine
393267002,party,cold,yes,cold,cold,cold,cold,party
393267003,wine tasting,party,party,party,party,party,party,party
262197000,3,1,2,0,2,0,1,3
262197001,brown,brown,brown,brown,brown,brown,brown,brown
262197002,yes,no,no,yes,yes,yes,yes,no
262197003,no,no,no,yes,yes,yes,yes,no
262197004,no,yes,no,no,no,no,no,yes
262197005,3,3,3,5,6,4,5,20
262197006,no,no,no,no,no,no,no,no
262197007,0,0,0,0,0,0,0,0
262197008,2,2,2,3,2,3,1,2
262197009,nothing,backpack,backpack,backpack,backpack,backpack,backpack,nothing
262197010,0,1,1,1,1,2,1,1
262197011,brown,brown,brown,brown,brown,brown,brown,brown
393271000,no,no,no,yes,no,no,no,no
393271001,yes,yes,yes,no,yes,no,yes,yes
393271002,8,7,8,8,7,9,9,6
262200000,yes,no,yes,no,no,no,no,no
262200001,birthday,birthday,birthday,birthday,birthday,birthday,birthday,birthday
262200002,woman,girl,girl,child,child,baby,child,child
393274000,train,train,train,train,train,train,train,train
393274001,no,no,no,no,no,no,no,no
393274002,yes,yes,no,yes,yes,yes,yes,no
393274003,shadow,train,train,train,train,train,train,train
393274004,bridge,building,building,fence,building,building,metal,building
393274005,no,no,yes,no,no,no,no,no
393274006,yes,no,no,no,yes,no,yes,no
393274007,yes,yes,yes,no,no,no,no,no
131131000,tabby,tabby,tabby,tabby,tabby,tabby,tabby,tabby
131131001,nothing,nothing,nothing,nothing,nothing,cat,nothing,nothing
131131002,1,2,2,1,2,2,2,1
393277000,no,no,no,no,no,no,no,yes
393277001,clock,man,man,clock tower,clock tower,clock tower,man,tower
393277002,yes,no,no,no,yes,yes,yes,no
393277003,2000,2010,1950,2010,2000,2000,2000,2000
393277004,blue,blue,blue,blue,blue,blue,blue,blue
393277005,no,noon,2,noon,12:00,noon,noon,noon
393277006,no,no,no,no,no,no,no,no
393277007,yes,yes,yes,yes,yes,yes,yes,yes
393277008,sunny,sunny,clear,clear,clear,sunny,clear,sunny
393277009,brown,white,brown,gray,white,white,gray,gray
393277010,noon,noon,2,noon,noon,noon,noon,noon
393277011,no,no,yes,no,no,no,no,no
393277012,big ben,big ben,big ben,big ben,big ben,big ben,big ben,big ben
393277013,no,no,no,no,no,no,no,no
393277014,yes,no,yes,yes,no,no,no,no
393277015,brown,gray,gray,gray,gray,brown,gray,gray
393277016,clock,clock,clock,clock,clock,clock,clock,clock
393282000,yes,yes,yes,yes,no,no,yes,no
393282001,2,3,3,2,3,2,2,2
393282002,yes,no,yes,no,yes,yes,no,no
393282003,3,2,3,2,3,2,2,2
393282004,no,yes,yes,no,yes,no,no,yes
393282005,yes,zoo,zoo,shade,zoo,no,no,yes
393282006,no,no,yes,no,yes,yes,no,no
393282007,yes,yes,yes,no,no,no,no,no
393282008,tree,tree,tree,trees,nothing,dirt,dirt,tree
393282009,2,2,3,2,2,2,2,2
393282010,africa,zoo,africa,africa,africa,zoo,zoo,africa
393282011,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes
393284000,no,no,no,no,no,no,no,no
393284001,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard
393284002,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding
393284003,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding
393284004,yes,yes,yes,yes,yes,yes,yes,yes
393284005,yes,yes,no,no,no,yes,yes,yes
393284006,no,no,no,no,no,no,no,no
393284007,no,no,no,yes,no,yes,yes,yes
393284008,jacket,jacket,jacket,jacket,snowsuit,snowboard,jacket,jacket
393284009,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding
393284010,stripes,stripes,camo,0,0,0,0,0
393284011,yes,yes,yes,yes,yes,yes,yes,yes
393284012,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding,snowboarding
393284013,snowboarder,snowboarder,snowboarder,snowboarder,snowboarder,snowboarder,snowboarder,snowboarder
393284014,yes,yes,yes,yes,yes,yes,yes,yes
393284015,blue,blue,blue,red,red,red,red,red
393288000,office,store,office,church,church,church,church,church
393288001,red,green,green,gray,gray,black,gray,green
393288002,white,white,white,red,red,red,red,red
393288003,street,street,street,street,street,street,street,street
393288004,building,car,cars,church,car,church,church,building
524361000,fence,basket,outside,bench,fence,bench,bench,tree
524361001,1,1,1,2,1,2,2,1
524361002,gray,gray,gray,gray,gray,gray,gray,gray
74000,yes,yes,yes,yes,yes,yes,no,yes
74001,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk
74002,standing,walking,standing,sleeping,sleeping,sleeping,laying down,walking
131152000,yes,no,no,yes,yes,yes,yes,yes
131152001,small,small,small,small,small,small,small,small
131152002,4,4,5,4,4,4,4,3
131152003,yes,yes,yes,yes,yes,yes,yes,yes
262227000,no,no,yes,no,no,no,no,no
262227001,store,0,0,exit,stop,no parking,exit,0
262227002,no,yes,yes,yes,yes,yes,yes,no
262227003,red,red,red,red,white,red,red,yellow
262228000,brick,brick,brick,brick,brick,brick,brick,concrete
262228001,safety,safety,safety,safety,safety,yes,yes,safety
262228002,bicycles,bicycles,bicycles,bicycles,bikes,bicycles,bicycles,bikes
262228003,no,no,no,no,no,yes,yes,no
262228004,pole,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk,sidewalk
262228005,bike,snow,snow,bike,bike,bike,bike,bike
262229000,ball,ball,ball,nothing,nothing,soccer ball,nothing,ball
262229001,soccer,soccer,soccer,soccer,soccer,soccer,soccer,soccer
262229002,no,no,no,no,no,yes,no,no
262229003,3,1,2,0,1,0,0,1
262229004,men,women,men,women,women,women,women,women
262229005,hats,hats,hat,headband,headband,headband,headband,hats
262229006,soccer,soccer,soccer,soccer,soccer,soccer,soccer,soccer
131159000,car,sidewalk,sidewalk,car,car,bench,seat,yes
131159001,no,no,no,no,no,no,no,no
131159002,brown,brown,brown,yellow,yellow,yellow,yellow,yellow
262235000,smile,smile,smile,smile,smile,smile,smile,smile
262235001,blinds,glass,glass,curtain,curtain,curtains,curtains,curtain
262235002,clear,natural,pink,clear,clear,clear,clear,clear
262235003,necklace,necklace,necklace,necklace,necklace,necklace,necklace,necklace
262235004,man,woman,woman,woman,woman,woman,woman,woman
262235005,woman,woman,woman,woman,woman,woman,woman,woman
262235006,talking on phone,talking on phone,talking on phone,talking on phone,talking on phone,talking on phone,talking on phone,talking on phone
524382000,don't know,collie,collie,0,beagle,lab,beagle,unknown
524382001,fence,fence,fence,fence,fence,fence,fence,fence
524382002,no,no,no,no,no,no,no,no
262242000,hand,hand,hand,hand,hand,hand,hand,hand
262242001,people,lines,people,fence,net,net,nothing,fence
262242002,yes,yes,yes,yes,yes,yes,yes,yes
262242003,blue,green,green,green,green,green,green,green
262242004,no,no,no,no,no,no,no,no
262242005,yes,yes,yes,no,no,no,no,yes
262242006,no,no,yes,no,no,no,no,no
262242007,no,yes,no,yes,yes,yes,no,no
262242008,no,yes,yes,no,no,no,no,no
131171000,yes,yes,yes,no,no,yes,yes,no
131171001,2,2,2,2,2,2,1,2
131171002,no,no,no,no,no,no,yes,yes
262161000,2,2,2,2,1,1,2,2
262161001,no,yes,yes,no,no,yes,no,no
262161002,yes,yes,yes,yes,yes,yes,yes,yes
262161003,light,road,platform,grass,grass,grass,grass,kickstand
262161004,motorcycle,yes,yes,yes,yes,yes,yes,motorcycle
262161005,motorcycle,yes,yes,yes,yes,yes,yes,yes
262161006,harley,honda,honda,honda,honda,honda,bmw,honda
262161007,black,red,black,green,green,silver,green,green
262161008,single,single,double,single,double,single,single,single
262161009,yes,yes,no,yes,yes,yes,no,yes
262161010,car,people,people,car,car,surfboard,car,car
262161011,red,red,red,green,green,green,green,green
262161012,3,3,6,2,3,2,3,2
262161013,motorcycle,motorcycle,motorcycle,red,yes,motorcycle,motorcycle,motorcycle
262161014,yes,yes,yes,yes,yes,yes,yes,no
262161015,black,black,black,black,black,black,black,black
262161016,police,police,motorcycle,motorcycle,police,motorcycle,motorcycle,0
262161017,yes,yes,yes,yes,yes,yes,yes,yes
262161018,1,1,2,1,1,1,0,0
262161019,harley,honda,honda,harley,honda,bmw,harley davidson,honda
262161020,no,no,no,no,no,no,yes,no
524392000,silver,white,white,silver,silver,silver,silver,silver
524392001,no,no,no,no,no,no,no,yes
524392002,refrigerator,refrigerator,refrigerator,cooking,refrigerator,cooking,refrigerator,cooking
262262000,yes,yes,yes,yes,yes,yes,yes,yes
262262001,no,yes,yes,yes,yes,yes,yes,yes
262262002,church,church,church,church,church,church,church,church
393338000,white,white and yellow,purple,red and yellow,yellow and red,red and yellow,red and yellow,pink
393338001,roses,roses,roses,tulips,tulips,tulips,tulips,tulips
393338002,clear,clear,clear,clear,clear,clear,clear,clear
262274000,man,woman,man,man,man,man,man,man
262274001,nothing,nothing,nothing,no,surf,boat,nothing,nothing
262274002,nothing,nothing,nothing,no,surf,boat,surf,nothing
262274003,2,1,1,1,1,1,1,1
262274004,no,yes,yes,no,no,no,no,no
262274005,yes,yes,yes,yes,yes,yes,yes,yes
262274006,no,yes,yes,no,no,no,no,no
262274007,yes,yes,yes,no,no,no,no,no
262275000,5,5,5,5,4,5,5,10
262275001,brown,brown,brown,brown,brown,brown,brown,brown
262275002,yes,no,no,no,no,no,no,no
262275003,no,yes,yes,no,no,no,no,no
262275004,hat,hat,hat,helmet,helmet,helmet,helmet,helmet
133000,white,white,white,white,brown,orange,white,white
133001,yes,yes,yes,yes,yes,yes,yes,no
133002,twin,twin,twin,twin,twin,twin,twin,twin
131207000,2,2,2,2,2,2,2,1
131207001,2,2,2,2,3,2,2,2
131207002,yes,no,no,no,yes,no,no,yes
131207003,yes,yes,yes,yes,yes,no,yes,yes
131207004,brown,black,brown,white,white,white,white,white
131207005,seagulls,pigeons,pigeons,seagulls,seagulls,seagulls,seagulls,crane
131207006,brown,brown,brown,brown,brown,brown,brown,brown
131207007,no,yes,no,no,no,no,no,no
136000,yes,yes,yes,yes,yes,yes,yes,yes
136001,2,2,2,2,2,2,2,2
136002,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe
139000,talking,talking,sitting,standing,standing,standing,standing,sitting
139001,0,0,1,0,1,1,1,0
139002,brown,brown,brown,brown,brown,brown,brown,brown
139003,red,pink,red,red,red,red,red,red
262284000,1,1,2,1,1,0,1,1
262284001,bathroom,bathroom,blender,shower,shower,bathroom,shower,bathroom
262284002,yes,yes,yes,no,no,yes,no,yes
262284003,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom
143000,black,yellow,yellow,black,yellow,yellow,black,black
143001,7,6,7,7,7,9,7,7
143002,4,5,5,7,1,7,4,2
240323000,no,yes,yes,no,yes,yes,no,no
240323001,yes,yes,no,yes,no,yes,yes,yes
240323002,kiwi,cucumber,kiwi,cucumber,cucumber,cucumber,cucumber,apple
524436000,yes,yes,yes,yes,yes,yes,yes,yes
524436001,bench,bench,bench,bench,bench,bench,bench,bench
524436002,yes,yes,yes,yes,yes,yes,yes,yes
524436003,bench,bench,bench,bench,bench,bench,bench,bench
524436004,no,no,no,no,no,no,no,yes
524436005,yes,yes,yes,yes,yes,yes,yes,no
393372000,no,yes,no,yes,yes,yes,yes,no
393372001,yes,yes,yes,yes,yes,yes,yes,yes
393372002,no,yes,no,no,no,no,yes,yes
393372003,black,black,black,purple,purple,purple,purple,black
393372004,yes,yes,yes,no,no,no,no,yes
393372005,male,male,male,female,female,female,female,female
393372006,man,man,man,woman,woman,woman,woman,woman
393372007,nose,0,0,nose,0,0,0,0
393372008,left,left,left,left,left,left,left,left
393372009,no,yes,no,no,no,no,no,no
393372010,brown,brown,brown,purple,purple,purple,purple,brown
393372011,dress,dress,dress,dress,blue,dress,t shirt,sweater
393372012,blue,blue,blue,blue,blue,blue,blue,blue
393372013,brown,brown,brown,purple,purple,purple,purple,brown
393372014,tie,tie,tie,tie,tie,tie,tie,yes
393372015,straight,straight,straight,straight,straight,straight,straight,straight
393372016,no,no,yes,yes,no,no,no,no
393372017,yes,yes,yes,yes,yes,yes,yes,no
393372018,yes,no,yes,yes,no,no,yes,yes
393372019,no,yes,no,no,no,no,no,yes
393372020,happy,happy,happy,smile,happy,happy,happy,smile
393372021,no,no,yes,no,no,no,no,yes
393372022,no,yes,yes,no,no,yes,yes,no
524450000,bus,bus,bus,bus,bus,bus,bus,fire
524450001,nowhere,sidewalk,road,nowhere,sidewalk,sidewalk,nowhere,road
524450002,no,no,no,no,no,no,no,no
524450003,no,no,no,no,no,no,no,no
524450004,bus,bus,bus,bus,bus,bus,bus,bus
524450005,red,red,white,silver,silver,white,gray,silver
524450006,yes,rain,rain,water,rain,rain,rain,yes
524450007,bus stop,bus stop,bus stop,bus stop,bus stop,bus stop,bus stop,yes
524450008,red,red,white,silver,silver,silver,gray,silver
524450009,bus,bus,bus,bus,bus,bus,bus,bus
524450010,yes,yes,yes,yes,yes,yes,yes,yes
524450011,yes,yes,yes,yes,yes,yes,yes,no
524450012,nothing,nothing,bag,phone,bag,bag,bag,nothing
524450013,yes,yes,no,yes,yes,yes,yes,no
524450014,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
524450015,3,2,2,0,3,3,2,0
524450016,no,yes,no,no,no,no,no,no
524450017,sunny,cloudy,sunny,sunny,sunny,sunny,sunny,sunny
524450018,no,no,no,no,no,no,no,no
524450019,bus,bus,bus,bus,bus,bus,bus,bus
524450020,asphalt,asphalt,asphalt,concrete,concrete,concrete,concrete,asphalt
524450021,white,white,white,silver,silver,silver,gray,silver
524450022,yes,yes,no,no,no,no,no,no
524450023,bus,bus,bus,bus,bus,bus,bus,bus
524450024,street,street,street,street,street,street,street,street
164000,1,1,4,2,2,1,2,2
164001,white,white,white,white,white,white,white,white
164002,yes,yes,yes,yes,yes,yes,yes,yes
164003,white,white,white,white,white,white,white,white
524456000,2,1,2,2,2,2,1,2
524456001,yes,no,no,yes,yes,no,no,yes
524456002,yes,yes,yes,yes,yes,yes,yes,yes
524459000,bear,human,human,human,bird,bird,human,bear
524459001,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop
524459002,no,no,no,no,yes,no,no,no
436936000,1,1,1,1,1,1,1,1
436936001,tree,tree,tree,bear,yes,yes,bear,tree
436936002,bear,bear,bear,bear,bear,bear,bear,bear
262323000,tree,trees,trees,wall,rocks,wall,rocks,fence
262323001,giraffe,giraffe,color,color,size,color,color,giraffe
262323002,2,2,2,2,2,2,2,2
262323003,yes,no,no,no,no,no,yes,no
262325000,broccoli,broccoli,green,broccoli,broccoli,broccoli,broccoli,broccoli
262325001,no,no,no,no,no,no,no,no
262325002,yes,yes,no,yes,yes,yes,yes,yes
262325003,plate,plate,plate,plate,plate,plate,plate,plate
262334000,yes,yes,yes,yes,yes,yes,yes,yes
262334001,fedora,baseball,beanie,fedora,fedora,fedora,fedora,fedora
262334002,inside,inside,inside,inside,inside,inside,inside,inside
262334003,tile,tile,tile,wood,wood,wood,wood,wood
192000,baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball
192001,yes,yes,yes,yes,yes,yes,yes,yes
192002,baseball,baseball,unknown,dodgers,dodgers,dodgers,dodgers,dodgers
393410000,no,no,no,no,no,no,no,no
393410001,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off
393410002,no,no,no,no,no,no,no,no
393410003,no,no,no,no,no,no,no,no
393410004,white,white,white,white,white,white,white,white
393410005,plane,plane,plane,plane,plane,plane,airplane,plane
393410006,no,yes,yes,no,no,no,no,no
393410007,no,no,no,no,no,no,no,no
393410008,blue,blue,gray,blue,blue,blue,blue,blue
393410009,no,no,no,no,no,no,no,no
393410010,plane,plane,plane,plane,plane,plane,plane,plane
393411000,no,yes,no,no,yes,no,yes,no
393411001,tracks,people,people,tracks,people,people,people,tracks
393411002,train,graffiti,graffiti,graffiti,graffiti,graffiti,graffiti,graffiti
196000,corn,carrots,corn,corn,corn,corn,corn,cheese
196001,yes,yes,yes,yes,yes,yes,yes,yes
196002,6,6,10,4,6,6,4,4
196003,8,8,10,8,8,8,10,10
196004,yes,yes,yes,yes,yes,yes,yes,yes
131273000,terrier,terrier,lab,collie,collie,collie,collie,husky
131273001,outside,outside,outside,outside,outside,camera,outside,camera
131273002,closed,closed,closed,closed,open,open,open,closed
262347000,no,no,no,no,no,no,no,no
262347001,yes,no,no,no,no,no,no,no
262347002,roses,roses,roses,daisies,daisies,daisies,daisies,daisies
262347003,yes,yes,yes,yes,yes,yes,yes,yes
131276000,yes,no,no,no,no,no,no,no
131276001,2,2,2,2,2,2,3,2
131276002,donuts,donuts,donuts,donuts,donuts,donuts,donuts,donuts
393421000,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living room
393421001,1,1,1,2,1,2,2,0
393421002,yes,yes,yes,yes,yes,yes,yes,no
393421003,light,light,light,light,lamp,lamp,light,light
393421004,yes,yes,yes,no,yes,yes,no,yes
393421005,brown,brown,brown,gray,gray,gray,gray,blue
393423000,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes,giraffes
393423001,field,field,field,field,field,field,field,field
393423002,no,no,no,no,no,no,no,no
393423003,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe
393423004,3,2,2,2,2,2,2,2
393423005,africa,africa,africa,africa,africa,africa,africa,africa
393423006,standing,standing,standing,standing,running,standing,standing,walking
393423007,2,2,3,2,2,2,2,2
131280000,red,red,red,red,red,red,red,red
131280001,1,2,2,2,2,2,2,2
131280002,yes,no,yes,yes,yes,yes,yes,yes
262353000,7,6,7,5,6,5,5,6
262353001,no,no,no,no,no,no,no,yes
262353002,yes,yes,yes,yes,yes,yes,yes,yes
131282000,0,0,0,pepsi,pepsi,pepsi,pepsi,0
131282001,yes,no,no,yes,yes,yes,yes,yes
131282002,yes,no,no,yes,yes,yes,yes,yes
131282003,red,red,red,blue,red,blue,yellow,green
131282004,no,no,no,no,no,no,no,no
524502000,fire hydrant,fire hydrant,fire hydrant,fire hydrant,fire hydrant,fire hydrant,fire hydrant,fire hydrant
524502001,red,gray,gray,red,brown,red,red,red
524502002,fire hydrant,fire hydrant,fire hydrant,decoration,light,light,light,fire hydrant
524502003,no,no,yes,no,no,no,no,no
262360000,yes,yes,yes,yes,yes,yes,yes,yes
262360001,clear,clear,white,clear,clear,clear,clear,clear
262360002,roses,roses,roses,roses,roses,roses,roses,roses
262360003,yellow,yellow,yellow,pink,pink,pink,pink,pink
262360004,no,no,no,no,no,no,no,no
262360005,no,no,no,no,no,yes,no,no
524507000,no,no,no,no,no,no,no,yes
524507001,english,english,english,english,english,english,english,chinese
524507002,yes,yes,yes,yes,yes,yes,yes,yes
131295000,1,1,1,1,1,1,0,1
131295001,no,no,no,no,no,no,no,no
131295002,ground,ground,ground,ground,above,ground,ground,above
131295003,yes,no,yes,no,no,no,no,yes
131295004,tracks,tracks,tracks,tracks,tracks,tracks,tracks,tracks
131295005,train,driver,man,man,man,photographer,person,train
262371000,no,no,no,no,yes,no,no,no
262371001,bag,bag,backpack,suitcase,suitcase,suitcase,suitcase,suitcase
262371002,bag,backpack,backpack,suitcase,suitcase,suitcase,suitcase,suitcase
262371003,bag,backpack,backpack,suitcase,suitcase,suitcase,suitcase,suitcase
262371004,happy,happy,happy,tired,happy,happy,good,happy
262371005,camera,camera,camera,camera,camera,camera,camera,camera
262371006,1,1,1,1,1,1,1,1
262376000,yes,no,no,yes,yes,daisies,yes,no
262376001,6,2,7,12,12,12,4,0
262376002,yes,yes,yes,yes,yes,yes,yes,yes
241000,couch,couch,couch,couch,couch,couch,couch,couch
241001,happy,happy,happy,happy,happy,happy,happiness,happy
241002,couch,purse,bag,bag,bag,bag,bag,chair
241003,yes,yes,yes,no,yes,no,yes,yes
241004,white,white,white,red,red,red,red,white
262386000,1,1,2,1,2,1,1,1
262386001,toilet paper,toilet paper,toilet paper,toilet paper,toilet paper,toilet paper,toilet paper,toilet paper
262386002,yes,yes,yes,yes,yes,yes,yes,yes
262386003,people,people,people,people,people,woman,people,people
262386004,bathroom,yes,no,wall,yes,no,no,bathroom
262386005,yes,no,no,yes,yes,no,no,no
262386006,yes,yes,yes,yes,yes,no,no,yes
262386007,white,white,white,white,white,white,white,white
262386008,no,no,no,yes,no,yes,no,no
262386009,real,real,real,real,real,real,real,real
262386010,0,0,0,0,0,0,0,0
262386011,photographer,photographer,photographer,photographer,photographer,photographer,photographer,man
262386012,electric,gas,electric,electric,gas,gas,gas,gas
262386013,no,no,no,no,no,no,no,no
262386014,no 1,no 1,no 1,unknown,no 1,woman,no 1,man
262386015,yes,yes,yes,yes,yes,yes,yes,yes
262386016,no,no,no,yes,yes,yes,yes,no
262386017,rectangle,rectangle,rectangle,square,square,rectangle,square,rectangle
262386018,yes,no,no,no,no,no,no,no
262386019,white,white,white,white,white,white,white,white
262386020,no,no,no,no,no,no,yes,no
262386021,no,no,no,no,no,no,no,no
262386022,no,yes,no,yes,yes,yes,yes,yes
262386023,over,over,over,over,over,over,over,over
262386024,no,no,no,no,no,no,no,no
262386025,yes,yes,yes,yes,yes,yes,yes,yes
262386026,no,no,no,no,no,no,no,no
262386027,no,no,no,no,no,no,no,no
262386028,porcelain,porcelain,porcelain,plastic,porcelain,plastic,plastic,porcelain
262386029,no,no,yes,yes,yes,yes,yes,no
262386030,yes,yes,yes,yes,yes,yes,yes,yes
262386031,no,no,no,no,no,no,no,no
262386032,porcelain,metal,metal,porcelain,plastic,plastic,plastic,porcelain
262386033,white,white,white,white,white,white,white,white
262386034,no,no,no,no,no,no,no,no
262386035,1,1,1,1,1,1,1,1
262386036,yes,yes,yes,yes,yes,yes,yes,yes
262386037,brown,gray,gray,brown,brown,tan,brown,brown
262386038,white,silver,silver,silver,silver,silver,silver,white
262386039,no,yes,yes,yes,yes,yes,yes,no
262386040,toilet paper,towels,towels,toilet paper,toilet paper,toilet paper,toilet paper,towels
262386041,yes,yes,yes,no,no,no,no,no
262386042,1,1,2,1,2,1,1,1
524533000,beer,beer,beer,food,beer,water,beer,yes
524533001,no,yes,no,yes,yes,no,yes,yes
524533002,american,american,american,american,american,american,american,american
262391000,yes,no,no,yes,yes,yes,yes,yes
262391001,no,no,no,yes,no,no,yes,no
262391002,wii,wii,tv,tv,tv,tv,tv,sink
262391003,yes,no,no,no,no,no,no,no
262391004,white,white,white,white,white,white,white,white
262391005,2,2,2,2,1,2,2,0
262391006,yes,yes,yes,yes,yes,yes,yes,no
524536000,standing,standing,standing,smiling,posing,smiling,smiling,talking
524536001,yes,yes,yes,yes,yes,yes,yes,yes
524536002,no,yes,yes,no,yes,yes,no,no
524536003,no,no,no,no,no,no,no,no
524536004,0,0,0,0,don't know,obama,0,unknown
524536005,wedding,wedding,wedding,wedding,wedding,wedding,wedding,wedding
524536006,no,no,no,no,no,yes,no,yes
510657000,yes,no,yes,yes,yes,yes,yes,yes
510657001,2,3,3,2,2,2,2,3
510657002,8,10,8,5,6,5,4,5
510657003,6,8,8,10,10,8,8,6
510657004,stripes,stripes,stripes,solid,camo,solid,solid,solid
510657005,light,light,light,light,light,light,light,light
510657006,6,8,7,8,8,8,8,6
262396000,chair,chair,chair,couch,chair,chair,couch,chair
262396001,gray,white,white,black,white,gray,white,gray
262396002,no,no,no,no,no,no,no,no
393469000,yes,yes,yes,yes,yes,yes,yes,yes
393469001,yes,yes,yes,yes,yes,yes,yes,yes
393469002,red,blue,blue,brown,brown,brown,brown,gray
257000,white,white,white,red,red,red,red,white
257001,yes,no,no,yes,no,no,no,no
257002,yes,yes,yes,yes,yes,yes,yes,yes
257003,no,no,no,no,no,no,no,no
