QuestionID,MCAN,ImageID
87489002,4,87489
87489003,downtown,87489
262800002,united,262800
262800005,6,262800
262800009,4,262800
393874001,nothing,393874
661000,bread,661
131743000,yes,131743
675000,sleeping,675
699002,white,699
384101000,man,384101
524992000,no 1,524992
524992003,red and yellow,524992
711001,floral,711
711002,1,711
711004,orange,711
715004,oranges,715
715006,yes,715
724002,nothing,724
724003,street,724
393942000,1 way,393942
131800000,mustard,131800
131800001,yes,131800
262873001,1,262873
262873007,skate park,262873
730000,coca cola,730
730003,fire,730
131804002,storage,131804
525021000,no,525021
525021002,no,525021
525021003,15,525021
525021005,0,525021
525021007,no,525021
525024001,yes,525024
525024004,50,525024
525024005,many,525024
525024011,bird,525024
262895007,tie,262895
262895009,no,262895
262895011,0,262895
262895016,smile,262895
262895017,50,262895
262896000,yes,262896
43816010,dodgers,43816
43816012,catcher,43816
43816026,no,43816
757002,elephant,757
757006,no,757
757016,yes,757
757017,0,757
757019,no,757
525050000,stop,525050
525050004,stop,525050
525050006,yes,525050
525050009,no,525050
525050011,stop,525050
525050012,stop,525050
525050014,street,525050
525050015,yes,525050
525050021,stop,525050
393979002,15,393979
764001,human,764
393984002,food,393984
393984003,bread,393984
131841000,round,131841
131841001,brown,131841
131841002,3,131841
525058004,yes,525058
525058008,3,525058
525058011,6,525058
775001,person,775
775002,yes,775
775007,2,775
775008,fall,775
776002,2,776
785000,no,785
785001,background,785
394002001,4,394002
131203000,windows,131203
525077000,nowhere,525077
525077002,air canada,525077
525077004,canada,525077
394009001,yes,394009
394009002,bathroom,394009
262940002,united,262940
525087001,in air,525087
525087004,2,525087
810001,club,810
371506000,yes,371506
371506003,eating,371506
394033003,bike,394033
131895002,no,131895
827001,yes,827
525119003,no,525119
525119008,no,525119
262985001,usa,262985
262985003,american flag,262985
262987001,bird,262987
262987002,crosswalk,262987
131919000,woman,131919
131920000,no,131920
131920002,coke,131920
262993000,horse,262993
262993001,5,262993
262993003,horse,262993
394079002,watch,394079
394079003,right,394079
131938000,window,131938
131938001,bow,131938
263011002,waiting,263011
263014001,yes,263014
263014002,yes,263014
263014010,yes,263014
872006,green,872
873003,no,873
525170001,blender,525170
525170002,yes,525170
885001,kia,885
885006,chase,885
885008,blue,885
885011,polo,885
885014,mercedes,885
885017,chase,885
885019,white,885
885024,tennis court,885
885025,polo,885
885026,polo,885
885029,chase,885
131965006,beach,131965
525183003,old,525183
525183004,yes,525183
525184002,teddy bear,525184
131969004,building,131969
196759000,kia,196759
196759002,yes,196759
196759003,coca cola,196759
263052002,nike,263052
394132002,teddy bear,394132
394133001,red,394133
525208002,lights,525208
525211001,eating,525211
525211002,donut,525211
263068001,right,263068
132001000,very,132001
223468000,nothing,223468
240455002,short,240455
394157001,12,394157
132024005,no,132024
546292000,noon,546292
482719000,3,482719
482719001,banana,482719
482719002,no,482719
969001,nike,969
969005,baseball,969
969016,boy,969
132042000,30,132042
974003,yes,974
985005,bus,985
985006,yes,985
985008,yes,985
985012,graffiti,985
985014,yellow,985
985018,bus,985
132059000,donuts,132059
394206004,2,394206
263136000,tan,263136
263136004,no,263136
525286000,new,525286
1000000,tennis,1000
1000001,tennis racket,1000
263146000,dog,263146
263146001,2,263146
525297000,left,525297
525297001,no,525297
132084000,people,132084
132084002,3,132084
132084003,asphalt,132084
263163000,stop,263163
1029002,plane,1029
263177001,china,263177
263177002,yes,263177
263177003,4,263177
263178001,apples,263178
263178003,6,263178
394251002,parking lot,394251
394251003,trash,394251
394259001,silver,394259
394259002,soup,394259
394259003,table,394259
132116002,0,132116
132121003,hotel,132121
263202000,0,263202
263202002,samsung,263202
394275002,2,394275
132132001,red,132132
132132003,apples,132132
153094001,night,153094
153094004,night,153094
153094007,night,153094
132136001,20,132136
132136002,fish,132136
132136009,2,132136
132136010,bird,132136
525354002,no,525354
263211005,water,263211
263211006,fence,263211
394288001,elephant,394288
394288002,paint,394288
525361000,4,525361
525361002,4,525361
263223008,jacket,263223
525369000,yes,525369
525369003,yes,525369
525369006,flowers,525369
525369008,2,525369
525369009,nothing,525369
525369010,2,525369
525371000,yellow,525371
525373002,pizza,525373
525376000,4,525376
1089001,black,1089
1089002,man,1089
394320000,red,394320
394320001,3,394320
394322000,outside,394322
394322001,playing,394322
394322002,50,394322
263251000,in air,263251
132182001,air,132182
132182002,bat,132182
132182003,5,132182
394328000,left,394328
263258000,field,263258
263258001,fence,263258
132189003,ford,132189
394334000,3,394334
394334001,12,394334
263268000,toilet,263268
263268002,floor,263268
423396001,yes,423396
423396002,night,423396
394352002,4,394352
1138005,cat,1138
263288001,scissors,263288
1146003,suit,1146
263292000,2 hours,263292
263292001,1,263292
263292003,no,263292
263292004,noon,263292
1149000,military,1149
1149001,2,1149
1149003,suitcases,1149
132223000,game,132223
132223001,baseball,132223
1153001,bowl,1153
1153002,8,1153
1153005,3,1153
1153008,7,1153
1153010,10,1153
1153011,9,1153
1153013,8,1153
218646000,field,218646
1164000,yes,1164
1164002,elephant,1164
1171002,4,1171
263323002,inside,263323
1180000,birthday,1180
1180001,green,1180
132272001,words,132272
132272002,unknown,132272
394418001,wristband,394418
1205000,wood,1205
1205001,4,1205
263351001,yes,263351
263355002,3,263355
263359002,no,263359
132288004,motion,132288
394449000,3,394449
263382001,clock,263382
132317000,chair,132317
132317001,9,132317
263393001,person,263393
525542000,4,525542
525542002,2,525542
525542003,50,525542
525542005,50,525542
525542006,2,525542
525542007,100,525542
525542008,downtown,525542
525542009,100,525542
525542010,daytime,525542
132328000,string,132328
132328001,no,132328
525546001,yes,525546
132336001,police,132336
132336002,multi colored,132336
132336005,yes,132336
132336007,no,132336
132336010,yes,132336
8771002,0,8771
8771003,0,8771
8771004,burton,8771
525559000,3,525559
568191002,brown,568191
525568002,camera,525568
525568005,yes,525568
263425000,yes,263425
263425001,nothing,263425
263428000,old,263428
132362000,rice,132362
1292002,mirror,1292
1292005,brown,1292
394510007,nothing,394510
394510008,ollie,394510
394510009,electricity,394510
394510013,no 1,394510
394510021,no,394510
1296001,phone,1296
1296002,woman,1296
525587000,2000,525587
525587001,california,525587
525587002,yes,525587
394517002,yes,394517
525600002,zoo,525600
263463000,2,263463
132393001,0,132393
132393002,yes,132393
327383000,yes,327383
327383007,1,327383
263474000,rainbow,263474
263474001,no,263474
525619011,yes,525619
263477001,no,263477
132408001,5,132408
1340001,no,1340
1342000,10,1342
1342001,camera,1342
1342003,unknown,1342
1342007,yes,1342
1342009,plane,1342
1342010,0,1342
1342011,office,1342
1342012,airplane,1342
1342015,1,1342
1342018,boat,1342
1342020,scissors,1342
1342024,unknown,1342
1342025,white,1342
1342030,words,1342
1342032,scissors,1342
1342034,unknown,1342
1342036,paper,1342
1342038,man,1342
1342042,yes,1342
1342044,newspaper,1342
1342045,3,1342
1342046,yes,1342
1342048,scissors,1342
1342050,white,1342
1342051,1,1342
1342056,unknown,1342
1342059,yes,1342
1342061,nothing,1342
1342063,man,1342
1342066,words,1342
1342068,unknown,1342
1342069,english,1342
1342070,,1342
1342072,0,1342
1342073,words,1342
1342074,unknown,1342
1342077,scissors,1342
1342079,scissors,1342
1342083,scissors,1342
1342086,2000,1342
1342087,0,1342
132415006,ceramic,132415
132415015,3,132415
132415017,pizza,132415
132415024,small,132415
1347001,keyboard,1347
1347002,black,1347
1353001,yes,1353
1353002,blender,1353
1353003,child,1353
525646004,broccoli,525646
525646005,broccoli,525646
525646007,yes,525646
525646008,broccoli,525646
525646011,table,525646
174989000,formal,174989
263505000,no,263505
1374000,0,1374
1374003,yes,1374
525665001,4,525665
525665004,yes,525665
525665007,resting,525665
525665009,4,525665
525665010,beach,525665
525667002,0,525667
554340000,rock,554340
394608000,beach,394608
525682001,0,525682
525682002,0,525682
1398000,jeans,1398
525702004,stop,525702
525702005,yes,525702
525702010,wall,525702
525702011,yes,525702
525702013,woman,525702
394635000,man,394635
394635001,person,394635
132499001,noon,132499
132499003,brick,132499
132499005,noon,132499
1436003,typing,1436
1436004,nothing,1436
263586002,10,263586
394659000,white,394659
525732000,yes,525732
394663000,africa,394663
394663001,left,394663
263594000,yes,263594
263594001,pigeon,263594
263594002,police,263594
394677000,black,394677
1464002,skiing,1464
394681000,stop,394681
394681001,no,394681
394681003,road,394681
263612000,collar,263612
263612004,carpet,263612
263612007,lab,263612
263613000,gothic,263613
263613001,giraffe,263613
525762001,4,525762
525762004,yes,525762
525763000,10,525763
132554002,yes,132554
132554005,0,132554
132554007,yes,132554
132554013,2000,132554
331753002,little,331753
394715003,nothing,394715
394715008,night,394715
394715009,office,394715
394715011,off,394715
394715014,papers,394715
263644001,no 1,263644
263647002,white,263647
132587001,nike,132587
263664003,yes,263664
263664005,tan,263664
263668000,walk,263668
1525000,airport,1525
1525001,3,1525
1525004,0,1525
1525005,airport,1525
1525006,airport,1525
1525010,no,1525
1525014,airport,1525
1525016,yes,1525
1532000,25,1532
1532002,25,1532
1532003,7,1532
1532004,7,1532
502698000,checkered,502698
132612001,zoo,132612
132612002,eating,132612
132612003,eating,132612
132615000,nowhere,132615
22103000,eating,22103
263696001,yes,263696
1554000,no,1554
263700001,2,263700
263700003,police,263700
263700004,talking,263700
394773001,harley,394773
394773004,seat,394773
525849000,pictures,525849
525849001,glass,525849
1563000,skis,1563
1563001,no,1563
1563002,green,1563
132644000,salad,132644
1573001,1,1573
1573003,flowers,1573
1573004,yes,1573
263723001,8,263723
132652001,phone,132652
132652003,yes,132652
132652013,nowhere,132652
132652014,yes,132652
525869002,2,525869
415325001,warning,415325
1584005,downtown,1584
1584006,nowhere,1584
1584008,9,1584
1584009,9,1584
1584011,24,1584
1584012,front,1584
1584014,street,1584
1584015,24,1584
1584017,long,1584
394801001,apples,394801
394801002,potatoes,394801
1590000,window,1590
1590002,dog,1590
1591001,no,1591
1591003,1,1591
1592000,yes,1592
1599001,left,1599
153184002,food,153184
371638001,2,371638
371638003,graffiti,371638
22113000,red,22113
22113003,yes,22113
525903002,soup,525903
132689000,umbrella,132689
132689001,wooden,132689
132690002,yes,132690
525908002,ball,525908
132702000,broccoli,132702
132703000,skateboarding,132703
263780003,4,263780
263780009,water,263780
22118000,4,22118
22118001,5,22118
525927000,no,525927
1647001,scissors,1647
263793000,dirt,263793
263793001,1,263793
263796002,yes,263796
1655007,selfie,1655
132733001,nothing,132733
196885002,bat,196885
196885003,red,196885
1667000,toothbrush,1667
1667001,pink,1667
1667002,toothbrush,1667
1668000,dodgers,1668
1668001,0,1668
1668002,2,1668
1675001,black and white,1675
1682002,ball,1682
1682008,wind,1682
525971000,many,525971
263828000,harley,263828
394904002,left,394904
263834002,china,263834
263834003,0,263834
263834004,chinese,263834
525988004,sitting,525988
525988011,phone,525988
525988017,christmas,525988
525988018,1,525988
132776002,yes,132776
526000000,yes,526000
526000001,0,526000
526004003,carrot,526004
132791003,home,132791
263866000,tracks,263866
263866001,0,263866
263866003,4,263866
394940003,spoon,394940
394941004,person,394941
526021000,yes,526021
131361000,no,131361
131361001,donuts,131361
131361003,3,131361
131361008,city,131361
263881004,trees,263881
394957002,yes,394957
526040000,no,526040
526044000,nothing,526044
526044005,cow,526044
526044008,yes,526044
526044010,cow,526044
526044011,yes,526044
526044015,water,526044
526044017,standing,526044
526044029,dirt,526044
1757003,,1757
1779000,unknown,1779
1779001,p,1779
132860000,yellow,132860
132860002,0,132860
132861002,noon,132861
437205006,1,437205
437205007,no,437205
437205010,4,437205
437205012,yes,437205
437205016,banana,437205
1799001,fedex,1799
1799003,food,1799
526089000,no,526089
526089003,camera,526089
427783001,white,427783
526103001,fence,526103
526103002,no,526103
1818000,family,1818
263966001,white,263966
263966003,yes,263966
263973000,girl,263973
263973006,white,263973
1840001,high,1840
1840002,flowers,1840
1841001,7,1841
526132001,sand,526132
526133001,3,526133
526133002,red white and blue,526133
1852000,blonde,1852
1852002,silver,1852
132931000,yes,132931
132931002,2,132931
44003000,market,44003
44003001,0,44003
44003002,100,44003
44003004,street,44003
264032000,yes,264032
264032001,no,264032
264032002,silver,264032
264032003,2,264032
264032004,blue,264032
395113000,bus,395113
395113005,1,395113
526186000,nothing,526186
526188003,bird,526188
1903002,left,1903
395124005,rectangle,395124
395124007,nothing,395124
395124008,window,395124
526197004,1,526197
526197005,1,526197
526197006,lot,526197
205196000,3,205196
205196001,3,205196
175082000,food,175082
175082002,sandwiches,175082
132992000,3,132992
133000001,can't tell,133000
133000002,bridge,133000
133000003,new york,133000
133000007,1,133000
133000009,white,133000
133002005,4,133002
526222000,nike,526222
502766001,dog,502766
306159003,2,306159
1948001,10,1948
1948002,bird,1948
133025000,4,133025
133025001,4,133025
133025002,right,133025
1955000,many,1955
1960002,blue,1960
133034004,3,133034
133034005,no,133034
133034008,yes,133034
395180001,biking,395180
264110003,teddy bear,264110
526256000,3,526256
395185000,tree,395185
395185001,pole,395185
395185002,1 way,395185
133042000,10,133042
133042004,12,133042
133042007,baseball field,133042
133042008,walking,133042
133042011,dodgers,133042
133042012,umpire,133042
264121002,harley,264121
264121004,back,264121
133050003,black,133050
133050006,0,133050
133050008,7,133050
133050009,counter,133050
133050010,yes,133050
133051002,yes,133051
153249001,skateboards,153249
153249002,sidewalk,153249
153249006,skateboarding,153249
395210000,4,395210
395210002,black,395210
395210003,2,395210
395210005,4,395210
175096002,yes,175096
2006003,0,2006
264155004,3,264155
264155005,unknown,264155
264155006,yes,264155
264155009,yes,264155
264155011,water,264155
395230002,ford,395230
395230003,no,395230
395230004,lab,395230
264161000,purse,264161
264161007,no,264161
264161008,solid,264161
165919002,sign,165919
133104005,yes,133104
264180002,eating,264180
175102000,banana,175102
175102001,red,175102
175102003,banana,175102
264191000,white,264191
526342002,no,526342
526342004,yes,526342
526342005,food,526342
133131001,graffiti,133131
133131004,graffiti,133131
2061001,telephone,2061
526353003,yes,526353
526353005,yes,526353
133142000,no,133142
526359002,fluorescent,526359
526359004,no,526359
395289000,man,395289
395289002,left,395289
395291000,0,395291
395291002,brown,395291
395291005,no,395291
395291007,throw,395291
526364001,0,526364
526364003,no,526364
526364005,yes,526364
133149001,10,133149
526368001,4,526368
415408006,red,415408
415408009,nothing,415408
526371002,soft,526371
133161000,yes,133161
133161002,decoration,133161
133161003,white,133161
133161004,no,133161
133161005,store,133161
526392001,stop,526392
526394000,1,526394
395324000,harley,395324
395324002,yes,395324
415413001,yes,415413
415413002,night,415413
526401001,road,526401
526401003,yes,526401
133195002,noon,133195
133195004,yes,133195
264279001,front,264279
526425001,lab,526425
526425003,lab,526425
2139000,no,2139
2139001,yes,2139
2139002,towel,2139
2139003,black,2139
2142001,2,2142
395364000,2,395364
395364002,roof,395364
2149001,apple,2149
2149002,2,2149
2149004,6,2149
2153004,no,2153
2154001,yes,2154
2154002,luggage,2154
131431000,stone,131431
131431004,noon,131431
131431006,4,131431
131431007,4,131431
526446000,15,526446
526446001,no,526446
395379000,no,395379
395379002,2,395379
2164002,white,2164
133237000,big,133237
395382000,fire hydrant,395382
2171004,yes,2171
395388000,yes,395388
395388001,food,395388
133251011,terrier,133251
133251013,couch,133251
133251020,no,133251
133251022,dog,133251
395402005,playing,395402
395402006,heart,395402
395405004,1,395405
526486000,no,526486
526486002,decoration,526486
526486003,0,526486
133279000,white,133279
133279002,10,133279
2212003,blanket,2212
2212006,sleeping,2212
133291001,restaurant,133291
153288001,woman,153288
153288004,yes,153288
395452003,yes,395452
264382001,batter,264382
2239001,professional,2239
2239002,w,2239
2239006,hard,2239
2239007,yellow,2239
2239009,yellow,2239
2240000,6,2240
264385001,apple,264385
264385004,computer,264385
264385005,yes,264385
395462002,red,395462
395463002,no,395463
395463007,cake,395463
526536005,2,526536
526536006,no,526536
526536007,yes,526536
526555000,yes,526555
526555002,3,526555
526555003,dots,526555
526555004,red,526555
526555006,3,526555
133343002,sunglasses,133343
526560004,yes,526560
264420001,yes,264420
264420002,trunk,264420
264420003,zoo,264420
264424003,3,264424
480173002,1,480173
2290001,no,2290
526580006,jeans,526580
526580009,wii controllers,526580
526580013,nothing,526580
2295001,floor,2295
2295002,yes,2295
2295003,6,2295
2295005,real,2295
395512001,clean,395512
264441002,cat,264441
2299000,50,2299
2299001,many,2299
133377001,yes,133377
133377002,yes,133377
264454001,4,264454
133386000,yes,133386
133386001,skateboarding,133386
133386004,nothing,133386
133386011,4,133386
133386013,8,133386
133386018,2,133386
264461001,white,264461
264461002,woman,264461
387001,apple,387
387003,2,387
175151002,7,175151
395550000,yes,395550
264482001,yes,264482
395557001,yes,395557
22236000,metro,22236
22236002,red,22236
2346002,wood,2346
264497002,dress,264497
526645000,no,526645
526645004,standing,526645
526645006,yes,526645
264506004,sheep,264506
526654001,0,526654
526654002,no,526654
526675001,3,526675
2388002,trash can,2388
395606000,,395606
395606001,dodgers,395606
395606002,dodgers,395606
395606003,no,395606
133470000,4,133470
133470003,water,133470
133470004,4,133470
133470006,swimming,133470
133476003,beer,133476
133476006,yes,133476
133476008,chocolate,133476
133476012,ham,133476
133476015,yes,133476
133476019,beer,133476
395621007,3,395621
133485000,china,133485
395634002,nothing,395634
526711001,united,526711
395644001,3,395644
2431001,spoon,2431
526721002,table,526721
526723001,no,526723
526723009,black and white,526723
526723013,reading,526723
526723014,no,526723
526728001,open,526728
526728002,building,526728
502001001,controllers,502001
526732001,2,526732
395665002,no,395665
69914004,1,69914
69914005,oven,69914
69914008,glove,69914
526751002,yes,526751
526751005,water,526751
133537000,silver,133537
526756000,clock,526756
526756001,5,526756
502854002,standing,502854
264615000,3,264615
264615001,5,264615
526762001,6,526762
2477000,yes,2477
2477001,sitting,2477
2477002,chair,2477
526767005,yes,526767
526767006,on wall,526767
133556000,no,133556
526778002,stop,526778
133567000,silver,133567
395714001,8,395714
133571002,farm,133571
395717001,no,395717
395717002,white,395717
264654000,2,264654
264654001,yes,264654
526800001,25,526800
526800002,bat,526800
526801003,mouse,526801
526801004,4,526801
264659001,seagulls,264659
264660001,apple,264660
264660003,stuffed animal,264660
526806000,no,526806
2521000,3,2521
2521005,right,2521
2521007,street sign,2521
2521009,nothing,2521
2521014,turn,2521
2521017,roof,2521
2521020,graffiti,2521
133596000,0,133596
2525000,3,2525
2525002,2,2525
262565002,25,262565
2529002,noon,2529
2529003,brick,2529
2529004,tall,2529
2529007,6,2529
2532001,yes,2532
395749000,water,395749
395749002,3,395749
395749004,3,395749
395752000,green,395752
395752002,bus,395752
395752003,black,395752
395752004,no,395752
264683001,delta,264683
264686000,1,264686
264686001,2,264686
264686002,flat,264686
133619002,red,133619
133620000,yes,133620
133620003,no,133620
133622003,carrots,133622
133622008,rice,133622
22271002,0,22271
133629000,yes,133629
133629002,2,133629
133629003,laptop,133629
133631000,both,133631
2562003,yes,2562
133636000,0,133636
133636002,0,133636
133645003,fishing,133645
264718003,street,264718
264718004,street,264718
264718007,parking meter,264718
133648000,no,133648
133648001,no,133648
395801002,people,395801
395801004,yes,395801
395801007,noon,395801
264730001,night,264730
2587001,banana,2587
2592000,nothing,2592
2592002,0,2592
131504001,noon,131504
131504003,left,131504
526892001,standing,526892
133679003,,133679
133680008,bike,133680
133680009,1,133680
264753000,,264753
2613005,ocean,2613
395831000,sandwich,395831
133690005,0,133690
133690006,posing,133690
133693000,nothing,133693
133693001,parking,133693
133693003,0,133693
133693005,light,133693
133693009,no,133693
133693013,nothing,133693
133693019,p,133693
133693020,0,133693
133693022,2,133693
133693023,unknown,133693
264769000,2,264769
264769004,nothing,264769
264769005,open,264769
264769006,table,264769
133698002,no,133698
133698003,yes,133698
395849000,parked,395849
395849002,red,395849
2640003,2,2640
264787002,1,264787
264787003,blanket,264787
526933000,yes,526933
395865000,unknown,395865
395865002,fire hydrant,395865
526940000,playing,526940
526940002,remote,526940
264805001,toilet,264805
264805002,mirror,264805
526955000,nothing,526955
526955003,bird,526955
526956002,2,526956
526962002,no,526962
526962006,cat,526962
526962007,face,526962
526962008,no,526962
526962010,gray,526962
526962013,sleeping,526962
526962017,sleeping,526962
264819001,snowboard,264819
264819002,0,264819
133750000,far,133750
568425002,red,568425
2685001,no,2685
395903001,ocean,395903
395904001,pizza,395904
395904003,pizza,395904
2690000,wind,2690
2690002,many,2690
264853000,sunglasses,264853
264855000,young,264855
264855002,yes,264855
264855003,person,264855
264855004,sitting,264855
395928000,no,395928
395928002,6,395928
527002003,no,527002
109679001,shoes,109679
264870001,fridge,264870
264870003,5,264870
527025001,people,527025
527029001,cooking,527029
283785000,nothing,283785
283785001,sitting,283785
283785002,suit,283785
133821000,blue,133821
527038002,0,527038
527040000,1,527040
2753001,collie,2753
133827001,yes,133827
133827014,2,133827
133827022,morning,133827
2759000,no,2759
568439000,yes,568439
568439001,modern,568439
568439003,yes,568439
568439004,2,568439
568439005,2,568439
133836001,2,133836
133836002,blue and white,133836
133836003,platform,133836
264919000,nothing,264919
264919002,toothbrush,264919
527064000,round,527064
527064001,yes,527064
395997001,0,395997
305609004,food,305609
264940000,cut,264940
264940001,fire hydrant,264940
133869002,unknown,133869
527086000,6,527086
527086003,yes,527086
264948005,2,264948
264957002,person,264957
527102000,food,527102
527102002,red,527102
527102003,neither,527102
264961001,yes,264961
2822000,stop,2822
264968003,dodgers,264968
264968005,short,264968
396051001,white,396051
396051002,night,396051
2839002,toy,2839
264992000,fruit,264992
264992002,3,264992
133923003,middle,133923
396068002,no,396068
133927004,2,133927
133927009,w,133927
133928003,boat,133928
133928006,boston,133928
265003000,grass,265003
265003004,round,265003
133933000,no,133933
133933008,blinds,133933
133933009,playing wii,133933
133933011,2,133933
133933012,wii,133933
133933014,black,133933
133933016,yellow,133933
133933019,16,133933
133933020,sitting,133933
133933024,4,133933
133933030,wii,133933
2867000,no,2867
2867001,yes,2867
527163000,5,527163
527164000,0,527164
527164001,pink,527164
2881004,mountains,2881
