QuestionID,MCAN+ALBERT,ImageID
394320000,red,394320
394320001,3,394320
394322000,outside,394322
394322001,sitting,394322
394322002,50,394322
394322004,30,394322
263251000,in air,263251
132182003,8,132182
394328000,on wall,394328
263258000,field,263258
132189003,ford,132189
394334000,3,394334
394334001,20,394334
394334003,no,394334
263268000,toilet,263268
423396000,gold,423396
423396001,lights,423396
394352001,silver,394352
394352002,4,394352
1138000,fireplace,1138
1138004,4,1138
1138005,bird,1138
263288001,scissors,263288
263288002,table,263288
1146003,suit,1146
1146006,no,1146
1146009,3,1146
263292000,2 hours,263292
263292001,yes,263292
263292003,no,263292
263292004,noon,263292
1149000,old,1149
1149001,2,1149
1149003,suitcases,1149
132223001,baseball,132223
1153000,10,1153
1153002,10,1153
1153005,2,1153
1153008,5,1153
1153009,glass,1153
1153010,10,1153
1153011,10,1153
1153013,10,1153
218646000,field,218646
1164000,yes,1164
1164002,elephant,1164
1171002,11,1171
263323001,yes,263323
263323002,inside,263323
1180000,unknown,1180
1180001,green,1180
132272001,words,132272
132272002,unknown,132272
394418001,wristband,394418
1205000,wood,1205
1205001,4,1205
263351001,yes,263351
263359003,fence,263359
394449000,noon,394449
263382001,no,263382
394458003,no,394458
394458004,africa,394458
132317000,plant,132317
132317001,0,132317
263393001,yes,263393
525542000,4,525542
525542002,2,525542
525542003,38,525542
525542005,38,525542
525542006,4,525542
525542007,50,525542
525542008,downtown,525542
525542009,38,525542
525546001,can't tell,525546
132336001,food,132336
132336005,yes,132336
132336007,stop,132336
132336008,can't tell,132336
132336010,yes,132336
8771002,0,8771
8771003,0,8771
8771004,snow,8771
263412005,noon,263412
525559001,many,525559
568191002,brown,568191
525568002,camera,525568
525568005,yes,525568
525568008,2,525568
263425000,yes,263425
263425001,nothing,263425
263428000,i don't know,263428
132362000,soup,132362
1292000,yes,1292
1292005,brown,1292
394510007,nothing,394510
394510008,ollie,394510
394510009,electricity,394510
394510015,nothing,394510
394510021,no,394510
1296001,nokia,1296
1296002,nokia,1296
525587000,recently,525587
525587001,california,525587
394517002,yes,394517
132375000,pink,132375
132375001,white,132375
525600002,zoo,525600
263463000,2,263463
132393001,street,132393
132393002,street,132393
327383000,can't tell,327383
327383005,sign,327383
327383006,bus,327383
327383007,1,327383
525616001,yes,525616
525616002,1,525616
263474000,flowers,263474
525619011,yes,525619
263477001,no,263477
132408001,5,132408
1340001,no,1340
1342000,4,1342
1342001,camera,1342
1342002,people,1342
1342003,unknown,1342
1342007,yes,1342
1342009,inside,1342
1342011,office,1342
1342018,paper,1342
1342024,unknown,1342
1342025,white,1342
1342029,yes,1342
1342030,boat,1342
1342032,scissors,1342
1342036,paper,1342
1342038,man,1342
1342041,yes,1342
1342046,yes,1342
1342048,boat,1342
1342050,white,1342
1342051,2,1342
1342056,nothing,1342
1342061,boat,1342
1342062,japan,1342
1342063,boat,1342
1342064,4,1342
1342066,paper,1342
1342068,unknown,1342
1342069,0,1342
1342070,,1342
1342072,directions,1342
1342073,boat,1342
1342074,unknown,1342
1342077,boat,1342
1342079,scissors,1342
1342082,scissors,1342
1342083,scissors,1342
1342086,2000,1342
1342087,0,1342
132415005,knife,132415
132415006,ceramic,132415
132415010,no,132415
132415017,restaurant,132415
132415024,small,132415
1347001,mouse,1347
1347002,black,1347
1347003,yes,1347
1353001,yes,1353
1353002,living room,1353
1353003,jacket,1353
525646004,broccoli,525646
525646005,broccoli,525646
525646006,broccoli,525646
525646007,yes,525646
525646008,broccoli,525646
525646011,kitchen,525646
174989001,talking,174989
1374000,0,1374
1374003,yes,1374
525665001,4,525665
525665007,standing,525665
525665009,4,525665
525665010,beach,525665
525665014,yes,525665
525667002,unknown,525667
554340000,rock,554340
394608000,surfboard,394608
1393001,painting,1393
525682002,no dog,525682
394611005,standing,394611
1398000,jeans,1398
525702002,america,525702
525702004,restaurant,525702
525702009,yes,525702
525702010,nowhere,525702
525702011,yes,525702
525705001,batter,525705
525705003,yes,525705
394635000,people,394635
1425002,no,1425
132499001,noon,132499
132499003,tile,132499
132499005,noon,132499
1436000,2,1436
1436003,typing,1436
1436004,jacket,1436
1436006,bed,1436
132509004,no,132509
263586002,20,263586
394659000,white,394659
525732000,yes,525732
394663001,tag,394663
263594001,pigeon,263594
263594002,0,263594
394677000,white,394677
1464002,skiing,1464
394681000,london,394681
394681003,sidewalk,394681
263612000,collar,263612
263613000,gothic,263613
263613001,goat,263613
132544000,black,132544
525762001,5,525762
132554002,yes,132554
132554005,0,132554
132554009,0,132554
132554010,blonde,132554
132554013,2000,132554
1490005,surfing,1490
331753002,little,331753
394715000,yes,394715
394715002,screen,394715
394715003,computer,394715
394715008,0,394715
394715009,office,394715
394715014,electronics,394715
262394003,20,262394
132587001,nike,132587
263664003,yes,263664
263668000,walk,263668
263668001,usa,263668
1525000,airport,1525
1525001,10,1525
1525004,0,1525
1525005,airport,1525
1525006,airport,1525
1525014,airport,1525
1525016,yes,1525
1532000,25,1532
1532002,8,1532
1532003,yes,1532
502698000,keyboard,502698
132612001,zoo,132612
132612002,zebras,132612
132612003,eating,132612
132615000,nowhere,132615
22103000,playing,22103
263696003,2,263696
1554000,no,1554
263700001,noon,263700
263700003,honda,263700
263700004,talking,263700
394773004,seat,394773
525849000,pictures,525849
525849001,camera,525849
1563000,skis,1563
1563001,no,1563
1573003,food,1573
263723001,8,263723
132652003,yes,132652
132652010,white,132652
132652013,nowhere,132652
132652021,phone,132652
415325001,crossing,415325
1584005,downtown,1584
1584006,0,1584
1584008,9,1584
1584009,9,1584
1584011,9,1584
1584012,front,1584
1584015,24,1584
1584017,long,1584
394801000,2,394801
394801001,apples,394801
1590000,box,1590
1590002,dog,1590
1591001,no,1591
1599001,0,1599
371638003,graffiti,371638
22113000,red,22113
525903000,broccoli,525903
525903002,vegetables,525903
132689000,fence,132689
132690002,floor,132690
525908002,hair,525908
394840002,right,394840
394841000,1,394841
1626000,carpet,1626
132702000,broccoli,132702
263780003,6,263780
263780009,yes,263780
22118000,3,22118
22118001,4,22118
525927000,no,525927
1647001,scissors,1647
263793000,horse,263793
263793006,horse,263793
132733001,nothing,132733
196885003,blue,196885
1667000,toothbrush,1667
1667001,heart,1667
1667002,toothbrush,1667
1668000,yankees,1668
1668001,gray,1668
1668002,1,1668
1682002,ball,1682
1682008,broken,1682
1682011,cool,1682
525971000,many,525971
263828000,harley,263828
394904001,no,394904
394904002,forward,394904
263834003,police,263834
263834004,0,263834
525988004,0,525988
525988011,rope,525988
525988017,office,525988
525988018,1,525988
525988022,big,525988
525988025,big,525988
525988027,teddy bear,525988
526000000,yes,526000
526000001,0,526000
263858002,2,263858
526004001,no,526004
526004003,sandwich,526004
132791003,school,132791
263866000,tracks,263866
263866001,8,263866
263866003,8,263866
394940000,outside,394940
526021001,yes,526021
131361000,no,131361
131361001,0,131361
131361008,city,131361
263881004,trees,263881
1739000,3,1739
132814002,nothing,132814
526040000,yes,526040
526044000,water,526044
526044005,cow,526044
526044008,yes,526044
526044011,yes,526044
526044015,water,526044
526044017,standing,526044
526044029,dirt,526044
1757002,shirt,1757
1757003,,1757
1779000,2,1779
1779001,,1779
132860000,yellow,132860
132860001,7,132860
132860002,0,132860
132861002,noon,132861
132861004,1,132861
437205007,no,437205
437205010,2,437205
437205012,yes,437205
437205016,chair,437205
437205018,2,437205
1799000,no,1799
1799001,unknown,1799
1799003,garbage,1799
526089000,no,526089
526089001,no,526089
526089003,camera,526089
427783001,blue,427783
526103001,fence,526103
526103002,no,526103
1818000,family,1818
263966001,clear,263966
263969001,5,263969
263973003,yes,263973
263973006,black,263973
526126001,yes,526126
526126002,no,526126
502749001,orange,502749
502749002,spring,502749
1840001,high,1840
1841001,3,1841
526132001,sand,526132
526133001,4,526133
526133002,red white and blue,526133
1852000,blonde,1852
132931000,yes,132931
132931002,2,132931
395083005,field,395083
395083006,many,395083
44003000,wall,44003
44003001,0,44003
44003002,2,44003
44003004,1 way,44003
264032002,silver,264032
264032003,2,264032
264032004,blue,264032
395113003,0,395113
395113005,2,395113
526186000,pan,526186
526186001,woman,526186
526188001,no,526188
526188003,star,526188
1903002,left,1903
395124005,rectangle,395124
395124007,leaves,395124
395124008,wall,395124
526197004,1,526197
526197005,1,526197
526197006,2.00,526197
205196000,3,205196
205196003,dessert,205196
175082003,no,175082
132992000,3,132992
133000001,amtrak,133000
133000002,bridge,133000
133000003,new york,133000
133000009,blue,133000
133002005,4,133002
526222000,nike,526222
502766001,sheep,502766
306159003,2,306159
1948001,10,1948
1948002,bird,1948
133025001,5,133025
1960002,blue,1960
133034000,sony,133034
133034004,3,133034
133034005,no,133034
133034006,black,133034
133034008,yes,133034
395180001,boating,395180
264110003,teddy bear,264110
526256000,yes,526256
526256002,no,526256
395185000,tree,395185
395185001,pole,395185
395185002,1 way,395185
133042000,2,133042
133042004,18,133042
133042007,baseball field,133042
133042008,playing baseball,133042
133042011,yankees,133042
133042012,umpire,133042
264121002,harley,264121
264121004,back,264121
133050000,yes,133050
133050003,black,133050
133050006,0,133050
133050008,0,133050
133050009,counter,133050
133050010,yes,133050
153249002,skateboarder,153249
153249006,skateboarding,153249
395210000,time,395210
395210001,bench,395210
395210002,no,395210
395210003,3,395210
395210005,outside,395210
175096002,yes,175096
2006003,4,2006
264155005,can't tell,264155
264155006,yes,264155
264155011,coca cola,264155
395230000,silver,395230
395230002,ford,395230
395230003,no,395230
395230004,ford,395230
133087001,yes,133087
264161000,camera,264161
264161005,0,264161
264161006,sitting,264161
165919001,english,165919
526319001,juice,526319
133104005,yes,133104
264180002,eating,264180
175102000,banana,175102
175102001,nothing,175102
175102003,banana,175102
264191000,white,264191
133125002,curtain,133125
526342002,hotel,526342
526342005,food,526342
133131001,no parking,133131
133131004,graffiti,133131
2061001,phone,2061
526353001,walking,526353
526353003,yes,526353
526353005,luggage,526353
395283001,blue,395283
133142000,no,133142
526359000,0,526359
526359002,ceiling,526359
526359004,living room,526359
526360002,no,526360
395291000,2,395291
395291002,green,395291
395291004,glove,395291
395291005,no,395291
395291007,throw,395291
526364003,no,526364
526364004,3,526364
526364005,yes,526364
133149001,10,133149
526368001,2,526368
415408005,red,415408
415408006,red,415408
415408009,nothing,415408
526371002,cold,526371
133161000,can't tell,133161
133161001,lemon,133161
133161003,blue,133161
133161005,store,133161
526392001,no,526392
526394000,1,526394
395324002,yes,395324
395324003,2,395324
395324008,yes,395324
415413002,night,415413
526401001,road,526401
526401003,yes,526401
133195002,12:00,133195
133195004,yes,133195
395343000,6,395343
264279001,front,264279
526425001,lab,526425
526425003,lab,526425
133210000,3,133210
133210001,brown,133210
2139000,no,2139
2139001,yes,2139
2139002,towel,2139
2139003,black,2139
2139004,yes,2139
2142001,2,2142
395364000,8,395364
395364002,roof,395364
2149001,apple,2149
2149004,6,2149
2153000,yes,2153
2153001,red,2153
2153004,no,2153
2154001,yes,2154
131431000,stone,131431
131431004,yes,131431
131431006,yes,131431
131431007,yes,131431
2157000,fruit,2157
2157002,strawberries,2157
526446000,25,526446
133233002,background,133233
395378000,wire,395378
2164002,white,2164
133237000,big,133237
395382000,fire hydrant,395382
526456001,2,526456
526456004,2,526456
133251008,terrier,133251
133251010,chair,133251
133251011,terrier,133251
133251013,couch,133251
133251020,no,133251
133251022,dog,133251
395402005,playing,395402
395402006,heart,395402
395405004,1,395405
526486000,no,526486
526486002,decoration,526486
526486003,left,526486
133279000,white,133279
133279002,10,133279
2212005,mutt,2212
2212006,sleeping,2212
133291001,restaurant,133291
153288001,woman,153288
2239001,professional,2239
2239002,w,2239
2239006,hard,2239
2239007,red,2239
2239009,yellow,2239
2240000,5,2240
264385001,apple,264385
264385003,0,264385
264385005,yes,264385
395462002,red,395462
395463002,no,395463
395463007,cake,395463
526536002,no,526536
526536007,yes,526536
526555000,yes,526555
526555003,diamond,526555
526555004,white,526555
133343002,dark,133343
133343003,0,133343
526560004,yes,526560
264420001,yes,264420
264420002,trunk,264420
264420003,zoo,264420
264424003,3,264424
480173002,1,480173
526580006,jeans,526580
526580009,wii controllers,526580
526580013,nothing,526580
526580015,remote,526580
2295001,hat,2295
2295002,yes,2295
2295003,8,2295
2295005,real,2295
395512001,yes,395512
264441002,leather,264441
2299000,30,2299
2299001,20,2299
133377002,yes,133377
264454001,2,264454
133386001,skateboarding,133386
133386003,black,133386
133386011,6,133386
133386017,8,133386
133386018,7,133386
133386020,yes,133386
264461002,woman,264461
387000,on table,387
387001,apple,387
387003,2,387
175151002,1,175151
133412002,cheese,133412
395557001,yes,395557
22236000,metro,22236
22236002,50,22236
2346002,brown,2346
264497002,dress,264497
526645000,no,526645
526645001,no,526645
526645004,eating,526645
526645006,yes,526645
526654001,0,526654
526675001,3,526675
2388002,trash can,2388
395606000,b,395606
395606003,no,395606
264540000,oak,264540
133470000,4,133470
133470001,bench,133470
133470003,water,133470
133470005,swimming,133470
133470006,swimming,133470
133476003,beer,133476
133476007,yes,133476
133476008,chocolate,133476
133476012,ham,133476
133476015,yes,133476
133476019,beer,133476
395621007,4,395621
133485000,0,133485
133485001,no,133485
133485002,2,133485
395634002,nothing,395634
526711001,united,526711
395644001,3,395644
2431001,spoon,2431
526721002,table,526721
526723002,black,526723
526723007,walking,526723
526723009,black and white,526723
526723013,walking,526723
526723014,no,526723
526728001,hotel,526728
526728002,building,526728
502001001,phones,502001
502001004,yes,502001
395665002,no,395665
69914000,black,69914
69914003,clock,69914
69914005,oven,69914
69914006,gray,69914
69914008,glove,69914
69914010,chairs,69914
526751002,yes,526751
526751005,water,526751
133537000,silver,133537
526756000,clock,526756
526756001,6,526756
502854002,standing,502854
264615000,5,264615
264615001,5,264615
526762001,6,526762
2477000,yes,2477
2477001,sitting,2477
2477002,chair,2477
526767005,yes,526767
526767006,wall,526767
133559000,2,133559
133559001,people,133559
526778001,red,526778
526778002,ski,526778
395714000,hot,395714
395714001,12,395714
133571002,farm,133571
395717001,no,395717
395723000,no,395723
264654000,2,264654
264654001,yes,264654
526800001,3,526800
526800002,catcher,526800
526801003,paper,526801
526801004,5,526801
264659001,seagulls,264659
264660001,pictures,264660
264660003,pictures,264660
526806000,no,526806
2521001,0,2521
2521014,stop,2521
2521017,light,2521
2521020,words,2521
133596000,can't tell,133596
262565002,25,262565
2529002,noon,2529
2529003,brick,2529
2529004,short,2529
2529007,0,2529
2532001,no,2532
395752002,don't know,395752
395752004,no,395752
264683001,navy,264683
264686001,4,264686
133619002,white,133619
133620000,hat,133620
133620003,no,133620
133622008,dinner,133622
22271000,yes,22271
22271002,parking,22271
133631000,ivory,133631
2562003,yes,2562
133636000,2,133636
133636002,2,133636
133645003,ferry,133645
264718000,short,264718
264718003,green,264718
264718004,street,264718
264718007,street,264718
133648000,no,133648
395801002,people,395801
395801004,yes,395801
395801007,noon,395801
264730001,night,264730
2587001,banana,2587
2592000,nothing,2592
2592002,starbucks,2592
131504001,noon,131504
131504003,left,131504
133667001,chair,133667
133667002,nothing,133667
133667003,car,133667
526892000,electric,526892
526892001,standing,526892
133679003,0,133679
133680001,yes,133680
133680008,bike,133680
133680009,1,133680
264753000,,264753
2613009,both,2613
395831000,hot dog,395831
133690005,0,133690
133693000,water,133693
133693001,unknown,133693
133693003,unknown,133693
133693005,light,133693
133693009,nothing,133693
133693013,0,133693
133693019,t,133693
133693020,0,133693
133693022,0,133693
133693023,store,133693
264769000,2,264769
264769005,open,264769
264769006,table,264769
133698002,no,133698
133698003,yes,133698
395849000,landing,395849
395849002,red,395849
2640003,4,2640
264787002,1,264787
264787003,nothing,264787
395865000,main,395865
395865002,fire hydrant,395865
526940000,playing game,526940
262587002,0,262587
264805001,bathroom,264805
264805003,blue,264805
526955000,toy,526955
526955003,bird,526955
526956000,5,526956
526956001,nothing,526956
526956002,2,526956
526962005,stuffed animal,526962
526962007,back,526962
526962016,toy,526962
526962017,sleeping,526962
264819001,round,264819
264819002,0,264819
133750000,5 feet,133750
568425002,red,568425
568425003,no,568425
2684002,2,2684
2685001,no,2685
2685002,3,2685
395903000,2,395903
395904002,christmas,395904
395904003,food,395904
2690000,yes,2690
2690002,50,2690
264853000,nothing,264853
264855000,10,264855
264855003,hair,264855
264855004,sitting,264855
395928002,5,395928
527002002,rope,527002
527002003,no,527002
109679000,white,109679
109679001,shoes,109679
527022007,30,527022
527025001,people,527025
527029001,cooking,527029
527029002,food,527029
283785000,man,283785
283785001,sitting,283785
283785002,suit,283785
133821000,blue,133821
527038002,0,527038
527040000,1,527040
527040002,chicken,527040
2753001,collie,2753
133827001,yes,133827
133827010,yes,133827
2759000,no,2759
2759002,1,2759
395978002,summer,395978
568439000,yes,568439
568439004,3,568439
568439005,2,568439
133836001,2,133836
133836002,blue and white,133836
133836003,platform,133836
527054000,yes,527054
264919000,nothing,264919
264919002,surfboard,264919
527064000,round,527064
527064001,yes,527064
395997001,0,395997
305609004,food,305609
264940000,cut,264940
264940001,circle,264940
133869002,0,133869
527086000,6,527086
527086003,yes,527086
264948005,2,264948
527098000,both,527098
527102000,food,527102
527102003,both,527102
264961001,yes,264961
2822000,fence,2822
264968004,yes,264968
264968005,short,264968
396051001,white,396051
396051002,daytime,396051
2839002,basket,2839
264992000,paper,264992
264992002,1,264992
133923003,0,133923
396068002,no,396068
133927004,2,133927
133927009,w,133927
133927010,sandals,133927
133928003,boat,133928
133928006,chicago,133928
265003001,yes,265003
265003003,frisbee,265003
133933000,no,133933
133933008,nothing,133933
133933009,playing wii,133933
133933014,black,133933
133933019,16,133933
133933020,nothing,133933
2867001,yes,2867
527163000,5,527163
527164000,0,527164
527164001,yellow and red,527164
396094002,yes,396094
2881004,military,2881
2890000,nothing,2890
2890001,yes,2890
133964001,duck,133964
133964002,fishing,133964
2894003,metal,2894
133969001,0,133969
133969002,left,133969
527193000,down,527193
527193001,fence,527193
527193002,4,527193
527193003,walking,527193
265050000,no,265050
240783001,12,240783
265059002,0,265059
265063001,2,265063
265063004,busy,265063
265066002,3 feet,265066
265066003,25,265066
265066005,20,265066
265069003,blue,265069
134001001,4,134001
134001002,brick,134001
527220000,free,527220
527220001,honda,527220
134010017,yes,134010
