QuestionID,BAN,ImageID
73503002,collar,73503
249295001,3:00,249295
558454001,p,558454
65124001,brown,65124
91909000,no,91909
270883005,skirt,270883
232503002,5,232503
25846000,dell,25846
86426005,no,86426
573149004,no,573149
471483002,toy,471483
96241002,formal,96241
147897000,towel,147897
573778003,log,573778
197004003,cheese,197004
82229001,left,82229
257036007,black,257036
156102001,taking picture,156102
175539003,stop sign,175539
394715000,yes,394715
460675002,bowl,460675
530457001,5,530457
39540004,cheese,39540
73239001,work,73239
224777002,no,224777
3934004,winter,3934
465267001,1,465267
382729000,no,382729
1668001,boston,1668
224622001,1:05,224622
6896004,feeding giraffe,6896
56669000,playing frisbee,56669
323186000,round,323186
506587002,1,506587
425462003,dodgers,425462
150986000,right,150986
368884002,house,368884
442143002,right,442143
37717004,0,37717
432619000,yes,432619
254045008,cat,254045
548843004,no,548843
3947013,trees,3947
77837000,unknown,77837
423944000,left,423944
65170002,1,65170
581206001,no,581206
116722003,no,116722
97577001,3,97577
407783004,red,407783
192062002,sunset,192062
32038004,spoon,32038
125201004,2:35,125201
125539005,yes,125539
156184000,0,156184
141673002,woman,141673
171740002,gray,171740
94666000,in basket,94666
40259003,no,40259
383435002,cat,383435
321557003,harley,321557
460927000,desert,460927
192699002,yes,192699
506561002,no,506561
482350001,white,482350
43947005,obama,43947
506401003,unknown,506401
314370005,nowhere,314370
444028008,no,444028
318730001,paper,318730
477172002,1,477172
436323002,1,436323
281820001,1,281820
174336004,pasta,174336
388211004,2,388211
358301000,38,358301
145209003,pink,145209
470553003,cake,470553
419379003,table,419379
177407003,black,177407
581593002,restaurant,581593
12085010,2,12085
487861004,yes,487861
288890012,white,288890
23201005,helmets,23201
531928006,2,531928
389699021,grass,389699
44075004,nothing,44075
33798001,electricity,33798
263083000,natural,263083
430640006,2,430640
27371025,walking,27371
571313002,floor,571313
291572000,boston,291572
412184023,0,412184
447200003,no,447200
65267003,yes,65267
97868001,yes,97868
300644002,asparagus,300644
24567001,yes,24567
99810017,nothing,99810
314396000,yes,314396
21483000,52,21483
316499000,cow,316499
191761000,3,191761
256743008,surfboard,256743
67896005,12:28,67896
403150001,no,403150
219269001,desk,219269
244099018,reins,244099
262197000,1,262197
432607012,books,432607
485580001,dell,485580
534734004,ball,534734
140797000,potato,140797
262895016,serious,262895
563281001,standing,563281
308391002,library,308391
187362005,short,187362
427980000,white,427980
577853007,bananas,577853
6091001,nothing,6091
137294000,1,137294
29136001,yes,29136
68435010,pink,68435
511251000,0,511251
444324007,nothing,444324
74388001,stove,74388
409914009,wall,409914
408950000,go,408950
381658003,38,381658
402720000,birthday,402720
332916008,stop,332916
393804002,no,393804
389419003,tie,389419
551129002,pizza,551129
526580022,wii,526580
465996010,right,465996
165351000,no,165351
398423003,backhand,398423
321062009,6,321062
493235001,soap,493235
365626005,living room,365626
186175000,construction,186175
113897004,unknown,113897
74124003,standing,74124
72657005,sleeping,72657
363461000,no,363461
259640004,fruit,259640
483135002,female,483135
378712000,dinner,378712
358642002,yes,358642
292804006,on building,292804
111970001,yes,111970
202093003,0,202093
356531009,mozzarella,356531
114870001,teddy bear,114870
541486000,1,541486
553471002,clock,553471
89503004,3,89503
193936000,7,193936
105751001,1:50,105751
247369001,blue,247369
110601011,wall,110601
55074000,catcher,55074
205040003,0,205040
39628005,40,39628
49885000,canada,49885
28285000,tower,28285
110027001,eating,110027
203438011,clock,203438
178156007,red,178156
193031003,4,193031
424721006,3,424721
433676004,no,433676
437859002,4,437859
236845008,t,236845
21483001,yes,21483
384528001,no,384528
209048002,drink,209048
273698005,nothing,273698
509514000,playing,509514
300784002,3,300784
274671000,glazed,274671
255784000,20,255784
39053001,0,39053
458325000,yes,458325
194352007,4,194352
133000009,white,133000
386707001,drinks,386707
56400000,nothing,56400
542594004,2,542594
442165002,8,442165
362951001,pizza hut,362951
465735005,star,465735
330495003,no,330495
561100002,blue and white,561100
182820012,no,182820
570516000,2,570516
5599004,blue,5599
143010005,yes,143010
78023011,no parking,78023
570521008,brown,570521
539717001,no,539717
181591006,home,181591
44989000,2,44989
408248005,8,408248
140263000,food,140263
473632016,bed,473632
146825003,2,146825
190664004,0,190664
234328001,mustard,234328
253489001,flowers,253489
336937000,toilets,336937
150788002,3,150788
103027000,floor,103027
99984002,yes,99984
54761006,2,54761
204935001,safety,204935
327436004,cake,327436
231476004,bridge,231476
533173002,4,533173
73239008,6,73239
471043002,food,471043
387850003,5,387850
323525003,44,323525
201025003,1,201025
567340043,yes,567340
290078001,concrete,290078
334305001,yellow,334305
539141002,standing,539141
304012005,no parking,304012
380906000,sitting,380906
296859002,nothing,296859
224004001,white,224004
275111000,yes,275111
169682000,no,169682
149785006,paint,149785
551944000,10,551944
199610002,sheep,199610
561539001,4,561539
537438000,2,537438
473973002,green,473973
239376004,sink,239376
48554000,no,48554
304741004,surfboard,304741
201418001,plane,201418
539717000,no,539717
142360009,hat,142360
424349002,counter,424349
363286000,nothing,363286
294053003,no,294053
262605004,tv,262605
77102001,brown,77102
549448002,55,549448
133386013,4,133386
254869001,floral,254869
93476001,10:55,93476
150788000,no,150788
509826023,cloudy,509826
74458002,tv,74458
402346010,lily,402346
458313008,12,458313
336654006,bank of america,336654
395606001,dodgers,395606
356337007,cake,356337
303653001,man,303653
202093007,herd,202093
142487010,dunkin donuts,142487
527845000,0,527845
343193017,samsung,343193
125286012,directions,125286
192039000,no,192039
526186000,pan,526186
61418014,bench,61418
411241008,laptop,411241
507782005,no,507782
30548004,yes,30548
277146000,2,277146
85584001,windsurfing,85584
26547002,colgate,26547
519461002,yes,519461
554669001,yes,554669
210749000,jump,210749
481819000,2012,481819
180357006,halloween,180357
195897003,blue,195897
140439007,4,140439
172851009,2016,172851
456053000,caution,456053
194729000,20,194729
97868002,no,97868
316666000,table,316666
261346001,white,261346
219655008,no,219655
498541000,state farm,498541
509416001,tim hortons,509416
390099003,living room,390099
64621001,2,64621
425447003,dog,425447
482477002,black,482477
167964004,sign,167964
309405001,vase,309405
141135004,phone,141135
275501000,sand,275501
371330002,1,371330
338624006,stop,338624
116046028,1,116046
544655001,blue,544655
44910009,no,44910
52689000,10,52689
44749000,no,44749
353889001,w,353889
312552008,nothing,312552
399873000,no,399873
202225003,natural,202225
115088002,yes,115088
21378004,school bus,21378
139472002,no,139472
336587024,nothing,336587
568148000,chair,568148
304834000,frisbee,304834
318777003,umpire,318777
56865000,protection,56865
395621003,yes,395621
217301005,12,217301
213728004,unknown,213728
569274002,baseball,569274
440991005,left,440991
318596002,signs,318596
458918001,0,458918
53404007,1,53404
444626000,broccoli,444626
176519000,no,176519
229324000,kitchen,229324
258516001,animals,258516
395997001,0,395997
398727001,fish,398727
415828017,10,415828
369817004,brown,369817
120478006,directions,120478
566264002,no,566264
170127008,yes,170127
75481002,parking,75481
147195001,yellow,147195
399791000,sitting,399791
386204043,black,386204
78838003,10,78838
385896013,skateboarding,385896
577840000,chair,577840
314112006,cutting cake,314112
21382004,tree,21382
394444000,stone,394444
391648006,9:50,391648
226592001,striped,226592
82367012,nothing,82367
374052001,unknown,374052
289741001,no,289741
320641035,no,320641
484075000,green,484075
111817000,yes,111817
118739000,half,118739
135620000,lighthouse,135620
313156000,3,313156
469996001,0,469996
434494032,yellow,434494
518234006,noon,518234
211115000,2,211115
528049002,dell,528049
250051002,color,250051
195542005,yes,195542
510657002,5,510657
189368013,1 foot,189368
61722003,14,61722
321307002,unknown,321307
209048005,red,209048
550013017,leash,550013
985006,can't tell,985
75456002,yes,75456
353836000,car,353836
334276003,8,334276
331627002,bowtie,331627
282878009,3,282878
177496000,no,177496
489764012,head,489764
288890004,cutting hair,288890
377984008,shirt,377984
396692008,9,396692
467475012,20,467475
18224005,w,18224
570521011,yes,570521
560235002,broadway,560235
485027002,right,485027
554266000,no,554266
191585001,1,191585
159977005,lake,159977
70460000,0,70460
161840003,2,161840
366095008,6,366095
329011000,yes,329011
312103003,unknown,312103
357758000,street,357758
285497001,down,285497
268966002,yes,268966
558611001,bananas,558611
445682001,yes,445682
88252001,no,88252
533106001,standing,533106
178690001,wall,178690
50100012,church,50100
135972000,pipes,135972
357743000,solid,357743
466005002,nowhere,466005
575719000,unknown,575719
30213001,0,30213
433714003,yes,433714
567253000,1,567253
331604000,kite,331604
265407006,yes,265407
229840003,grass,229840
200862005,3,200862
351466003,1:55,351466
131416003,coke,131416
562347001,no,562347
102741001,yes,102741
115912003,surfing,115912
64718002,unknown,64718
194790002,5,194790
161736000,yes,161736
451859001,birds,451859
287725003,main,287725
352684009,yes,352684
97592000,5,97592
444804001,lilies,444804
110081014,10,110081
240501006,yes,240501
169166002,outside,169166
474439009,pink,474439
60823002,cows,60823
175785037,flowers,175785
239327005,beanie,239327
203095004,cutting board,203095
443343002,bench,443343
464682003,0,464682
484938006,wii remote,484938
386332004,yes,386332
133933000,no,133933
150117006,no,150117
318471008,maple,318471
462632002,heart,462632
48910002,no,48910
136644002,people,136644
473919001,4,473919
151790002,coffee,151790
384092010,25,384092
469067001,couch,469067
172877003,man,172877
437738038,street,437738
460632008,white,460632
461036003,yes,461036
51773001,polo,51773
234779003,2,234779
530367003,no,530367
468171003,2,468171
142744000,unknown,142744
36032006,red bull,36032
485673002,lot,485673
529139014,phone,529139
182236000,female,182236
268944001,jet,268944
154222003,mirror,154222
160057001,sandwich,160057
233139000,english,233139
496525007,show,496525
72546000,8,72546
469793002,no,469793
111593004,umbrella,111593
410810003,3,410810
449471000,5,449471
573536034,gray,573536
236234001,wine,236234
261603002,no,261603
283520000,frisbee,283520
22118001,5,22118
186240002,eating,186240
125208013,hair,125208
336384001,no,336384
350874000,no,350874
378098006,beef,378098
398423002,yes,398423
553162000,fall,553162
163496009,yes,163496
380495000,no,380495
507667000,beach,507667
321861003,standing,321861
433505031,lamp,433505
84097002,yes,84097
286342001,no,286342
431364002,no,431364
51610002,at camera,51610
22208008,sony,22208
411093001,no,411093
146730000,modern,146730
253095001,parade,253095
426520002,round,426520
281056002,t shirt,281056
560000000,cheese,560000
327177011,bmw,327177
5601003,boats,5601
402869004,end,402869
398005001,3,398005
255592005,toys,255592
305545003,yes,305545
209868001,pizza,209868
437594005,picture,437594
29472002,white,29472
309514002,knife,309514
14257002,left,14257
158494001,2,158494
398237000,2,398237
189103003,yes,189103
516732004,left,516732
13769013,window,13769
251395001,right,251395
426897002,nothing,426897
566729003,rock,566729
235914000,many,235914
172922010,yes,172922
310711003,daisies,310711
321071002,yes,321071
25202002,1,25202
361521003,flag,361521
566173010,gloves,566173
548174001,feeding,548174
369470002,yes,369470
314965000,no,314965
314125003,pizza,314125
549937000,skateboarding,549937
79721004,right,79721
510681004,rug,510681
141574002,7,141574
4980002,nothing,4980
279256002,25,279256
128586001,white,128586
417332002,red,417332
338153001,don't walk,338153
369506002,3:20,369506
532426000,motorcycle,532426
93601003,cake,93601
239041005,nothing,239041
296265012,ocean,296265
133608007,yes,133608
227765003,1,227765
333808000,branch,333808
188109001,floral,188109
65520005,blue,65520
147300010,right,147300
476406001,no,476406
55059002,in air,55059
135266002,at camera,135266
482071006,grass,482071
537864001,2 feet,537864
379584001,nothing,379584
436695013,river,436695
138517001,food,138517
51598003,suitcase,51598
16180000,black,16180
133698002,no,133698
193704001,outside,193704
225786013,beanie,225786
545550000,no,545550
131847001,door,131847
288229000,mcdonald's,288229
95300001,bathroom,95300
288579006,frisbee,288579
71673002,yes,71673
142129005,black,142129
51167001,6,51167
136929002,1,136929
417854002,white,417854
275727002,train,275727
121534001,black,121534
79878013,clean,79878
180383000,yes,180383
23309001,yellow,23309
93601001,12,93601
441028001,yes,441028
342146001,wool,342146
73201000,blue,73201
487428009,black,487428
217183000,flowers,217183
11291000,yes,11291
490320000,all,490320
313428001,dog,313428
561619000,man,561619
343193010,sky,343193
317325012,yes,317325
364413002,no,364413
549560002,no,549560
305464000,no,305464
366316000,no,366316
520326003,0,520326
445999002,no,445999
348083002,yes,348083
199516009,yes,199516
247519003,chair,247519
403107002,0,403107
381968001,wood,381968
116389000,yes,116389
392905007,1,392905
282206004,boat,282206
291582002,black and white,291582
291202001,wall,291202
77063002,running,77063
308295006,yes,308295
532575002,round,532575
563271002,no,563271
364703004,red,364703
415904002,6,415904
327388002,cargo,327388
231408008,yes,231408
239837004,3:00,239837
279265000,nothing,279265
263884002,5,263884
529568000,modern,529568
82157023,nothing,82157
161044002,3,161044
7274000,food,7274
88269004,orange,88269
361992000,silver,361992
119710002,trees,119710
17613003,maple,17613
506310000,no,506310
162393000,mercedes benz,162393
408248008,4,408248
261645001,logo,261645
179948000,building,179948
315868002,helmet,315868
212058007,no,212058
95427000,table,95427
106677002,on pole,106677
422686000,3,422686
345848000,horse,345848
244822000,left,244822
300155001,2,300155
211203000,0,211203
557422009,restaurant,557422
279331005,bag,279331
186637001,people,186637
395364000,2,395364
388014001,3,388014
389401001,collar,389401
408138010,pole,408138
318730006,no,318730
507154024,1,507154
120918001,dirt,120918
94194029,bedroom,94194
190007001,0,190007
97315001,down,97315
315696003,yes,315696
297562000,red,297562
206413000,4,206413
554291002,hat,554291
202572004,no,202572
358642000,bear,358642
441974003,sony,441974
267315002,phone,267315
463555002,thin,463555
547144001,work,547144
566324002,no,566324
405191012,1,405191
123131004,light,123131
93639002,standing,93639
184388003,walking,184388
376442005,yes,376442
291074001,white,291074
184746002,no,184746
81100002,white,81100
85329003,2,85329
434148002,lemon,434148
69911008,4,69911
435260000,2,435260
107105010,usa,107105
473754006,yes,473754
77172000,no,77172
376441002,yes,376441
92196007,person,92196
344439000,east,344439
225670003,yes,225670
136642011,yes,136642
47285000,donuts,47285
490012001,10:20,490012
347039000,9:50,347039
550117002,red,550117
64342016,3,64342
378347002,yes,378347
402674001,yes,402674
297085006,birds,297085
558012002,computer,558012
235747001,10:00,235747
265234008,can't tell,265234
47071002,very tall,47071
18490007,driveway,18490
208494000,at camera,208494
140540001,yes,140540
278843002,yes,278843
261744004,ocean,261744
518348003,sand,518348
56651000,1,56651
92648005,office,92648
425805000,graffiti,425805
44612009,eat,44612
254927001,goalie,254927
364126000,blue,364126
20784003,emirates,20784
264769000,2,264769
187054002,england,187054
170700006,yellow,170700
398882002,restaurant,398882
75426007,yes,75426
74369001,no,74369
236996001,mustard,236996
474906049,no,474906
528225018,4,528225
488573003,car,488573
473069007,unknown,473069
579201001,yes,579201
530656002,no,530656
138151001,no,138151
572671001,bottle,572671
67534000,no,67534
490842001,8,490842
267135000,above sink,267135
223314005,no,223314
540789001,left,540789
392818001,yes,392818
533855001,yes,533855
245162010,nothing,245162
238029055,nowhere,238029
201622000,10,201622
502715000,walk,502715
427135010,7,427135
19322001,yes,19322
345245000,towel,345245
362352001,10,362352
295051002,no,295051
71596004,2,71596
388927003,noon,388927
22213000,10,22213
437392000,unknown,437392
27610000,selfie,27610
158801001,2,158801
117525000,2,117525
45478000,no,45478
151651001,green and white,151651
319024000,down,319024
419867001,bananas,419867
249534001,yes,249534
555390002,left,555390
490441004,no,490441
401240007,family,401240
486175009,carrot,486175
562885000,stop,562885
47552001,red,47552
24553004,no,24553
12733000,fall,12733
463771001,glass,463771
340529003,yellow,340529
57095000,left,57095
279047002,3,279047
105448000,street,105448
416104001,5,416104
553097004,tower,553097
13597002,carrot,13597
224702003,no,224702
56983005,no,56983
22004001,yes,22004
61108002,dog,61108
511852008,snow,511852
424585002,no,424585
505455029,yes,505455
83761003,3,83761
111194004,yes,111194
13546005,on bench,13546
54959001,1,54959
113579000,horse,113579
179642001,shirt,179642
87588001,reflection,87588
344702000,unknown,344702
257685002,no,257685
338019002,no,338019
552289001,food,552289
119965002,no,119965
227893007,nothing,227893
541391004,no,541391
123131002,yankees,123131
519329002,yes,519329
391132000,counter,391132
177889000,1,177889
292467000,noon,292467
346965002,pug,346965
569722000,no,569722
150378001,6,150378
315740001,no,315740
557595000,long,557595
440646002,0,440646
299776002,no,299776
89062000,wine glass,89062
62875006,5,62875
145436001,no,145436
207832002,jp morgan,207832
312627000,sign,312627
579693002,no,579693
422212000,1,422212
197424003,1,197424
506942002,yes,506942
567118002,2,567118
240783001,12,240783
7023002,green,7023
28463002,checkered,28463
214421006,flower,214421
139843005,1:05,139843
509826058,outside,509826
413685001,polo,413685
319935000,3,319935
372428000,2,372428
435309003,right,435309
447187002,10,447187
19817000,plastic,19817
275843008,yellow,275843
515421013,bread,515421
537692002,off,537692
383337001,4,383337
177069002,black,177069
243775002,5:00,243775
551959006,nothing,551959
218343003,red,218343
380244021,lamp,380244
358833012,natural,358833
543220002,skate,543220
108679001,kickstand,108679
356740002,0,356740
244401002,10,244401
499388000,main,499388
396518001,skateboarding,396518
154584022,yes,154584
416309002,30,416309
477853002,2,477853
112437002,woman,112437
52166000,3,52166
70190011,hanger,70190
544495001,no,544495
104930000,cake,104930
258581004,time,258581
240637034,cat,240637
268412009,no,268412
92656002,red,92656
527906002,apple,527906
310543001,sitting,310543
442305001,orange,442305
31735000,decoration,31735
10977005,white,10977
222635034,no,222635
27326008,2,27326
570242005,yes,570242
157771002,no,157771
345787001,purple,345787
484721000,0,484721
542856002,coca cola,542856
578347000,water,578347
560440001,brick,560440
335887021,model,335887
464033000,no,464033
80303000,truck,80303
433204015,road,433204
254167002,glasses,254167
123220003,floor,123220
387551002,0,387551
29573002,wall,29573
89150001,hat,89150
539310006,yes,539310
341487001,welcome,341487
359959002,unknown,359959
451944001,bus stop,451944
154584010,woods,154584
570101002,wood,570101
269922000,california,269922
36539005,left,36539
133386004,nothing,133386
146831000,foot,146831
342515006,honda,342515
365177002,metro,365177
134459001,7,134459
1584002,1,1584
270883003,bracelet,270883
415420004,no,415420
334760004,statue,334760
11742002,wine,11742
45176000,no,45176
523250001,yes,523250
344741000,no,344741
88562002,brown,88562
183456001,fork,183456
528046000,yes,528046
117098002,no,117098
444073001,dogs,444073
471175002,no,471175
128476002,pink and yellow,128476
179317022,phone,179317
9548002,friends,9548
260627008,grass,260627
426700001,stripes,426700
61684000,forward,61684
202913002,yes,202913
441874002,5,441874
173217002,top,173217
195851001,yellow,195851
419828002,1,419828
323853005,apple,323853
290293000,yes,290293
504287001,kia,504287
189845002,1,189845
14271000,green,14271
112085001,nothing,112085
561745003,no,561745
501502006,5,501502
316912008,tree,316912
272615001,no,272615
420110025,natural,420110
333402009,city,333402
446301006,no,446301
13550001,zoo,13550
324161004,big ben,324161
303672000,1,303672
69914003,clock,69914
575174007,nothing,575174
307166002,blue,307166
90284001,on woman,90284
276841002,yes,276841
493846006,no,493846
114303000,yes,114303
452321001,no,452321
273442000,no,273442
549171001,cutting,549171
1903002,left,1903
71807000,noon,71807
168974000,no,168974
432647011,yes,432647
301950007,chicken,301950
364016001,music,364016
469924002,yes,469924
16574000,6,16574
205531000,4,205531
256814000,food,256814
308278009,4,308278
156606002,stop,156606
129812001,gray,129812
346140005,1,346140
437290003,watch,437290
190690000,unknown,190690
212704001,nothing,212704
171717006,photographer,171717
44642001,very,44642
177496006,yes,177496
486118007,hello kitty,486118
367680001,truck,367680
2139000,no,2139
241291006,motorcycles,241291
32724002,3,32724
126123000,stick,126123
486087007,0,486087
529515004,boston,529515
527631010,chicken,527631
541054000,high,541054
357948001,1,357948
565941034,sandals,565941
425609000,frosting,425609
452308003,yes,452308
449976002,wood,449976
262175003,yes,262175
219676000,very,219676
246237002,sign,246237
68352001,no,68352
298933003,2,298933
30967002,yes,30967
190313009,nothing,190313
579859016,1,579859
444324005,playing wii,444324
458918004,2:15,458918
8498000,3:00,8498
422700018,phone,422700
373289002,no,373289
221199001,skateboard,221199
85005002,yes,85005
387515000,parked,387515
218183000,white,218183
49683007,31,49683
197444006,fork,197444
334884007,green,334884
376307008,many,376307
378096001,wisconsin,378096
74035010,sheep,74035
464006000,broken,464006
118607003,0,118607
256743013,surfboard,256743
37865002,corn,37865
40894002,christmas,40894
318388002,metal,318388
548164002,noon,548164
231408013,yes,231408
231408018,striped,231408
498535001,orioles,498535
475890001,1:30,475890
26371016,nothing,26371
89430017,yes,89430
569700000,1,569700
552947001,2,552947
75723002,house,75723
200492004,table,200492
574063000,oval,574063
296388001,9,296388
218365003,no,218365
523772002,donut,523772
262993001,3,262993
1700003,no,1700
514376002,blue,514376
478055001,2,478055
248919012,rack,248919
545114003,0,545114
58636000,right,58636
338703001,beanie,338703
216333001,3,216333
21046001,nothing,21046
135155016,skiing,135155
116096001,blue and white,116096
337619000,trees,337619
53952007,100,53952
255578001,dinner,255578
277521000,no,277521
304447000,no,304447
342819005,picture,342819
361947003,0,361947
398882000,building,398882
93236003,cargo,93236
159667000,computer,159667
412455002,old,412455
273728017,outside,273728
327149004,water,327149
357194004,wall,357194
20777006,theater,20777
562879000,2:35,562879
47131002,no,47131
216096000,4,216096
226170000,carrots,226170
138768000,no,138768
462982000,rack,462982
130465003,3:00,130465
41373000,sleeping,41373
536166006,4,536166
465449000,elephant,465449
342817000,smooth,342817
57814004,no,57814
259216002,red,259216
229267000,6,229267
290698003,inside,290698
287527001,yes,287527
33958000,no,33958
473767000,all way,473767
