QuestionID,MCAN+BERT,ImageID
525344000,green,525344
525344003,american,525344
263202000,0,263202
263202002,samsung,263202
132132003,bananas,132132
153094001,night,153094
153094004,night,153094
153094007,night,153094
132136000,left,132136
132136001,20,132136
132136002,star,132136
132136009,0,132136
132136010,octopus,132136
525354002,no,525354
263211000,2,263211
263211005,fence,263211
263211006,fence,263211
394288001,elephant,394288
525361000,2,525361
525361002,2,525361
263223008,skiing,263223
525369003,yes,525369
525369006,flowers,525369
525369009,nothing,525369
525371000,yellow,525371
525373002,pizza,525373
1089002,unknown,1089
394320000,red,394320
394322000,outside,394322
394322002,50,394322
263251000,in air,263251
394328000,right,394328
263258000,field,263258
263258001,field,263258
132189000,1,132189
394334001,20,394334
263268000,toilet,263268
423396001,light,423396
423396002,3,423396
394352002,4,394352
1138000,curtains,1138
263288001,food,263288
263288002,table,263288
1146003,suit,1146
263292000,2 hours,263292
263292001,1,263292
263292003,no,263292
263292004,1,263292
1149000,old,1149
1149001,2,1149
1149003,airplane,1149
132223001,baseball,132223
1153000,2,1153
1153004,no,1153
1153005,2,1153
1153007,yes,1153
1153008,4,1153
1153009,glass,1153
1153013,7,1153
218646000,field,218646
1164002,elephant,1164
1171002,50,1171
263323001,yes,263323
263323002,inside,263323
263323007,no,263323
1180000,unknown,1180
1180001,rainbow,1180
132272001,words,132272
132272002,unknown,132272
394418001,wristband,394418
394418002,yes,394418
1205000,wood,1205
1205001,4,1205
263351001,yes,263351
263355002,3,263355
263359000,yes,263359
263359001,brown,263359
263359002,no,263359
263359003,fence,263359
132288004,motion,132288
394449000,1,394449
263382001,noon,263382
263382002,black,263382
394458002,walking,394458
394458003,no,394458
132317000,bird,132317
132317001,3,132317
263393001,yes,263393
525542000,6,525542
525542003,38,525542
525542005,22,525542
525542006,30,525542
525542007,38,525542
525542008,downtown,525542
525542009,22,525542
525542010,daytime,525542
132329001,8,132329
525546001,nothing,525546
301326000,4,301326
132336001,yes,132336
132336002,multi colored,132336
132336005,yes,132336
132336006,yes,132336
132336007,stop,132336
132336008,can't tell,132336
132336010,no,132336
132336011,10,132336
8771002,no,8771
8771004,snow,8771
263412002,raining,263412
263412005,noon,263412
525559000,3,525559
568191002,brown,568191
525568002,camera,525568
525568005,yes,525568
263425000,yes,263425
263425001,nothing,263425
263428000,unknown,263428
132362000,soup,132362
1292000,yes,1292
1292002,scissors,1292
1292005,brown,1292
394510001,graffiti,394510
394510008,ollie,394510
394510009,electricity,394510
394510015,skateboard,394510
394510021,no,394510
394510025,yes,394510
1296001,watch,1296
1296002,camera,1296
525587000,2000,525587
525587001,california,525587
394517002,yes,394517
525600002,zoo,525600
263463000,2,263463
132393001,no,132393
132393002,no,132393
327383000,yes,327383
327383007,1,327383
525616002,1,525616
263474000,blanket,263474
263477001,no,263477
132408001,5,132408
1340001,no,1340
1342001,plane,1342
1342003,unknown,1342
1342009,inside,1342
1342010,0,1342
1342011,office,1342
1342015,1,1342
1342017,table,1342
1342018,boat,1342
1342022,photograph,1342
1342024,unknown,1342
1342025,blue,1342
1342032,plane,1342
1342038,man,1342
1342041,yes,1342
1342046,yes,1342
1342048,plane,1342
1342050,white,1342
1342051,2,1342
1342053,nothing,1342
1342056,unknown,1342
1342059,yes,1342
1342061,cooking,1342
1342063,boat,1342
1342066,table,1342
1342068,unknown,1342
1342069,0,1342
1342071,blue,1342
1342072,map,1342
1342074,unknown,1342
1342082,boat,1342
1342086,2000,1342
1342087,nothing,1342
132415002,no,132415
132415006,ceramic,132415
132415012,no,132415
132415017,restaurant,132415
132415024,small,132415
1347001,paper,1347
1353002,blender,1353
1353003,woman,1353
525646004,broccoli,525646
525646005,broccoli,525646
525646006,broccoli,525646
525646007,yes,525646
525646008,broccoli,525646
525646011,kitchen,525646
174989001,talking,174989
263505000,no,263505
1374000,2,1374
1374001,ground,1374
1374003,yes,1374
525665000,grass,525665
525665001,5,525665
525665007,resting,525665
525665010,beach,525665
525667002,house,525667
554340000,rock,554340
394608000,surfboard,394608
525682002,no dog,525682
394611005,standing,394611
1398000,jeans,1398
1398001,gray,1398
525702004,phone,525702
525702005,yes,525702
525702009,no,525702
525702010,wall,525702
525705000,dodgers,525705
525705001,umpire,525705
525705003,yes,525705
394635000,woman,394635
394635001,train,394635
65773002,floor,65773
132499001,1,132499
132499005,1,132499
1436000,2,1436
1436004,laptop,1436
132509004,no,132509
263586002,25,263586
394659000,white,394659
525732000,yes,525732
394663001,big,394663
263594002,0,263594
394677000,white,394677
1464002,skiing,1464
394681000,yes,394681
394681003,bus stop,394681
263612000,collar,263612
263612004,elephant,263612
263612007,terrier,263612
263613001,goat,263613
132544000,green,132544
525762001,6,525762
525763000,8,525763
132554002,yes,132554
132554009,0,132554
132554013,2000,132554
525777000,train,525777
331753002,0,331753
394715002,speaker,394715
394715003,computer,394715
394715008,night,394715
394715009,yes,394715
394715011,off,394715
394715014,computers,394715
263647001,no,263647
263647002,blue,263647
394724000,no,394724
132587001,nike,132587
263664002,1,263664
263664003,yes,263664
263668000,bus,263668
1525000,airport,1525
1525001,3,1525
1525005,airport,1525
1525006,airport,1525
1525014,airport,1525
1525021,silver,1525
1525026,20,1525
1532000,25,1532
1532002,5,1532
1532003,2,1532
502698000,unknown,502698
132612001,zoo,132612
132612002,eating,132612
132612003,eating,132612
132615000,nowhere,132615
22103000,nothing,22103
1554000,no,1554
1554004,yes,1554
263700001,noon,263700
525849000,pictures,525849
525849001,glass,525849
1563000,skis,1563
1563001,no,1563
1563002,green,1563
1573003,nothing,1573
1573004,yes,1573
263723001,8,263723
132652003,yes,132652
132652010,yellow,132652
132652014,yes,132652
525869002,4,525869
415325001,crossing,415325
1584005,downtown,1584
1584006,road,1584
1584007,2,1584
1584008,4,1584
1584009,4,1584
1584011,24,1584
1584012,front,1584
1584014,street,1584
1584015,1,1584
1584017,long,1584
394801001,apples,394801
394801002,meat,394801
1590000,garbage,1590
1590002,horse,1590
1591001,yes,1591
1591003,1,1591
1592000,yes,1592
371638003,graffiti,371638
22113000,red,22113
525903000,salad,525903
132689000,umbrella,132689
132689001,wooden,132689
132690002,floor,132690
525908002,hair,525908
65806001,white,65806
394840002,right,394840
132702000,broccoli,132702
263780001,1,263780
263780003,4,263780
263780009,middle,263780
22118000,5,22118
22118001,5,22118
1647001,0,1647
263793000,horse,263793
263793001,1,263793
263793006,horse,263793
263793009,horse,263793
263796002,yes,263796
132733001,cake,132733
1667000,toothbrush,1667
1667001,heart,1667
1668000,dodgers,1668
1668001,dodgers,1668
1668002,1,1668
1682002,ball,1682
1682008,broken,1682
1682011,80,1682
525971000,many,525971
263828000,harley,263828
393497001,no,393497
394904002,forward,394904
263834002,china,263834
263834003,riding,263834
263834004,nothing,263834
525988000,no,525988
525988004,sitting,525988
525988011,ribbon,525988
525988016,no,525988
525988017,christmas,525988
525988018,1,525988
525988020,bedroom,525988
525988027,stuffed animal,525988
132776002,yes,132776
526000000,yes,526000
526000001,0,526000
263858000,mountain,263858
263858002,2,263858
526004001,no,526004
526004003,sandwich,526004
132791003,nowhere,132791
263866001,0,263866
263866003,2,263866
131361000,no,131361
131361003,3,131361
131361009,yes,131361
263881004,trees,263881
132814002,trees,132814
526040000,yes,526040
526044000,water,526044
526044005,neither,526044
526044008,yes,526044
526044011,yes,526044
526044015,water,526044
526044017,standing,526044
526044033,ocean,526044
1757003,,1757
1779000,no,1779
1779001,b,1779
132860000,brown,132860
132861002,noon,132861
132861003,5,132861
132861004,1,132861
132861006,10,132861
437205010,2,437205
437205016,banana,437205
437205017,yes,437205
437205022,banana,437205
1799000,no,1799
1799001,fedex,1799
1799003,garbage,1799
1799004,no 1,1799
526089000,no,526089
526089003,guitar,526089
427783001,white,427783
526103001,fence,526103
1818000,family,1818
263966001,red,263966
263973006,black,263973
526126002,no,526126
502749002,summer,502749
1840001,high,1840
1840002,umbrellas,1840
1841001,5,1841
526133001,4,526133
526133002,red white and blue,526133
1852000,blonde,1852
526143001,no,526143
132931002,5,132931
395083006,many,395083
44003000,main,44003
44003001,0,44003
44003002,5,44003
44003004,street,44003
264032001,no,264032
264032002,silver,264032
264032003,2,264032
264032007,no,264032
395113005,1,395113
526186000,spoon,526186
526188003,star,526188
1903002,left,1903
395124000,10,395124
395124005,rectangle,395124
395124007,flowers,395124
395124008,window,395124
526197004,1,526197
526197005,1,526197
205196000,3,205196
205196002,no,205196
175082000,food,175082
175082002,sandwiches,175082
132992000,3,132992
133000001,nothing,133000
133000003,new york,133000
133000009,white,133000
133002005,4,133002
526222000,nike,526222
502766001,sheep,502766
306159003,2,306159
1948001,10,1948
1948002,bird,1948
133025001,5,133025
133025002,right,133025
1955000,many,1955
1960002,blue,1960
133034004,3,133034
133034005,no,133034
133034009,cell phone,133034
395180001,fishing,395180
264110003,teddy bear,264110
526256000,1,526256
395185000,tree,395185
395185001,pole,395185
395185002,white,395185
395185004,summer,395185
133042000,9,133042
133042001,yes,133042
133042004,12,133042
133042007,baseball field,133042
133042008,playing baseball,133042
133042010,no,133042
133042011,dodgers,133042
133042012,umpire,133042
264121002,harley,264121
264121004,back,264121
133050003,black,133050
133050006,0,133050
133050008,1,133050
133050009,cutting board,133050
133050010,yes,133050
133051002,solid,133051
153249001,parking meter,153249
153249006,sitting,153249
395210000,0,395210
395210001,scissors,395210
395210002,2,395210
395210005,2,395210
175096002,yes,175096
2006003,0,2006
264155005,can't tell,264155
264155006,yes,264155
264155011,coca cola,264155
395230000,silver,395230
395230002,ford,395230
395230003,no,395230
395230004,suv,395230
264161000,scissors,264161
264161002,male,264161
264161006,cutting,264161
264161007,no,264161
165919002,sign,165919
526319001,milk,526319
133104005,yes,133104
526321002,no,526321
264180002,petting,264180
175102000,banana,175102
175102001,red,175102
175102003,banana,175102
264191000,black and white,264191
526342002,yes,526342
526342005,ice cream,526342
133131001,no parking,133131
133131004,graffiti,133131
526353001,walking,526353
526353003,yes,526353
526359002,ceiling,526359
526359004,no,526359
395289000,wall,395289
395289002,up,395289
395291000,2,395291
395291002,blue,395291
395291007,yes,395291
526364001,0,526364
526364003,no,526364
133149001,10,133149
526368001,10,526368
415408005,red,415408
415408006,red,415408
415408009,nothing,415408
526371002,hard,526371
133161000,yes,133161
133161001,lemon,133161
133161003,white,133161
133161004,no,133161
133161005,store,133161
133161006,1,133161
526392001,don't know,526392
526394000,0,526394
395324002,yes,395324
395324003,2,395324
395324008,yes,395324
415413001,yes,415413
415413002,night,415413
526401001,road,526401
526401002,police,526401
526401003,yes,526401
133195002,12:00,133195
133195004,yes,133195
264279001,front,264279
526425001,lab,526425
526425003,lab,526425
2139000,no,2139
2139002,bike,2139
2139004,yes,2139
395364000,5,395364
395364002,roof,395364
2149001,0,2149
2149002,2,2149
2149004,6,2149
2153000,yes,2153
2153004,no,2153
2154002,cart,2154
131431000,stone,131431
131431004,12,131431
131431006,12,131431
131431007,12,131431
526446000,25,526446
395378000,wire,395378
395379002,3,395379
133237000,big,133237
395382000,car,395382
133251008,terrier,133251
133251010,house,133251
133251013,couch,133251
133251020,no,133251
133251022,blanket,133251
395402006,heart,395402
395405004,1,395405
526486000,no,526486
526486002,yes,526486
526486003,0,526486
133279000,white,133279
2212003,pillow,2212
153288001,woman,153288
264382001,batter,264382
2239001,professional,2239
2239002,w,2239
2239006,hard,2239
2239007,yellow,2239
2239009,yellow,2239
2240000,5,2240
2240001,teddy bears,2240
264385001,apple,264385
264385005,yes,264385
395462002,red,395462
395463002,no,395463
395463007,cake,395463
526536005,2,526536
526536006,no,526536
526536007,yes,526536
133327002,no,133327
526555000,yes,526555
526555001,restaurant,526555
526555003,floral,526555
526555004,red,526555
133343002,sunglasses,133343
133343003,0,133343
526560004,yes,526560
264420002,head,264420
264420003,zoo,264420
264424003,18,264424
480173002,1,480173
2290001,no,2290
526580006,jeans,526580
526580009,wii remotes,526580
526580013,nothing,526580
526580032,green,526580
2295001,hat,2295
2295002,yes,2295
2295005,real,2295
395512001,clean,395512
264441002,leather,264441
2299000,many,2299
2299001,many,2299
2299002,no,2299
133377001,yes,133377
133377002,yes,133377
264454001,7,264454
133386000,yes,133386
133386001,skateboarding,133386
133386011,6,133386
133386013,6,133386
133386017,5,133386
133386018,1,133386
133386020,yes,133386
264461002,woman,264461
387000,on left,387
387001,dell,387
387003,2,387
175151002,10,175151
395550000,yes,395550
133412002,cheese,133412
22236000,metro,22236
22236002,9,22236
2346002,no,2346
264497002,dress,264497
526645000,no,526645
526645001,no,526645
526645004,standing,526645
395575000,no,395575
526654001,0,526654
2388002,brush,2388
395606000,b,395606
395606001,dodgers,395606
395606003,no,395606
133464000,keyboard,133464
264540000,oak,264540
133470000,4,133470
133470001,bench,133470
133470003,birds,133470
133470004,4,133470
133470005,relaxing,133470
133470006,swimming,133470
133476003,glass,133476
133476006,yes,133476
133476012,ham,133476
395621007,6,395621
395621008,4,395621
133485000,unknown,133485
526711001,united,526711
526711002,jet,526711
395644001,4,395644
2431001,spoon,2431
526721002,table,526721
526723002,black,526723
526723007,talking on phone,526723
526723009,black and white,526723
526728001,hotel,526728
502001001,phones,502001
69914005,oven,69914
69914008,glove,69914
69914010,oven,69914
526751002,yes,526751
526751003,no,526751
526751005,water,526751
133537000,silver,133537
133537001,subway,133537
526756000,yes,526756
526756001,6,526756
502854002,sitting,502854
264615000,6,264615
264615001,5,264615
2477000,yes,2477
2477001,playing wii,2477
2477002,chair,2477
526767005,yes,526767
526767006,wall,526767
133556000,no,133556
133559001,people,133559
526778001,red,526778
526778002,skiing,526778
395714000,hot dogs,395714
395714001,15,395714
395717001,no,395717
264654000,2,264654
264654001,yes,264654
526800001,15,526800
526800002,batter,526800
526801003,paper,526801
526801004,4,526801
264659001,seagulls,264659
264660000,20,264660
264660001,pictures,264660
264660003,clock,264660
526806000,no,526806
526806002,3,526806
2521001,0,2521
2521005,right,2521
2521008,right,2521
2521010,no,2521
2521014,turn,2521
2521017,roof,2521
2521020,graffiti,2521
133596000,can't tell,133596
2525000,3,2525
2525002,unknown,2525
262565002,25,262565
2529002,4,2529
2529003,brick,2529
2529004,tall,2529
2529007,2,2529
2529008,no,2529
2532001,clouds,2532
395749002,3,395749
395749004,3,395749
395752002,don't know,395752
395752004,no,395752
264683001,delta,264683
264686000,1,264686
264686001,2,264686
264686002,flat,264686
133620000,yes,133620
133620003,no,133620
133622008,rice,133622
22271000,yes,22271
22271002,stop,22271
133629002,2,133629
2562003,yes,2562
133636000,0,133636
133636002,0,133636
133636004,yes,133636
133645003,fishing,133645
264718000,short,264718
264718003,street,264718
264718004,street,264718
264718007,street,264718
133648000,no,133648
133648001,no,133648
395801002,people,395801
395801004,yes,395801
395801007,noon,395801
264730001,night,264730
2587001,banana,2587
2592000,nothing,2592
2592002,coffee,2592
131504003,yes,131504
133667001,suitcase,133667
133667002,lights,133667
526892001,standing,526892
133679003,,133679
133680001,yes,133680
133680008,bike,133680
133680009,1,133680
264753000,,264753
2613010,yes,2613
395831000,sandwich,395831
526904001,laptop,526904
133690005,0,133690
133693000,water,133693
133693001,unknown,133693
133693003,park,133693
133693005,light,133693
133693013,2,133693
133693019,p,133693
133693020,0,133693
133693023,unknown,133693
264769000,2,264769
264769001,red,264769
264769005,open,264769
264769010,dining room,264769
133698003,yes,133698
395849000,parked,395849
395849001,blue,395849
395849002,red,395849
2640003,8,2640
264787002,1,264787
264787003,neither,264787
526933000,yes,526933
395865000,0,395865
395865002,fire hydrant,395865
526940000,camera,526940
262587002,0,262587
264805000,marble,264805
264805001,floor,264805
526955000,nothing,526955
526955003,bird,526955
526956000,5,526956
526956002,2,526956
526962006,cat,526962
526962007,back,526962
526962010,white,526962
526962016,toy,526962
526962017,sleeping,526962
264819001,circle,264819
264819002,0,264819
568425000,1,568425
568425002,red,568425
2684002,2,2684
2685001,no,2685
2685002,3,2685
395904002,christmas,395904
395904003,pizza,395904
2690000,yes,2690
2690002,many,2690
264853000,sunglasses,264853
264855000,10,264855
264855002,yes,264855
264855003,hair,264855
264855004,sitting,264855
395928000,no,395928
395928002,5,395928
527002003,no,527002
109679000,white,109679
109679001,shoes,109679
264870001,table,264870
264870002,yes,264870
264870003,1,264870
527025001,people,527025
527029001,cooking,527029
527029002,food,527029
283785002,suit,283785
133821000,green,133821
527038002,0,527038
527040000,1,527040
2753001,collie,2753
133827001,rain,133827
133827014,3,133827
133827016,cars,133827
2759002,1,2759
568439001,modern,568439
568439003,yes,568439
568439004,2,568439
568439005,2,568439
133836001,2,133836
133836002,blue and white,133836
133836003,platform,133836
527054000,yes,527054
527060000,decoration,527060
264919000,nothing,264919
264919002,toothbrush,264919
527064000,round,527064
527064001,yes,527064
395997001,0,395997
305609004,food,305609
264940000,cut,264940
264940001,face,264940
133869002,yes,133869
527086000,6,527086
527086001,yes,527086
527086003,yes,527086
264948004,left,264948
264948005,2,264948
527102000,food,527102
527102003,both,527102
264961001,yes,264961
264962000,no,264962
2822000,sign,2822
2822001,no,2822
264968004,yes,264968
264968005,short,264968
264976001,yes,264976
396051001,white,396051
396051002,night,396051
2839002,chicken,2839
264992000,orange,264992
264992002,1,264992
133923003,middle,133923
396068002,no,396068
133927004,2,133927
133927006,red,133927
133927007,yes,133927
133927009,w,133927
133927010,sandals,133927
133928003,boat,133928
133928006,chicago,133928
133933000,no,133933
133933008,blinds,133933
133933009,playing wii,133933
133933011,1,133933
133933012,wii,133933
133933014,black,133933
133933016,yellow,133933
133933019,16,133933
133933020,playing wii,133933
133933024,4,133933
133933027,0,133933
2867001,yes,2867
2867002,no,2867
527164000,yes,527164
527164001,yellow,527164
396094002,yes,396094
2881004,mountains,2881
2890000,nothing,2890
2890001,yes,2890
133964001,duck,133964
133964002,fishing,133964
133969001,0,133969
133969002,left,133969
527193000,down,527193
527193001,fence,527193
527193003,walking,527193
240783001,12,240783
240783003,icing,240783
265059002,0,265059
265063002,1,265063
265063004,busy,265063
265066003,25,265066
265066005,25,265066
265069003,blue,265069
134001001,4,134001
134001002,bar,134001
527220000,free,527220
527220001,van,527220
134010003,3,134010
134010010,4,134010
134010014,2,134010
134010016,2,134010
134016000,6,134016
