QuestionID,CASCADE,ImageID
393743000,yes,393743
262672001,yes,262672
262672002,skiing,262672
262677001,red,262677
262677004,red and white,262677
524822003,tree,524822
524822010,jacket,524822
524822011,brown,524822
524822013,0,524822
524822016,0,524822
536005,2,536
536007,male,536
536013,no,536
536014,2,536
536024,no,536
536025,silver,536
536026,0,536
262682001,food,262682
262682004,granite,262682
262682005,dishes,262682
262682007,white,262682
262682008,yes,262682
262682012,yes,262682
262682020,rug,262682
131611000,water,131611
131611012,zoo,131611
131611015,yes,131611
131611016,1,131611
262686001,white,262686
262686003,yellow,262686
262686005,silver,262686
544002,lot,544
544004,baseball,544
544017,no,544
131617001,night,131617
131617002,blue,131617
393768000,4,393768
131627001,1 way,131627
524844002,park,524844
524844010,concrete,524844
524844014,4,524844
524844015,blue,524844
524844016,park,524844
262703001,balance,262703
262703002,long,262703
262703004,blue,262703
393777000,yes,393777
393777005,no,393777
569001,green,569
569005,kite,569
569008,pink,569
445200000,tomato,445200
445200001,food,445200
445200003,checkered,445200
445200004,paper,445200
153013000,no,153013
153013001,no,153013
153013002,hand,153013
393794002,red,393794
139684000,white,139684
139684002,vase,139684
139684003,red,139684
393804002,no,393804
393809003,2,393809
393809006,2,393809
393809010,2,393809
393809015,yes,393809
393809017,0,393809
262738001,nothing,262738
262738003,yes,262738
262738004,apple,262738
393811000,white,393811
393814000,carrots,393814
393814002,7,393814
524887001,yes,524887
524887004,harley,524887
262746000,many,262746
262758000,black,262758
393836003,2,393836
437010001,phone,437010
437010002,0,437010
437010004,talking,437010
393838003,left,393838
393838004,carrots,393838
623000,brown,623
623002,no,623
393840001,0,393840
187695001,cheese,187695
187695003,mustard,187695
187695004,woman,187695
626001,2,626
632004,1,632
632007,stripes,632
636000,toilet,636
636001,no,636
641001,4,641
641003,0,641
393858000,2,393858
393858001,,393858
393858002,4,393858
87489001,yes,87489
87489002,2,87489
87489003,downtown,87489
262800000,yes,262800
262800002,united,262800
262800005,3,262800
393874001,hat,393874
393874003,brown,393874
393874004,young,393874
661000,meat,661
661001,ketchup,661
524957003,brown,524957
524962002,white,524962
675000,sleeping,675
524979000,man,524979
524979001,sitting,524979
692000,no,692
693002,white,693
699002,yellow,699
384101000,kite,384101
384101001,white,384101
384101002,blue,384101
524992003,red,524992
711000,stripes,711
711001,plaid,711
711002,1,711
711004,white,711
393928001,yes,393928
393928002,yes,393928
393928003,grass,393928
715001,8,715
715003,4,715
715004,oranges,715
715006,yes,715
724002,nothing,724
724003,city,724
393942000,no parking,393942
131800000,mustard,131800
131800002,white,131800
262873003,no,262873
730000,unknown,730
730003,city,730
349647002,on table,349647
525021005,5,525021
525021007,no,525021
525024008,6,525024
525024011,triangle,525024
131815000,no,131815
131815005,painting,131815
262895002,yes,262895
262895003,brown,262895
262895007,vest,262895
262895008,blue,262895
262895010,no,262895
262895011,smile,262895
262895012,brown,262895
262895016,smile,262895
262895017,30,262895
262896000,yes,262896
43816010,dodgers,43816
43816012,catcher,43816
43816015,black,43816
43816016,black,43816
43816019,blue,43816
43816025,blue,43816
43816026,no,43816
757006,no,757
757009,walking,757
757014,tree,757
757016,yes,757
761005,red,761
525050000,stop,525050
525050002,0,525050
525050004,stop,525050
525050006,yes,525050
525050007,red,525050
525050009,no,525050
525050011,stop,525050
525050012,stop,525050
525050014,street,525050
525050015,main,525050
525050016,2,525050
525050020,yes,525050
525050021,stop,525050
393979002,30,393979
764000,necklace,764
764001,human,764
764003,white,764
393982001,green,393982
393982003,stop,393982
393982004,street,393982
393984001,white,393984
393984002,food,393984
131841000,round,131841
131841001,red,131841
131841002,3,131841
525058001,white,525058
525058002,white,525058
525058008,3,525058
525058012,4,525058
775000,yes,775
775001,bike,775
775002,yes,775
775008,fall,775
776003,white,776
785000,no,785
785001,back,785
785005,no,785
394002001,6,394002
394002002,harley,394002
131203000,nothing,131203
525077002,american,525077
525077004,canada,525077
394009001,yes,394009
267112000,afternoon,267112
262940002,united,262940
131869002,white,131869
525087001,outside,525087
810000,brown,810
810001,ham,810
371506000,yes,371506
371506003,eating,371506
394033003,carrot,394033
525106000,black,525106
131895002,no,131895
827001,yes,827
525119001,2,525119
525119005,black,525119
394050001,yes,394050
394050002,solid,394050
262985001,usa,262985
262985003,american,262985
262986001,food,262986
262987000,yes,262987
262987001,bird,262987
262987002,bird,262987
131919000,purse,131919
131920002,coke,131920
524431000,carriage,524431
524431001,people,524431
524431002,no,524431
394079002,watch,394079
131938001,fur,131938
263014001,young,263014
263014002,yes,263014
263014003,yes,263014
263014004,no,263014
263014011,zoo,263014
872000,yes,872
872006,red,872
873001,tower,873
873003,no,873
525162001,2,525162
525162004,white,525162
525170000,smiling,525170
525170001,bowl,525170
885001,kia,885
885002,nike,885
885006,chase,885
885011,0,885
885014,kia,885
885017,chase,885
885020,nike,885
885022,yes,885
885024,tennis,885
885025,mercedes,885
885026,mercedes benz,885
885028,headband,885
885029,mercedes,885
885030,yes,885
885032,no,885
131965006,mountains,131965
525183003,young,525183
525183004,yes,525183
525184002,bear,525184
131969000,red,131969
131969004,building,131969
196759000,0,196759
196759002,0,196759
196759003,ford,196759
263052002,nike,263052
525202002,white,525202
394131002,united,394131
394131003,united,394131
394132000,2,394132
394132004,floor,394132
394133006,blue,394133
525208000,daytime,525208
525211000,donuts,525211
525211001,eating,525211
263068001,right,263068
132001000,no,132001
132001001,no,132001
223468000,walking,223468
394157000,black,394157
394157001,no,394157
132024003,black,132024
546292000,noon,546292
482719000,0,482719
482719002,no,482719
132037001,no,132037
969001,nike,969
969016,boy,969
132042000,30,132042
132042001,blue,132042
132042003,no,132042
974003,yes,974
974004,no,974
248810002,building,248810
525272000,yes,525272
525272001,yes,525272
985000,20,985
985003,4,985
985005,bus,985
985006,words,985
985008,double decker,985
985009,red,985
985012,stripe,985
985014,white,985
985015,bird,985
985018,yes,985
985020,red,985
394206004,2,394206
263136000,brown,263136
263136007,blue,263136
263136008,yes,263136
525286000,new,525286
999000,white,999
1000001,tennis racket,1000
1000003,yes,1000
1000004,4,1000
263146000,nothing,263146
263146001,2,263146
263146003,people,263146
525297000,left,525297
525297001,no,525297
132084000,road,132084
132084002,0,132084
414663002,white,414663
263163000,nothing,263163
263163003,bench,263163
394240003,red,394240
1029000,blue,1029
1029002,airplane,1029
349697001,surfboard,349697
263177001,china,263177
263177002,nowhere,263177
263177003,20,263177
263178001,oranges,263178
263178003,5,263178
394251003,trash,394251
394259000,1,394259
394259003,table,394259
132116002,0,132116
109992003,brick,109992
525344000,yellow,525344
263202000,0,263202
263202001,pink,263202
263202002,samsung,263202
394275000,red,394275
132132002,oranges,132132
153094001,no,153094
153094004,night,153094
153094006,noon,153094
153094007,12:00,153094
132136000,yellow,132136
132136001,20,132136
132136002,triangle,132136
132136010,bird,132136
263211005,fence,263211
263211006,fence,263211
132143002,red,132143
394288000,blue,394288
394288001,elephant,394288
394288002,dirt,394288
525361000,2,525361
525361002,2,525361
263223007,blue,263223
263223008,skiing,263223
525369002,no,525369
525369006,flowers,525369
525369007,yes,525369
525369009,nothing,525369
525371000,red,525371
525371003,white,525371
525376002,luggage,525376
1089001,black,1089
1089002,man,1089
1103002,yes,1103
394320000,black,394320
394320001,3,394320
394322000,outside,394322
394322002,50,394322
263251000,ground,263251
263251001,blue,263251
132182001,home,132182
132182002,catcher,132182
132182003,5,132182
394328000,floor,394328
394328003,no,394328
263258000,baseball field,263258
263258001,home plate,263258
263258003,black,263258
132189000,5,132189
132189002,2,132189
132189003,ford,132189
394334001,18,394334
394334003,no,394334
263268000,toilet,263268
263268002,on wall,263268
525420000,no,525420
525420001,no,525420
423396001,wall,423396
394352002,4,394352
1138000,curtains,1138
1138005,cat,1138
263288000,orange,263288
263288001,scissors,263288
1146000,red,1146
1146003,suit,1146
1146005,red,1146
1146006,no,1146
1146010,yes,1146
263292000,2 hours,263292
263292001,no,263292
263292003,no,263292
263292004,noon,263292
1149000,work,1149
1149001,2,1149
1149003,flowers,1149
132223000,game,132223
1153000,3,1153
1153001,plate,1153
1153002,4,1153
1153004,2,1153
1153007,yes,1153
1153008,3,1153
1153009,basket,1153
1153012,yellow,1153
263299000,still,263299
263299001,black and white,263299
218646000,field,218646
218646002,grazing,218646
1164000,yes,1164
1164002,play,1164
1171001,no,1171
1171002,2,1171
1176001,ramp,1176
263323002,inside,263323
263323006,2,263323
263323007,no,263323
1180000,birthday,1180
1180001,white,1180
132272001,nothing,132272
132272002,unknown,132272
394418001,wristband,394418
1205000,wood,1205
1205001,2,1205
263351004,black,263351
263351005,black,263351
263351006,no,263351
263355002,3,263355
263355003,no,263355
263359004,white,263359
1228000,yes,1228
394449000,noon,394449
263382001,no,263382
263382003,white,263382
394458002,eating,394458
394458003,no,394458
132317000,table,132317
132317001,0,132317
263393001,yes,263393
263393004,white,263393
525542000,6,525542
525542001,england,525542
525542002,2,525542
525542003,1,525542
525542005,4,525542
525542006,4,525542
525542007,4,525542
525542008,downtown,525542
525542009,5,525542
525542010,nighttime,525542
132328001,no,132328
525546001,nothing,525546
394478001,black,394478
301326002,grass,301326
132336000,car,132336
132336001,nothing,132336
132336005,yes,132336
132336007,stop,132336
132336010,nothing,132336
132336012,traffic light,132336
8771002,0,8771
8771004,snow,8771
263412000,summer,263412
263412001,2,263412
263412005,noon,263412
525559000,3,525559
525559001,many,525559
568191002,white,568191
525568002,camera,525568
525568005,yes,525568
525568011,field,525568
263425000,yes,263425
263425001,coca cola,263425
263425003,red,263425
263428000,sheep,263428
132362000,rice,132362
1292001,blue,1292
1292003,blue,1292
1292005,blue,1292
394510001,graffiti,394510
394510002,4,394510
394510005,black,394510
394510007,skateboard,394510
394510008,ollie,394510
394510009,car,394510
394510013,no 1,394510
394510015,skateboard,394510
394510018,plaid,394510
394510019,black,394510
394510021,no,394510
394510026,white,394510
1296000,1,1296
1296001,flowers,1296
1296002,nothing,1296
1296003,yes,1296
525587000,2000,525587
525587001,california,525587
525587002,yes,525587
394517002,yes,394517
132375000,roses,132375
132375003,rose,132375
525600002,zoo,525600
263463000,2,263463
263463002,lab,263463
132393001,0,132393
132393002,1,132393
327383000,nothing,327383
263474000,white,263474
263474001,no,263474
525619002,1,525619
132408001,many,132408
1340000,brown,1340
1340001,no,1340
1340002,brown,1340
1342000,5,1342
1342003,unknown,1342
1342009,outside,1342
1342010,unknown,1342
1342011,office,1342
1342012,car,1342
1342015,2,1342
1342017,table,1342
1342018,car,1342
1342023,yes,1342
1342024,unknown,1342
1342025,blue,1342
1342028,yes,1342
1342030,woman,1342
1342031,head,1342
1342033,plastic,1342
1342034,unknown,1342
1342036,paper,1342
1342038,man,1342
1342041,yes,1342
1342043,yes,1342
1342045,2,1342
1342046,yes,1342
1342051,8,1342
1342053,,1342
1342056,unknown,1342
1342058,yes,1342
1342059,yes,1342
1342061,cooking,1342
1342063,woman,1342
1342065,yes,1342
1342066,woman,1342
1342068,0,1342
1342069,english,1342
1342071,blue,1342
1342072,map,1342
1342073,woman,1342
1342074,unknown,1342
1342086,2000,1342
1342087,0,1342
1342088,blue,1342
132415002,no,132415
132415006,ceramic,132415
132415013,0,132415
132415014,3,132415
132415015,3,132415
132415017,pizza,132415
132415024,large,132415
1347001,mouse,1347
1347002,white,1347
1353002,chairs,1353
525646001,no,525646
525646006,cheese,525646
174989000,formal,174989
1374000,2,1374
1374001,top,1374
1374002,red and white,1374
525665000,grass,525665
525665001,8,525665
525665004,yes,525665
525665006,farm,525665
525665008,green,525665
525665009,8,525665
525665010,nowhere,525665
525665014,yes,525665
525666002,blue,525666
525667001,black,525667
525667002,0,525667
554340000,paper,554340
394608001,in water,394608
394608002,white,394608
525682000,gray,525682
525682002,0,525682
394611005,standing,394611
1398000,jeans,1398
1398001,blue,1398
1404002,green,1404
525702003,yes,525702
525702004,chinese,525702
525702009,yes,525702
525702010,nowhere,525702
525702011,yes,525702
525702013,no,525702
525705000,dodgers,525705
525705001,umpire,525705
394635000,people,394635
394635002,red,394635
1425000,yes,1425
1425002,no,1425
132499001,no,132499
132499003,brick,132499
132499005,noon,132499
1436000,2,1436
1436003,typing,1436
1436004,laptop,1436
132510004,white,132510
263586001,white,263586
263586002,30,263586
394659000,white,394659
525732000,yes,525732
525732002,white,525732
394663000,africa,394663
394663001,hair,394663
1448000,yes,1448
263594001,0,263594
263594002,police,263594
1464002,skiing,1464
394681000,no,394681
394681002,street,394681
263612000,collar,263612
263612004,carpet,263612
263612007,terrier,263612
263612008,yes,263612
263613000,gothic,263613
263613001,cow,263613
263613002,brown,263613
525762001,0,525762
525762003,white,525762
525762004,yes,525762
525763000,10,525763
525763002,green,525763
301201000,4,301201
132554002,yes,132554
132554008,no,132554
132554012,yes,132554
132554013,2000,132554
524535001,pink,524535
525777002,blue,525777
1490005,surfing,1490
331753002,lot,331753
394715002,picture,394715
394715003,phone,394715
394715008,0,394715
394715009,office,394715
394715014,table,394715
262394003,20,262394
263647001,no,263647
263647002,green,263647
132578001,sitting,132578
132587001,nike,132587
263664003,yes,263664
263664005,white,263664
263664006,bus,263664
263668000,sign,263668
263668001,china,263668
1525000,airport,1525
1525001,3,1525
1525005,airport,1525
1525006,airport,1525
1525014,airport,1525
1525016,yes,1525
1525026,many,1525
1532000,25,1532
1532002,5,1532
1532003,0,1532
502698000,square,502698
132612001,zoo,132612
132612002,food,132612
132612003,eating,132612
132615000,nowhere,132615
22103000,eating,22103
22103001,no,22103
22103003,blue,22103
263696001,yes,263696
263696006,no,263696
1554000,no,1554
263700001,night,263700
263700004,taking picture,263700
263700005,black,263700
394773001,harley,394773
394773002,black,394773
394773004,backpack,394773
525849001,glass,525849
525849003,woman,525849
1563000,nothing,1563
1563001,no,1563
1563002,red,1563
132644003,hat,132644
1573001,1,1573
1573003,tea,1573
1577001,little,1577
1577002,roses,1577
1577003,no,1577
263723001,8,263723
132652003,yes,132652
132652010,pink,132652
132652013,nowhere,132652
132652023,black,132652
525869001,grass,525869
525869002,5,525869
415325001,stop,415325
1584005,downtown,1584
1584006,bus,1584
1584007,1,1584
1584008,4,1584
1584009,4,1584
1584011,5,1584
1584014,city,1584
1584015,2,1584
1584017,long,1584
394801000,2,394801
394801002,table,394801
1591001,yes,1591
1592002,blue,1592
1599000,green,1599
153184001,no,153184
153184002,food,153184
371638001,2,371638
371638003,0,371638
22113000,red,22113
132682004,no,132682
263758002,3,263758
525903000,broccoli,525903
525903001,green,525903
525903002,dinner,525903
132689000,umbrella,132689
132689001,wooden,132689
132690002,floor,132690
525908002,racket,525908
394840002,right,394840
1626000,carpet,1626
132702000,broccoli,132702
132703000,skateboarding,132703
132703002,black,132703
263780002,eating,263780
263780003,4,263780
263780004,no,263780
263780005,no,263780
263780009,center,263780
22118000,8,22118
289813000,sidewalk,289813
306108004,silver,306108
1647001,scissors,1647
263793000,grass,263793
263793001,1,263793
263793009,cow,263793
263796000,blue,263796
1655007,selfie,1655
132733001,nothing,132733
132733002,blue,132733
196885002,bat,196885
1667001,nothing,1667
1667002,metal,1667
1668000,unknown,1668
1668001,7,1668
1668002,2,1668
394892002,black,394892
1682002,orange,1682
1682008,wind,1682
525971001,no,525971
263828000,harley,263828
263828003,red,263828
393497001,no,393497
394904000,left,394904
394904001,no,394904
394904002,left,394904
263834002,police,263834
263834003,police,263834
263834004,no,263834
525988003,pink,525988
525988004,wedding,525988
525988011,flower,525988
525988015,yes,525988
525988020,bedroom,525988
132776000,nothing,132776
526000000,yes,526000
526000001,0,526000
263858000,boat,263858
263858002,4,263858
526004000,yes,526004
132791002,road,132791
132791003,home,132791
263866000,tracks,263866
263866001,2,263866
263866002,red,263866
263866003,2,263866
394940002,white,394940
394941004,wave,394941
394941006,wetsuit,394941
526021000,yes,526021
131361000,no,131361
131361001,0,131361
131361002,no,131361
263881004,trees,263881
263881007,no,263881
394957002,yes,394957
526040000,yes,526040
526044000,nothing,526044
526044002,yes,526044
526044003,grazing,526044
526044005,cow,526044
526044007,yes,526044
526044008,yes,526044
526044010,cow,526044
526044011,yes,526044
526044012,yes,526044
526044017,standing,526044
526044030,yes,526044
526044033,mountains,526044
1757003,,1757
1761003,yes,1761
427782002,no,427782
1779000,lights,1779
1779001,stop,1779
263929006,sand,263929
132861000,white,132861
132861002,noon,132861
132861003,3,132861
132861010,yes,132861
437205007,no,437205
437205010,2,437205
437205016,lap,437205
437205018,2,437205
437205023,brown,437205
437205026,green,437205
1799000,no,1799
1799001,food,1799
1799003,food,1799
1799004,no 1,1799
526089001,no,526089
526089003,laptop,526089
526091003,female,526091
427783001,black,427783
526103001,fence,526103
263961000,black,263961
263961002,red,263961
1818000,family,1818
263966001,red,263966
263969001,1,263969
263969003,red,263969
263973001,blue,263973
263973004,t shirt,263973
263973005,wetsuit,263973
263973006,white,263973
502749002,summer,502749
1840000,blue,1840
1840001,high,1840
1840002,umbrellas,1840
1841001,many,1841
524595000,20,524595
524595001,clay,524595
526133001,0,526133
526133002,black and white,526133
1852000,brown,1852
1856001,yellow,1856
1856002,camera,1856
132931000,yes,132931
132931001,ground,132931
132931002,18,132931
395083006,0,395083
395083007,no,395083
395083009,15,395083
264013003,red,264013
264017000,on table,264017
44003000,main,44003
44003001,0,44003
44003002,1,44003
44003004,1 way,44003
264032002,silver,264032
264032005,white,264032
264032007,no,264032
395113000,bus,395113
395113001,blue and white,395113
395113002,blue and white,395113
395113003,2,395113
395113005,1,395113
395113006,red,395113
526186000,cup,526186
526188003,triangle,526188
1903002,left,1903
395124000,8,395124
395124005,rectangle,395124
395124007,flowers,395124
395124008,door,395124
526197000,6,526197
526197004,12,526197
526197005,6,526197
526197006,0,526197
205196000,3,205196
205196003,dessert,205196
175082000,food,175082
175082001,white,175082
175082002,sandwiches,175082
175082005,no,175082
133000001,unknown,133000
133000003,new york,133000
133000009,red,133000
133002001,black,133002
133002005,4,133002
526222000,nike,526222
502766001,sheep,502766
306159002,1,306159
1948000,brown,1948
1948001,2,1948
1948002,bird,1948
133025000,1,133025
133025001,0,133025
133025002,left,133025
1955000,0,1955
1960000,red,1960
133034004,3,133034
133034005,no,133034
395180001,boating,395180
395180002,1,395180
264110001,yes,264110
264110003,elephant,264110
526256000,no,526256
526256001,on tower,526256
395185001,fence,395185
395185002,sign,395185
395185004,fall,395185
133042000,2,133042
133042004,2,133042
133042006,red,133042
133042008,to catch ball,133042
133042011,red sox,133042
133042012,umpire,133042
264121002,harley,264121
264121004,back,264121
133050000,yes,133050
133050003,black,133050
133050006,0,133050
133050008,1,133050
133050010,yes,133050
133051002,no,133051
133051003,cloudy,133051
1987002,red,1987
153249002,skateboard,153249
153249006,skateboarding,153249
395210000,nothing,395210
395210001,wall,395210
395210002,yes,395210
395210005,noon,395210
175096002,yes,175096
2006001,blue and white,2006
2006002,red,2006
2006003,0,2006
2006005,red,2006
264155005,coca cola,264155
264155006,yes,264155
264155011,beer,264155
395230000,silver,395230
395230001,truck,395230
395230002,sedan,395230
395230003,no,395230
395230004,truck,395230
133087001,yes,133087
133087002,yes,133087
264161000,camera,264161
264161001,black,264161
264161004,brown,264161
264161006,work,264161
264161008,floral,264161
165919001,english,165919
165919002,bus,165919
133100000,no,133100
133104000,gray,133104
133104005,yes,133104
264180002,peace,264180
175102001,nothing,175102
264191000,black and white,264191
133125000,no,133125
133125001,black,133125
526342002,stop,526342
526342003,coca cola,526342
526342005,beer,526342
526342007,wood,526342
264201002,red,264201
133131001,street,133131
133131004,nothing,133131
2061001,phone,2061
526353001,playing,526353
526353003,yes,526353
526353005,yes,526353
395283001,rainbow,395283
133142000,no,133142
133142002,blue,133142
526359002,lamp,526359
526359004,no,526359
395289000,car,395289
395289001,afternoon,395289
395291003,pitching,395291
395291004,glove,395291
395291005,no,395291
395291007,throw,395291
526364003,no,526364
133149001,many,133149
264222000,no,264222
415408000,truck,415408
415408002,yellow,415408
415408005,red and white,415408
415408006,red and white,415408
415408009,nothing,415408
526371000,helmet,526371
526371002,fun,526371
133161002,decoration,133161
133161003,yellow,133161
133161004,no,133161
133161005,store,133161
133161006,1,133161
526392000,no,526392
526392001,old,526392
526394000,1,526394
526394001,no,526394
395324000,blue,395324
395324002,yes,395324
395324003,2,395324
395324005,red,395324
395324008,yes,395324
395324010,red,395324
415413002,noon,415413
526401001,mountains,526401
526401003,motorcycle,526401
526401008,mountains,526401
133195002,noon,133195
133195004,yes,133195
264268002,yes,264268
526414000,no,526414
395344001,white,395344
526418002,red,526418
264279001,front,264279
526425001,lab,526425
526425003,lab,526425
133210001,blue,133210
2139000,no,2139
2139001,yes,2139
2139004,yes,2139
2142003,black,2142
395364000,5,395364
395364002,umbrellas,395364
2149001,apples,2149
2149002,2,2149
2153000,yes,2153
2153002,blue,2153
2154000,red,2154
2154002,food,2154
131431000,brick,131431
131431003,brick,131431
131431004,no,131431
131431006,no,131431
131431007,no,131431
2157002,carrot,2157
133233002,water,133233
395378000,0,395378
395378003,no,395378
395379000,no,395379
2164000,8,2164
2164002,red,2164
2164003,1,2164
133237000,big,133237
395382000,fire hydrant,395382
526456001,5,526456
526456002,no,526456
526456003,fence,526456
526456004,5,526456
395388000,yes,395388
133251001,mutt,133251
133251005,yes,133251
133251010,chair,133251
133251013,chair,133251
133251022,cat,133251
395402004,no,395402
395402006,heart,395402
264336001,blue,264336
264336003,female,264336
526486000,no,526486
526486002,decoration,526486
526486003,0,526486
264347001,white,264347
133279000,blue,133279
2212000,red,2212
2212003,blanket,2212
2212006,sleeping,2212
133291002,red,133291
153288001,no 1,153288
153288003,yes,153288
153288005,red,153288
264375002,black,264375
395452002,white,395452
395452003,yes,395452
264382001,umpire,264382
264382003,no,264382
264382006,no,264382
2239001,professional,2239
2239002,w,2239
2239006,hard,2239
2240000,5,2240
2240001,teddy bears,2240
264385001,apple,264385
