QuestionID,PANOPTIC,ImageID
262391000,yes,262391
262391002,sink,262391
262391005,0,262391
524536000,talking,524536
524536002,no,524536
524536004,unknown,524536
524536006,yes,524536
510657002,5,510657
510657003,6,510657
510657006,6,510657
262396001,gray,262396
393469002,gray,393469
257000,white,257
262404000,brown,262404
262404002,girl,262404
393478000,yellow,393478
131335002,no,131335
131335003,0,131335
131335004,no,131335
283000,red,283
283002,wood,283
524575003,dog,524575
524577000,noon,524577
524577003,2 hours,524577
524577005,noon,524577
524577006,2,524577
524577007,noon,524577
524577008,12:00,524577
524577009,noon,524577
524577013,noon,524577
524577016,2 hours,524577
524577020,noon,524577
524577026,roman,524577
524577027,roman numerals,524577
294001,wine,294
294003,green,294
294004,phone,294
294006,no,294
294007,tan,294
294009,cutting,294
294011,picture,294
294014,wine,294
294015,1,294
393511001,milk,393511
262440003,2,262440
262440011,no,262440
262440012,2,262440
393513002,sun,393513
393513004,jumping,393513
393523004,yes,393523
524601000,blue,524601
524601003,4,524601
524601012,2,524601
131386000,black,131386
131386001,3,131386
262460000,books,262460
262466001,vase,262466
262466002,water,262466
262466006,blue,262466
524611002,0,524611
524611005,north,524611
524611007,steam,524611
262471002,wine,262471
262471006,stop,262471
262471008,street,262471
328001,army,328
393547000,yes,393547
393547001,floor,393547
262476001,5,262476
262476002,0,262476
524621006,yes,524621
524621010,yes,524621
524621012,yes,524621
524621013,yes,524621
524621015,yes,524621
524621024,fruit,524621
524621026,many,524621
524621027,brown,524621
338001,noon,338
338002,cooking,338
524627002,chocolate,524627
393557000,10,393557
131416000,plate,131416
131416003,water,131416
131418001,2,131418
524637004,tile,524637
524637007,seat,524637
524638000,no,524638
524638002,blue,524638
393569002,toilet,393569
524642001,1,524642
524642003,books,524642
524642006,nothing,524642
357002,very,357
360000,no,360
262509001,middle,262509
262509002,no,262509
262509004,3,262509
262509009,left,262509
393583001,skate park,393583
393583002,usa,393583
393583004,yes,393583
524656001,no,524656
524656002,no,524656
568040000,yes,568040
568040001,elephant,568040
568040004,no,568040
262514002,cooking,262514
43753000,sunny,43753
43753001,food,43753
43753002,outside,43753
43753003,peace,43753
43753006,food,43753
524665000,standing,524665
524665001,no,524665
131453000,yes,131453
131453002,baby,131453
131453003,very,131453
131453004,yes,131453
262531003,green,262531
262531004,blue,262531
524681002,beach,524681
524681004,kite flying,524681
524681005,4,524681
395002,no,395
397003,pepperoni,397
400000,nothing,400
524702001,no,524702
524702003,posing,524702
415002,no,415
415003,kia,415
131493004,3,131493
428000,nothing,428
428002,yellow,428
393647000,0,393647
393647001,0,393647
393647005,yes,393647
393647006,2,393647
73000,can't tell,73
73003,0,73
131516000,yes,131516
262594001,pink,262594
262594002,nothing,262594
393674000,yes,393674
393674003,white,393674
393674004,,393674
459000,phone,459
459002,no,459
459003,no,459
262605002,nothing,262605
262608006,asian,262608
262609000,no,262609
262609002,people,262609
262609004,chinese,262609
262609006,green,262609
262609007,black,262609
262609008,right,262609
262609009,yes,262609
262609011,nowhere,262609
131539000,no,131539
472000,no,472
472003,big,472
262617000,red,262617
474001,purple,474
262626003,cat,262626
262626004,tan,262626
131557001,cheese,131557
131557002,floral,131557
486000,yes,486
524775000,double decker,524775
524775002,4,524775
524775004,back,524775
524775005,blue and yellow,524775
524775006,no,524775
393710002,yellow,393710
262642002,glass,262642
502003,no,502
262651000,2,262651
262651002,yes,262651
131581003,2,131581
262654001,yes,262654
524799000,4,524799
262658000,4,262658
520004,10,520
520006,yes,520
131593000,caucasian,131593
131597000,6,131597
131597002,yes,131597
131597004,6,131597
393743000,yes,393743
262672001,yes,262672
262672002,skiing,262672
262677001,red,262677
262677003,1,262677
262677004,red and white,262677
524822003,tree,524822
524822006,no 1,524822
524822013,0,524822
524822016,0,524822
536003,shirt,536
536010,taking picture,536
536011,camera,536
536015,4,536
536019,posing,536
536025,silver,536
536026,0,536
536028,posing,536
536029,0,536
262682004,marble,262682
262682007,white,262682
262682008,yes,262682
262682012,yes,262682
131611000,water,131611
131611009,yes,131611
131611012,elephant,131611
131611015,yes,131611
131611016,1,131611
262686000,yes,262686
544002,lot,544
544004,baseball,544
544007,yes,544
544008,baseball,544
131617001,yes,131617
131617002,green,131617
327771000,6,327771
131627001,1 way,131627
524844002,in air,524844
524844014,2,524844
524844015,black,524844
524844016,park,524844
262703000,snowboarding,262703
262703002,long time,262703
262703004,blue,262703
393777003,lamp,393777
393777004,clean,393777
564001,no,564
569001,green,569
569003,yes,569
569005,umbrella,569
569007,skateboarding,569
445200001,food,445200
445200004,paper,445200
445200005,no,445200
445200006,2,445200
153013000,no,153013
153013001,no,153013
153013002,hand,153013
139684000,green,139684
139684003,blue,139684
131661003,no,131661
590001,yes,590
262736000,2,262736
262736002,green,262736
393809010,7,393809
393809015,yes,393809
393809017,0,393809
262738000,chair,262738
262738001,nothing,262738
262738003,yes,262738
262738004,apple,262738
393811000,white,393811
393814000,lettuce,393814
393814001,2,393814
524887004,harley,524887
524889005,3,524889
524889006,bench,524889
262746000,many,262746
262758002,0,262758
393836003,2,393836
437010000,donut,437010
437010001,phone,437010
437010002,0,437010
437010003,taking picture,437010
437010004,talking,437010
393838003,carrots,393838
393838004,carrots,393838
623002,no,623
187695001,cheese,187695
187695004,woman,187695
632000,clock,632
632004,1,632
632007,stripes,632
632011,yes,632
636000,toilet,636
641001,0,641
393858000,2,393858
393858001,,393858
393858002,6,393858
87489001,yes,87489
87489002,2,87489
87489003,downtown,87489
393864000,2,393864
393864005,yellow,393864
131725000,yellow,131725
131725002,2,131725
262800002,delta,262800
393874003,brown,393874
393874004,young,393874
661000,hot dog,661
661001,ketchup,661
524954000,2,524954
524957000,car,524957
524957003,black,524957
524962000,in air,524962
524977000,6,524977
524979000,woman,524979
524979001,talking on phone,524979
693001,floor,693
699002,white,699
384101000,dog,384101
524992000,bus,524992
524992003,orange,524992
711000,flowers,711
711001,floral,711
711003,no,711
711004,orange,711
393928002,yes,393928
715000,many,715
715001,0,715
715003,many,715
715004,oranges,715
715006,yes,715
724002,nothing,724
724003,street,724
393942000,1 way,393942
393942001,no,393942
131800000,mustard,131800
262873007,beach,262873
730000,0,730
730003,stop,730
349647000,no,349647
349647002,counter,349647
131804002,motorcycle,131804
525021005,10,525021
525024005,many,525024
525024007,on pole,525024
525024011,bird,525024
131815005,banana,131815
262895003,brown,262895
262895007,tie,262895
262895011,smile,262895
262895012,brown,262895
262895016,happy,262895
262895017,30,262895
262896000,yes,262896
43816003,blue,43816
43816010,dodgers,43816
43816012,catcher,43816
43816015,black,43816
43816019,blue,43816
43816025,blue,43816
43816026,no,43816
393971000,white,393971
757002,elephant,757
757006,no,757
757014,tree,757
757016,yes,757
525050000,asphalt,525050
525050002,0,525050
525050004,stop,525050
525050006,yes,525050
525050007,red,525050
525050009,person,525050
525050011,stop,525050
525050012,stop,525050
525050014,street,525050
525050015,yes,525050
525050016,stop,525050
525050020,yes,525050
525050021,main,525050
764001,human,764
393982001,green,393982
393982003,stop,393982
393982004,traffic,393982
393984000,yes,393984
393984002,tv,393984
131841000,round,131841
131841002,3,131841
525058000,left,525058
525058001,white,525058
525058004,yes,525058
525058012,20,525058
525058013,yes,525058
775001,bike,775
775002,yes,775
775003,bicycle,775
775006,night,775
775007,2,775
776002,2,776
785000,no,785
785001,right,785
785005,no,785
394002000,no,394002
394002001,6,394002
394002002,honda,394002
394002003,no,394002
131203000,windows,131203
525077002,delta,525077
525077004,canada,525077
394009001,yes,394009
394009002,bathroom,394009
267112000,afternoon,267112
262940002,united,262940
131869002,blue,131869
525087001,outside,525087
525087003,10,525087
810001,chicken,810
810002,pink,810
371506000,yes,371506
371506002,yes,371506
371506003,eating,371506
394033002,pizza,394033
394033003,pizza,394033
525106000,black,525106
525106002,yes,525106
131895001,wild,131895
131895002,no,131895
131895003,no,131895
827001,yes,827
525118001,yes,525118
525119003,no,525119
525119008,no,525119
394050001,yes,394050
836000,skiing,836
836002,no,836
262985001,usa,262985
262985003,american,262985
262987001,dog,262987
262987002,pole,262987
131919000,neither,131919
131919001,no,131919
131920002,coke,131920
524431000,carriage,524431
524431001,horse,524431
524431002,no,524431
394079002,watch,394079
131938001,fur,131938
263011002,standing,263011
263014001,very,263014
263014003,yes,263014
872005,yes,872
873001,tower,873
525162001,2,525162
525170000,smiling,525170
525170001,nothing,525170
885001,kia,885
885002,adidas,885
885006,chase,885
885011,nothing,885
885014,kia,885
885017,chase,885
885020,nike,885
885022,yes,885
885024,tennis,885
885025,nothing,885
885026,polo,885
885027,tennis player,885
885028,headband,885
885029,tennis,885
885030,yes,885
885032,no,885
131965006,mountains,131965
525183003,young,525183
525183004,yes,525183
525184002,teddy bear,525184
131969004,building,131969
196759000,0,196759
196759002,0,196759
196759003,mercedes,196759
263052001,green,263052
263052002,nike,263052
263052003,lake,263052
394131002,united,394131
394131003,delta,394131
394132001,3,394132
394132002,teddy bear,394132
394133001,red,394133
394133006,white,394133
394133007,yes,394133
525208002,lights,525208
525211000,donuts,525211
525211001,eating,525211
132001000,yes,132001
132001001,no,132001
223468000,clock,223468
394157001,0,394157
132024005,no,132024
546292000,daytime,546292
482719000,3,482719
482719001,banana,482719
482719002,no,482719
132037002,gold,132037
969001,nike,969
969005,ball,969
969006,3,969
969010,3,969
969011,frisbee,969
969016,boy,969
132042000,30,132042
132042003,no,132042
974001,3,974
974002,trunk,974
263120000,no,263120
248810002,fence,248810
394199001,sunglasses,394199
985000,20,985
985003,4,985
985005,bus,985
985006,yes,985
985008,school,985
985012,flowers,985
985014,yellow,985
985015,yes,985
985018,yes,985
132059000,donuts,132059
132059002,usa,132059
394206004,2,394206
263136004,no,263136
263136005,no,263136
263136008,yes,263136
132067001,no 1,132067
525286000,new,525286
1000000,tennis,1000
1000001,tennis racket,1000
1000004,5,1000
263146000,dog,263146
263146001,2,263146
525297001,no,525297
132084000,motorcycle,132084
132084002,0,132084
132084004,grass,132084
414663002,white,414663
263163000,graffiti,263163
263163002,no,263163
263163003,bench,263163
394240003,black,394240
1029002,smoke,1029
394246001,blue,394246
263177001,china,263177
263177002,nowhere,263177
263177003,1,263177
263178000,white,263178
263178001,apples,263178
263178003,3,263178
394251001,0,394251
394251003,trash can,394251
394259001,blue,394259
394259003,table,394259
132116002,0,132116
132121000,living room,132121
132121003,living room,132121
132121004,living room,132121
263202000,0,263202
263202001,blue,263202
263202002,apple,263202
132132000,2,132132
132132001,orange,132132
132132003,bananas,132132
132132004,vegetables,132132
153094001,3,153094
153094004,night,153094
153094007,3,153094
132136000,blue,132136
132136002,bird,132136
132136010,bird,132136
263211005,rocks,263211
263211006,fence,263211
394288000,gray,394288
394288001,elephant,394288
394288002,hair,394288
525361000,1,525361
525361002,1,525361
263223007,blue,263223
263223008,skiing,263223
525369000,yes,525369
525369003,yes,525369
525369006,stripes,525369
525369007,bed,525369
525369009,nothing,525369
525369010,2,525369
525369011,yes,525369
525371001,no,525371
525373002,pizza,525373
525376002,bag,525376
1089002,man,1089
1103000,4,1103
394322000,outside,394322
394322001,sitting,394322
394322002,many,394322
394322004,many,394322
263251000,in air,263251
132182002,catcher,132182
394328000,outside,394328
263258000,baseball field,263258
263258003,white,263258
132189000,1,132189
132189003,ford,132189
394334001,12,394334
394334003,no,394334
263268000,toilet,263268
263268002,on wall,263268
525420001,no,525420
423396001,wall,423396
1138000,curtains,1138
1138005,bear,1138
263288000,orange,263288
263288001,scissors,263288
263288002,table,263288
1146001,gray,1146
1146003,suit,1146
1146005,black,1146
1146007,bear,1146
1146009,2,1146
1146010,yes,1146
263292000,2 hours,263292
263292001,yes,263292
263292003,no,263292
263292004,3,263292
1149000,no,1149
1149003,food,1149
132223000,wii,132223
1153000,3,1153
1153001,table,1153
1153002,3,1153
1153003,2,1153
1153004,yes,1153
1153009,basket,1153
1153010,3,1153
1153011,3,1153
1153013,3,1153
218646000,mountain,218646
218646001,sheep,218646
1164002,surf,1164
1171002,7,1171
1176001,ramp,1176
263323000,3,263323
263323001,yes,263323
1180000,knife,1180
1180001,pink,1180
1180002,yellow,1180
132272000,cake,132272
132272001,words,132272
132272002,unknown,132272
132272003,no,132272
394418001,wristband,394418
394418002,serve,394418
127451000,no,127451
1205000,wood,1205
1205001,2,1205
263351003,red,263351
263351004,white,263351
263351005,white,263351
263351006,no,263351
263359003,fence,263359
263359004,white,263359
132288003,hat,132288
132288004,motion,132288
394449000,1,394449
394449004,food,394449
263382000,wall,263382
263382001,noon,263382
394458002,walking,394458
394458003,no,394458
394458004,africa,394458
132317000,chair,132317
132317001,2,132317
263393001,yes,263393
263393004,red and white,263393
525542000,6,525542
525542003,1,525542
525542005,1,525542
525542006,0,525542
525542007,16,525542
525542008,downtown,525542
525542009,1,525542
525542010,daytime,525542
132328001,no,132328
525546001,no,525546
301326000,4,301326
301326002,nothing,301326
132336001,yes,132336
132336002,blue,132336
132336005,yes,132336
132336007,yes,132336
132336008,can't tell,132336
132336009,yes,132336
132336010,yes,132336
8771001,no,8771
8771002,0,8771
8771003,0,8771
8771004,burton,8771
263412001,3,263412
263412002,raining,263412
525559001,many,525559
568191002,white,568191
525568002,camera,525568
263425000,yes,263425
263425001,can't tell,263425
263425003,blue,263425
132362000,soup,132362
1292000,yes,1292
1292001,blue,1292
1292002,phone,1292
1292003,blue,1292
1292005,blue,1292
394510001,graffiti,394510
394510002,1,394510
394510005,yellow,394510
394510007,car,394510
394510008,ollie,394510
394510009,electricity,394510
394510015,skateboard,394510
394510017,yes,394510
394510018,solid,394510
394510019,yellow,394510
394510021,no,394510
394510022,yes,394510
394510025,yes,394510
394510026,white,394510
1296000,1,1296
1296001,phone,1296
1296002,phone,1296
1296003,yes,1296
525587000,no,525587
525587001,california,525587
394517002,yes,394517
132375001,orange,132375
132375002,white,132375
525600002,zoo,525600
263463000,2,263463
132393001,0,132393
132393002,0,132393
327383000,can't tell,327383
327383002,truck,327383
327383007,1,327383
263474000,white,263474
525619001,white,525619
263477001,no,263477
132408001,many,132408
1340001,no,1340
1340002,brown,1340
1342000,3,1342
1342001,phone,1342
1342002,storage,1342
1342003,0,1342
1342008,no,1342
1342009,kitchen,1342
1342010,0,1342
1342011,kitchen,1342
1342012,people,1342
1342018,floor,1342
1342024,can't tell,1342
1342025,white,1342
1342026,kitchen,1342
1342030,food,1342
1342032,phone,1342
1342033,plastic,1342
1342034,0,1342
1342038,man,1342
1342039,standing,1342
1342044,newspaper,1342
1342048,phone,1342
1342051,1,1342
1342053,nothing,1342
1342056,unknown,1342
1342061,food,1342
1342063,no,1342
1342064,3,1342
1342066,nothing,1342
1342068,0,1342
1342069,english,1342
1342072,0,1342
1342073,0,1342
1342074,unknown,1342
1342077,refrigerator,1342
1342079,phone,1342
1342082,paper,1342
1342083,phone,1342
1342086,2000,1342
1342087,0,1342
132415001,no,132415
132415005,knife,132415
132415006,ceramic,132415
132415007,no,132415
132415011,2,132415
132415014,4,132415
132415015,4,132415
132415017,restaurant,132415
132415024,large,132415
1347001,computer,1347
1347002,black,1347
1347003,yes,1347
1353002,chair,1353
1353003,cat,1353
525646001,no,525646
525646011,table,525646
174989000,formal,174989
1369005,no,1369
1374000,2,1374
1374001,background,1374
1374002,blue and yellow,1374
1374003,yes,1374
525665000,grass,525665
525665001,4,525665
525665003,horse,525665
525665004,yes,525665
525665009,3,525665
525665010,nowhere,525665
525665014,yes,525665
525666003,yellow,525666
525667001,green,525667
525667002,0,525667
554340000,rock,554340
394608000,no,394608
525682000,red,525682
525682001,0,525682
525682002,0,525682
394611000,camera,394611
1398000,jeans,1398
1398001,black,1398
1404002,red,1404
525702003,yes,525702
525702004,nothing,525702
525702006,toothbrush,525702
525702009,0,525702
525702010,wall,525702
525705000,dodgers,525705
525705003,yes,525705
394635000,people,394635
394635001,bus,394635
65773001,no,65773
1425002,no,1425
132499001,2,132499
132499003,brick,132499
132499005,noon,132499
1436000,2,1436
1436001,black,1436
1436002,no,1436
1436003,typing,1436
1436004,laptop,1436
132509000,skiing,132509
132509001,skis,132509
132509004,no,132509
263586002,30,263586
525732000,yes,525732
525732002,green,525732
394663001,tag,394663
263594001,0,263594
263594002,car,263594
394677000,black,394677
1464002,skiing,1464
394681000,stop,394681
394681001,no,394681
394681002,street,394681
394681003,car,394681
263612000,collar,263612
263612003,2,263612
263612004,carpet,263612
263613000,gothic,263613
263613001,cow,263613
263613002,brown,263613
525762001,0,525762
525762003,white,525762
525762004,yes,525762
525763000,10,525763
525763001,boat,525763
525763002,gray,525763
301201000,10,301201
132554002,yes,132554
132554003,shorts,132554
132554008,no,132554
132554013,2000,132554
525777000,train,525777
525777001,2,525777
525777002,blue,525777
331753002,little,331753
394715002,picture,394715
394715003,yes,394715
394715008,night,394715
394715009,computer,394715
394715014,computer,394715
262394002,cow,262394
132578000,chair,132578
132587000,sidewalk,132587
132587001,nike,132587
132587003,skateboarding,132587
263664001,yes,263664
263664002,3,263664
263664003,yes,263664
263664005,black,263664
263664006,bus,263664
263668000,sign,263668
263668001,usa,263668
1525000,airport,1525
1525005,airport,1525
1525006,airport,1525
1525010,no,1525
1525014,airport,1525
1525016,yes,1525
1525021,red,1525
1525026,6,1525
1532000,25,1532
1532002,5,1532
1532003,3,1532
502698000,checkered,502698
132612001,field,132612
132612002,food,132612
132612003,eating,132612
132615000,dugout,132615
22103000,eating,22103
22103003,brown,22103
263696001,yes,263696
263696005,talking,263696
1554000,no,1554
263700001,noon,263700
263700004,riding motorcycle,263700
394773001,harley,394773
394773002,black,394773
525849000,pictures,525849
525849001,glass,525849
1563000,skis,1563
1563001,no,1563
1563002,green,1563
132644000,fruit,132644
132644003,hat,132644
1573001,1,1573
1573003,nothing,1573
1577001,little,1577
1577002,daisy,1577
1577003,no,1577
132652001,phone,132652
132652003,yes,132652
132652013,phone,132652
132652017,2,132652
132652021,phone,132652
525869002,5,525869
415325001,1 way,415325
1584002,10,1584
1584005,downtown,1584
1584006,nowhere,1584
1584007,4,1584
1584008,4,1584
1584009,4,1584
1584011,24,1584
1584012,front,1584
1584015,24,1584
1584017,long,1584
394801000,2,394801
1590000,suitcase,1590
1590002,dog,1590
1591000,yes,1591
1591001,yes,1591
1591003,3,1591
153184000,4,153184
153184002,food,153184
371638001,2,371638
371638003,hello kitty,371638
22113000,red,22113
22113001,yes,22113
525903000,lettuce,525903
525903002,soup,525903
132689000,umbrella,132689
132689001,wood,132689
132690002,floor,132690
525908002,frisbee,525908
65806000,book,65806
65806002,no,65806
394840001,no,394840
394841000,1,394841
1626001,sitting,1626
132702000,broccoli,132702
132703000,skateboarding,132703
132703002,brown,132703
132706002,carrots,132706
263780001,1,263780
263780007,1,263780
263780009,ground,263780
22118000,15,22118
22118001,20,22118
525927001,boat,525927
289813002,phone,289813
1647001,flying,1647
263793000,horse,263793
263793006,horse,263793
263796000,brown,263796
1655002,yes,1655
1655007,selfie,1655
1655009,rocky,1655
132733000,no,132733
132733001,cake,132733
132733002,blue,132733
196885002,baseball,196885
196885003,blue,196885
1667000,toothbrush,1667
1667001,flowers,1667
1667002,toothbrush,1667
1668000,dodgers,1668
1668001,9,1668
1668002,1,1668
1675001,black,1675
1682002,surfboard,1682
1682008,no,1682
525971000,20,525971
525971001,no,525971
263828000,harley,263828
394904002,forward,394904
263834000,train,263834
263834002,usa,263834
263834003,police,263834
263834004,yes,263834
525988000,no,525988
525988004,0,525988
525988011,nothing,525988
525988017,christmas,525988
525988018,1,525988
525988020,living room,525988
525988027,table,525988
132776000,water,132776
132776002,yes,132776
526000000,yes,526000
526000001,0,526000
263858002,2,263858
526004000,yes,526004
526004001,no,526004
526004003,food,526004
132791002,road,132791
132791003,school,132791
263866000,unknown,263866
263866001,0,263866
263866003,7,263866
394940000,outside,394940
394940001,pizza,394940
394940002,white,394940
394941002,no,394941
394941004,water,394941
526021000,yes,526021
131361003,3,131361
263881004,trees,263881
1739000,10,1739
132814002,trees,132814
526040000,snow,526040
526044000,nothing,526044
526044005,cow,526044
526044010,cow,526044
526044015,water,526044
526044017,standing,526044
526044030,yes,526044
1757002,glasses,1757
1757003,,1757
1761003,yes,1761
1779000,sign,1779
1779001,nothing,1779
1779002,no,1779
1779003,1,1779
263929005,trees,263929
132860000,purple,132860
132860002,0,132860
132861000,white,132861
132861002,noon,132861
437205006,1,437205
437205007,no,437205
437205009,yes,437205
437205010,2,437205
437205016,yes,437205
437205023,brown,437205
1799000,no,1799
1799001,no,1799
1799003,garbage,1799
526089000,no,526089
526089001,no,526089
526089003,laptop,526089
526103001,building,526103
1818000,family,1818
263966001,white,263966
263966003,yes,263966
263973002,wood,263973
263973003,yes,263973
263973004,t shirt,263973
263973006,white,263973
526126002,no,526126
502749002,summer,502749
1840000,blue,1840
1840001,high,1840
526132000,eating,526132
526133001,5,526133
526133002,black and white,526133
1852000,red,1852
1856002,camera,1856
132931001,ball,132931
132931002,9,132931
395083006,many,395083
264013001,yes,264013
264017001,no,264017
44003000,main,44003
44003001,0,44003
44003002,1,44003
44003004,1 way,44003
264032002,silver,264032
264032007,no,264032
395113000,nowhere,395113
395113002,green and white,395113
395113003,0,395113
395113004,parking lot,395113
395113005,1,395113
526186000,knife,526186
526188001,no,526188
526188003,bird,526188
1903002,left,1903
395124000,1,395124
395124005,rectangle,395124
395124007,nothing,395124
395124008,wall,395124
526197000,3,526197
526197004,3,526197
526197006,half,526197
205196000,3,205196
175082000,fruit,175082
175082002,vegetables,175082
132992000,3,132992
133000001,nothing,133000
133000003,new york,133000
133000006,no,133000
133002001,black,133002
133002003,no,133002
133002005,4,133002
526222000,nike,526222
502766001,sheep,502766
306159001,yes,306159
306159003,2,306159
1948001,10,1948
1948002,teddy bear,1948
133025000,1,133025
133025001,3,133025
133025002,left,133025
1955000,0,1955
1960002,red,1960
133034004,3,133034
133034005,no,133034
133034006,yellow,133034
133034010,new,133034
395180001,surfing,395180
395180002,2,395180
264110001,yes,264110
526256000,2,526256
395185000,bird,395185
395185002,0,395185
133042000,10,133042
133042001,yes,133042
133042004,0,133042
133042006,yellow,133042
133042007,baseball field,133042
133042008,batting,133042
133042010,no,133042
133042011,dodgers,133042
133042012,umpire,133042
264121002,harley,264121
264121003,motorcycle,264121
264121004,back,264121
133050001,1,133050
133050003,red,133050
133050006,0,133050
133050007,0,133050
133050008,0,133050
133050010,yes,133050
133051002,2,133051
264124004,brushing teeth,264124
153249002,skateboard,153249
395210000,4,395210
395210001,water,395210
395210002,yes,395210
395210005,1,395210
175096002,yes,175096
2006003,0,2006
264155005,coca cola,264155
264155006,yes,264155
264155011,coca cola,264155
395230002,ford,395230
395230003,no,395230
133087000,yes,133087
133087001,yes,133087
264161000,table,264161
264161001,black,264161
264161004,black,264161
264161005,plaid,264161
264161006,cutting,264161
165919001,english,165919
165919002,building,165919
133104000,gray,133104
133104002,no,133104
133104003,no,133104
133104005,yes,133104
526321000,no,526321
526321002,no,526321
264180002,thumbs up,264180
175102000,banana,175102
175102001,nothing,175102
175102003,banana,175102
264191000,black and white,264191
133125000,no,133125
133125002,blinds,133125
526342002,nothing,526342
526342004,yes,526342
526342005,nothing,526342
526342007,leather,526342
133131001,street,133131
133131004,graffiti,133131
526353001,sitting,526353
526353003,yes,526353
526353004,bike,526353
526353005,yes,526353
395283001,blue,395283
526359002,lamp,526359
526359004,no,526359
395289000,bench,395289
395291002,black,395291
395291004,glove,395291
395291007,throw,395291
526364001,0,526364
526364002,gas,526364
526364003,no,526364
526364004,0,526364
133149001,5,133149
526368001,2,526368
526368002,black,526368
415408000,car,415408
415408005,orange,415408
415408006,orange,415408
415408009,nothing,415408
526371000,helmet,526371
526371002,cold,526371
133161000,nothing,133161
133161002,decoration,133161
133161003,yellow,133161
133161004,no,133161
133161006,0,133161
264238003,yes,264238
526392001,traffic,526392
526394000,1,526394
526394001,no,526394
395324002,yes,395324
395324003,2,395324
395324008,yes,395324
415413000,black,415413
415413001,yes,415413
415413002,night,415413
526401000,biking,526401
526401001,road,526401
526401002,bicycle,526401
526401003,yes,526401
526401004,yes,526401
526401007,bike,526401
526401008,road,526401
133195002,noon,133195
133195004,yes,133195
264268001,gray,264268
264268002,yes,264268
526414000,no,526414
395343000,3,395343
395344001,white,395344
264279001,front,264279
264279003,no,264279
526425000,no,526425
2139000,no,2139
2139002,bike,2139
2139004,yes,2139
2142001,3,2142
2142003,blue,2142
395364000,0,395364
395364002,umbrella,395364
2149001,apple,2149
2149002,2,2149
2149004,6,2149
2153002,blue,2153
2154001,yes,2154
2154002,luggage,2154
131431000,stone,131431
131431003,brick,131431
131431004,2,131431
131431006,2,131431
131431007,2,131431
526446000,15,526446
133233002,background,133233
395378000,sparrow,395378
395379000,no,395379
395379002,2,395379
395379003,2,395379
2164000,12,2164
2164002,red,2164
133237000,big,133237
395382000,bike,395382
395382002,skateboard,395382
526456002,no,526456
526456003,fence,526456
395388000,yes,395388
395388001,phone,395388
133251000,gray,133251
133251001,lab,133251
133251007,no,133251
133251008,lab,133251
133251010,couch,133251
133251011,lab,133251
133251013,couch,133251
133251020,no,133251
133251022,dog,133251
395402008,blue,395402
264336003,female,264336
264338001,pizza,264338
264338002,pizza,264338
526486002,decoration,526486
