QuestionID,CASCADE+BERT,ImageID
262386011,photographer,262386
262386016,no,262386
262386017,rectangle,262386
262386029,no,262386
262386032,metal,262386
262386037,gray,262386
262386040,towels,262386
262386041,yes,262386
524533000,beer,524533
524536000,standing,524536
510657000,no,510657
510657003,8,510657
510657004,stripes,510657
510657006,8,510657
393469002,blue,393469
257000,white,257
257004,vans,257
262404000,white,262404
262404001,adults,262404
262404002,woman,262404
393478000,blue and white,393478
393478001,no,393478
393478002,no,393478
131335002,no,131335
131335003,0,131335
131335004,no,131335
524333000,plastic,524333
524333005,3,524333
283000,red,283
283002,wood,283
283005,brown,283
285000,no,285
524575003,deer,524575
524577000,noon,524577
524577003,2 hours,524577
524577005,noon,524577
524577007,noon,524577
524577008,noon,524577
524577009,noon,524577
524577013,noon,524577
524577016,2 hours,524577
524577017,tower,524577
524577020,noon,524577
524577022,white,524577
524577026,roman,524577
524577027,roman numerals,524577
294003,white,294
294004,microwave,294
294007,white,294
294009,cooking,294
294014,spoon,294
294015,1,294
393511001,milk,393511
262440003,2,262440
262440004,white,262440
262440010,white,262440
262440012,2,262440
393513004,skateboarding,393513
131386000,red,131386
262460000,pictures,262460
131390002,cow,131390
262466001,0,262466
262466002,yes,262466
262466005,white,262466
262466006,blue,262466
524611000,0,524611
524611002,unknown,524611
524611005,1,524611
262471000,no,262471
262471006,stop,262471
262471008,road,262471
328001,army,328
393547001,chair,393547
262476001,5,262476
262476002,3,262476
524621010,yes,524621
524621012,yes,524621
524621013,yes,524621
524621024,both,524621
524621026,many,524621
524621027,0,524621
524621028,at camera,524621
338001,noon,338
524627002,0,524627
131416003,soda,131416
131418001,2,131418
524637000,toilet,524637
524637007,lid,524637
524638002,white,524638
393569001,night,393569
393569002,book,393569
524642003,books,524642
357002,very,357
262505002,no,262505
262509004,many,262509
262509005,ocean,262509
262509007,white,262509
393583002,usa,393583
393583004,yes,393583
524656000,counter,524656
524656001,no,524656
568040000,yes,568040
568040001,fur,568040
262514000,yes,262514
43753000,cold,43753
43753003,peace,43753
524665001,no,524665
131453003,very,131453
262531001,taking picture,262531
262531002,skateboard,262531
262531003,green,262531
262531007,2,262531
524681004,yes,524681
524681005,5,524681
524681006,green,524681
395000,black,395
395002,no,395
400000,nothing,400
524702000,0,524702
524702001,no,524702
415001,shorts,415
415003,polo,415
131493000,7,131493
131493004,2,131493
131494000,red,131494
131497000,yes,131497
428001,no,428
428002,yellow,428
393647000,0,393647
393647001,0,393647
393647003,no,393647
393647006,1,393647
262576002,no,262576
73000,can't tell,73
73002,red,73
73003,,73
262594001,red,262594
262594002,nothing,262594
524742000,white,524742
131527001,no,131527
393674003,blue,393674
393674004,0,393674
459003,no,459
262605002,nothing,262605
262608006,italian,262608
262609004,0,262609
262609007,black,262609
262609008,right,262609
262609009,yes,262609
262609013,no,262609
393682001,icing,393682
472003,big,472
262617000,white,262617
474001,red,474
262626001,yes,262626
262626003,cat,262626
262626004,red,262626
131556001,no,131556
131557000,yes,131557
131557001,pepperoni,131557
131557002,flowers,131557
486003,granite,486
524775000,double decker,524775
524775002,50,524775
524775004,back,524775
524775005,red,524775
524775006,unknown,524775
488003,10 feet,488
393710002,white,393710
393720004,concrete,393720
262651000,0,262651
131581003,2,131581
262654000,no,262654
262654001,yes,262654
524799000,4,524799
262658000,5,262658
262658001,no,262658
262658002,no,262658
520001,yes,520
520004,7,520
131597002,yes,131597
393743000,soccer,393743
393743001,white,393743
262672001,yes,262672
262677001,red,262677
262677004,red,262677
524822003,tree,524822
524822009,nothing,524822
524822011,brown,524822
524822013,0,524822
524822016,5,524822
536002,2,536
536005,1,536
536007,male,536
536013,no,536
536014,2,536
536025,silver,536
262682004,granite,262682
262682005,dishes,262682
262682007,white,262682
262682008,yes,262682
262682012,yes,262682
131611012,zoo,131611
131611015,yes,131611
262686001,white,262686
262686003,yellow,262686
262686005,yellow,262686
544000,2,544
544004,unknown,544
544007,yes,544
544008,baseball game,544
544017,no,544
327771000,2,327771
131627001,wall,131627
524844002,park,524844
524844010,wood,524844
524844014,3,524844
524844015,blue,524844
524844016,park,524844
262703000,snowboarding,262703
262703001,balance,262703
262703002,long time,262703
262703004,blue,262703
393777000,yes,393777
393777004,clean,393777
569001,green,569
569005,kite,569
569008,pink,569
445200001,food,445200
445200003,checkered,445200
445200004,paper,445200
153013000,no,153013
153013001,no,153013
153013002,hand,153013
393794002,yellow,393794
139684000,white,139684
139684002,lamp,139684
139684003,red,139684
393804001,yes,393804
393804002,no,393804
131661005,daytime,131661
590001,yes,590
393809006,2,393809
393809017,soccer,393809
262738001,nothing,262738
262738003,yes,262738
262738004,apple,262738
393811000,white,393811
393814000,rice,393814
524887003,1,524887
524887004,harley,524887
524889001,suitcase,524889
524889003,suitcase,524889
262746000,1,262746
262758000,black,262758
393836003,1,393836
437010001,phone,437010
437010002,0,437010
437010004,talking on phone,437010
393838000,no,393838
393838003,no,393838
393838004,carrots,393838
623000,white,623
623002,no,623
623003,yes,623
393840001,0,393840
187695001,cheese,187695
187695004,woman,187695
626001,2,626
632004,1,632
632007,stripes,632
636000,toilet,636
641001,4,641
641003,0,641
393858000,2,393858
393858001,,393858
393858002,4,393858
87489001,yes,87489
87489002,2,87489
87489003,downtown,87489
393864000,8,393864
262800000,yes,262800
262800002,united,262800
393874001,plaid,393874
393874003,brown,393874
393874004,young,393874
661000,cheese,661
661001,cheese,661
661003,yes,661
524957003,brown,524957
131743000,yes,131743
131743002,black,131743
524962000,air,524962
675000,sleeping,675
524977000,8,524977
524977001,no,524977
524979000,woman,524979
524979001,playing,524979
692000,no,692
693000,10,693
693002,white,693
699002,yellow,699
384101000,kite,384101
384101001,white,384101
384101002,black,384101
524992002,no,524992
524992003,red,524992
711000,stripes,711
711004,white,711
393928002,yes,393928
393928003,grass,393928
715000,many,715
715001,3,715
715003,4,715
715004,oranges,715
715006,oven,715
724002,nothing,724
724003,city,724
393942000,no parking,393942
131800002,white,131800
262873000,blue,262873
730000,unknown,730
730003,food,730
131804000,yes,131804
525021005,5,525021
525021006,no,525021
525021007,no,525021
525021008,riding,525021
525024008,many,525024
525024011,triangle,525024
131815005,picture,131815
262895000,yes,262895
262895002,yes,262895
262895003,brown,262895
262895004,no,262895
262895007,tie,262895
262895011,happy,262895
262895012,brown,262895
262895016,happy,262895
262895017,30,262895
262896000,yes,262896
262896003,breakfast,262896
43816010,dodgers,43816
43816012,catcher,43816
43816015,black,43816
43816019,blue,43816
393971000,white,393971
757003,yes,757
757009,walking,757
757014,tree,757
757016,yes,757
761005,red,761
525050000,highway,525050
525050002,0,525050
525050004,main,525050
525050006,yes,525050
525050007,red,525050
525050011,stop,525050
525050012,stop,525050
525050014,street,525050
525050015,stop,525050
525050021,stop,525050
393979002,30,393979
764000,necklace,764
764003,white,764
393982001,green,393982
393982003,nothing,393982
393982004,street,393982
393984000,nothing,393984
393984001,white,393984
393984002,man,393984
393984003,bread,393984
131841000,round,131841
525058001,white,525058
525058002,white,525058
525058004,yes,525058
525058008,3,525058
525058012,6,525058
775000,yes,775
775001,reflection,775
775002,yes,775
776003,white,776
785000,no,785
785001,background,785
785004,no,785
785005,no,785
394002001,6,394002
394002002,harley,394002
394002003,no,394002
131203000,words,131203
525077002,delta,525077
525077004,usa,525077
394009001,yes,394009
267112000,afternoon,267112
262940002,united,262940
131869002,blue,131869
525087001,outside,525087
525087003,2,525087
810000,white,810
810001,ham,810
371506000,yes,371506
371506003,eating,371506
525106000,black,525106
525106002,yes,525106
131895001,wild,131895
131895002,no,131895
525118005,3,525118
525119003,no,525119
394050001,yes,394050
394050002,solid,394050
262985001,usa,262985
262985003,american,262985
262986001,food,262986
262987001,bird,262987
262987002,snow,262987
131919000,no,131919
131920002,coca cola,131920
524431001,people,524431
524431002,no,524431
394079002,left,394079
394079003,right,394079
131938001,fur,131938
263011002,standing,263011
263014002,yes,263014
263014004,no,263014
263014010,yes,263014
263014011,zoo,263014
872001,soccer,872
872006,red,872
873001,tower,873
525162001,2,525162
525162004,white,525162
525170001,pie,525170
525170002,yes,525170
885001,kia,885
885002,kia,885
885004,grass,885
885005,yes,885
885006,chase,885
885008,green,885
885009,yes,885
885011,wilson,885
885014,kia,885
885017,chase,885
885020,mercedes benz,885
885022,yes,885
885024,yes,885
885025,nike,885
885026,mercedes benz,885
885027,woman,885
885028,headband,885
885029,yes,885
885030,mercedes benz,885
885032,no,885
131965006,mountains,131965
525183003,young,525183
525183004,yes,525183
525184002,baby,525184
131969000,red,131969
131969004,car,131969
196759000,0,196759
196759002,0,196759
196759003,0,196759
196759004,red,196759
263052002,nike,263052
525202002,white,525202
394131002,nothing,394131
394131003,delta,394131
394132000,2,394132
394132002,right,394132
394132004,floor,394132
394132005,ribbon,394132
394133002,bunk,394133
394133003,2,394133
394133006,white,394133
525208000,daytime,525208
525211001,eating,525211
132001000,yes,132001
132001001,no,132001
223468000,0,223468
240455002,short,240455
394157000,black,394157
394157001,noon,394157
394157002,yes,394157
546292000,night,546292
482719000,1,482719
132037001,no,132037
969001,nike,969
969008,red,969
969016,boy,969
132042000,30,132042
132042001,blue,132042
132042003,no,132042
132042004,blue,132042
974002,trunk,974
974003,yes,974
974004,no,974
248810002,building,248810
525272000,yes,525272
525272001,yes,525272
985000,20,985
985003,9,985
985005,pictures,985
985006,nothing,985
985008,double decker,985
985009,red,985
985012,stripes,985
985014,white,985
985015,bird,985
985019,6,985
985020,red,985
132059000,donut,132059
394206004,3,394206
263136000,brown,263136
263136005,no,263136
263136006,reins,263136
263136007,red,263136
132067001,no 1,132067
525286000,new,525286
999000,blue,999
1000001,tennis racket,1000
1000003,yes,1000
263146000,dog,263146
525297000,left,525297
525297001,no,525297
132084000,motorcycle,132084
132084002,15,132084
414663002,white,414663
263163000,graffiti,263163
394240003,yellow,394240
1029000,blue,1029
1029002,plane,1029
394246003,yes,394246
349697001,surfboard,349697
263177001,china,263177
263177003,many,263177
263178001,oranges,263178
263178003,5,263178
394251001,0,394251
394251003,yes,394251
394251004,yes,394251
394259003,table,394259
132116002,0,132116
132121002,yes,132121
109992003,brick,109992
525344000,yellow,525344
263202000,0,263202
263202001,pink,263202
263202002,samsung,263202
394275000,red,394275
394275001,yes,394275
153094001,no,153094
153094004,noon,153094
153094007,noon,153094
132136000,left,132136
132136001,20,132136
132136002,star,132136
132136009,20,132136
132136010,butterfly,132136
132136011,no,132136
263211005,fence,263211
263211006,fence,263211
394288001,elephant,394288
394288002,nothing,394288
525361000,2,525361
525361002,2,525361
263223007,red,263223
263223008,skiing,263223
525369000,yes,525369
525369002,no,525369
525369003,yes,525369
525369005,2,525369
525369006,flowers,525369
525369009,nothing,525369
525371000,red,525371
525371003,white,525371
525373000,male,525373
525376002,bag,525376
1089001,black,1089
1089002,man,1089
1103002,yes,1103
394320000,brown,394320
394320001,3,394320
394322000,outside,394322
394322002,many,394322
263251000,on ground,263251
263251001,yellow,263251
132182003,10,132182
394328000,outside,394328
394328003,no,394328
263258000,baseball field,263258
263258001,field,263258
132189000,1,132189
132189003,ford,132189
394334000,0,394334
394334001,20,394334
394334003,no,394334
263268000,toilet,263268
263268002,wall,263268
525420000,no,525420
525420001,no,525420
423396001,wall,423396
394352002,4,394352
1138005,bird,1138
263288000,blue,263288
263288001,scissors,263288
1146000,blue,1146
1146004,woman,1146
1146005,blue,1146
1146006,no,1146
1146009,2,1146
1146010,yes,1146
263292000,2 hours,263292
263292001,noon,263292
263292004,noon,263292
1149000,no,1149
1149001,2,1149
1149003,flowers,1149
1153000,3,1153
1153001,banana,1153
1153002,4,1153
1153004,yes,1153
1153005,2,1153
1153008,3,1153
1153009,basket,1153
263299001,black and white,263299
218646002,eating,218646
1164000,yes,1164
1164001,no,1164
1164002,walk,1164
1171000,no,1171
1171001,no,1171
1171002,2,1171
1176001,ramp,1176
263323002,inside,263323
263323006,2,263323
1180000,birthday,1180
1180001,blue and white,1180
132272001,nothing,132272
132272002,unknown,132272
1205000,wood,1205
1205001,8,1205
263351002,no,263351
263351004,black,263351
263351005,black,263351
263351006,no,263351
263355002,3,263355
263359003,fence,263359
132288004,motion,132288
1228000,yes,1228
394449000,noon,394449
394449004,building,394449
263382001,noon,263382
263382003,white,263382
394458000,no,394458
394458002,walking,394458
394458003,no,394458
132317000,flower,132317
132317001,0,132317
263393001,yes,263393
263393004,white,263393
525542001,england,525542
525542003,1,525542
525542005,1,525542
525542006,4,525542
525542007,4,525542
525542008,downtown,525542
525542009,1,525542
525542010,yes,525542
132328001,no,132328
525546001,serve,525546
394478000,laptop,394478
394478001,black,394478
301326000,2,301326
301326002,nothing,301326
132336000,car,132336
132336001,nothing,132336
132336002,white,132336
132336003,car,132336
132336005,yes,132336
132336007,stop,132336
132336008,can't tell,132336
132336010,nothing,132336
132336011,4,132336
132336012,traffic light,132336
8771002,0,8771
8771004,snowboard,8771
263412001,1,263412
263412003,yes,263412
263412005,noon,263412
525559001,many,525559
568191002,white,568191
525568002,camera,525568
525568003,yes,525568
525568005,yes,525568
525568011,road,525568
263425000,yes,263425
263425001,unknown,263425
263425003,black,263425
263428000,sheep,263428
132362000,rice,132362
1292000,yes,1292
1292001,blue,1292
1292003,blue,1292
394510001,graffiti,394510
394510002,1,394510
394510005,black,394510
394510008,ollie,394510
394510009,electricity,394510
394510013,no 1,394510
394510014,skateboard,394510
394510015,skateboard,394510
394510019,black,394510
394510021,no,394510
394510027,skateboard,394510
1296001,phone,1296
1296002,picture,1296
1296003,yes,1296
525587000,2000,525587
525587001,california,525587
525587002,yes,525587
132375000,roses,132375
132375002,yellow,132375
132375003,rose,132375
525600002,zoo,525600
394533000,no,394533
263463000,2,263463
263463002,lab,263463
132393000,ground,132393
132393001,city,132393
132393002,0,132393
327383000,nothing,327383
327383007,3,327383
263474000,toilet paper,263474
263474001,no,263474
525619001,white,525619
525619002,1,525619
525619011,yes,525619
132408001,many,132408
132408002,1,132408
1340000,blue,1340
1340001,no,1340
1340002,brown,1340
1342000,5,1342
1342002,art,1342
1342003,unknown,1342
1342009,plane,1342
1342010,17,1342
1342015,2,1342
1342018,book,1342
1342024,unknown,1342
1342025,yellow,1342
1342028,yes,1342
1342029,yes,1342
1342031,head,1342
1342033,plastic,1342
1342034,yes,1342
1342038,man,1342
1342042,yes,1342
1342043,yes,1342
1342045,2,1342
1342046,yes,1342
1342051,9,1342
1342056,nothing,1342
1342059,yes,1342
1342061,reading,1342
1342063,people,1342
1342068,0,1342
1342069,no,1342
1342071,blue,1342
1342072,0,1342
1342073,airplane,1342
1342074,unknown,1342
1342086,2000,1342
1342087,1,1342
1342088,black,1342
132415002,no,132415
132415004,3,132415
132415006,ceramic,132415
132415007,no,132415
132415008,no,132415
132415012,no,132415
132415014,3,132415
132415015,3,132415
132415016,box,132415
132415017,restaurant,132415
132415024,large,132415
1347001,cup,1347
1347002,white,1347
1353002,box,1353
1353003,hat,1353
525646006,cheese,525646
263505000,no,263505
263505001,no,263505
1374000,2,1374
1374001,sidewalk,1374
1374002,silver,1374
525665000,grass,525665
525665004,snow,525665
525665008,green,525665
525665010,country,525665
525665014,yes,525665
525666003,yellow,525666
525667001,black,525667
525667002,0,525667
394608000,no,394608
394608002,white,394608
525682000,red,525682
525682002,no dog,525682
394611005,standing,394611
1398000,jeans,1398
1404002,gray,1404
525702001,yes,525702
525702004,nothing,525702
525702006,camera,525702
525702008,unknown,525702
525702009,0,525702
525702010,nowhere,525702
525705000,dodgers,525705
525705001,umpire,525705
525705003,yes,525705
394635000,no 1,394635
394635002,red,394635
65773001,no,65773
1425000,yes,1425
132499001,1:05,132499
132499003,tile,132499
132499005,noon,132499
1436000,2,1436
1436003,typing,1436
1436004,hand,1436
132509004,no,132509
132510004,blue,132510
263586001,white,263586
263586002,30,263586
394659000,white,394659
525732000,yes,525732
394663001,big,394663
263594001,pigeon,263594
263594002,0,263594
394677000,black,394677
1464002,skiing,1464
394681000,nothing,394681
394681002,street,394681
394681003,fence,394681
263612000,collar,263612
263612004,hat,263612
263612007,terrier,263612
263612008,yes,263612
263613000,gothic,263613
263613001,cow,263613
263613002,brown,263613
525762001,0,525762
525762003,white,525762
525763000,10,525763
525763002,green,525763
132554002,yes,132554
132554008,no,132554
132554013,2000,132554
525777000,train,525777
525777002,red,525777
1490005,surfing,1490
331753002,lot,331753
394715002,pictures,394715
394715003,0,394715
394715008,0,394715
394715009,0,394715
394715014,phone,394715
262394003,20,262394
263647001,no,263647
263647002,yellow,263647
132587001,nike,132587
263664002,1,263664
263664003,yes,263664
263664005,blue,263664
263664006,bus,263664
263668000,walk,263668
263668001,china,263668
1525000,airport,1525
1525001,10,1525
1525004,0,1525
1525005,airport,1525
1525006,airport,1525
1525010,no,1525
1525014,airport,1525
1525016,yes,1525
1525026,many,1525
1532002,3,1532
1532003,unknown,1532
1532004,2,1532
502698000,0,502698
132612001,zoo,132612
132612002,eating,132612
132612003,zoo,132612
132615000,helmet,132615
22103000,petting,22103
22103001,no,22103
22103003,brown,22103
263696001,yes,263696
263696003,2,263696
1554000,no,1554
1554002,no,1554
263700001,noon,263700
263700003,honda,263700
263700004,taking picture,263700
263700005,red,263700
394773000,red,394773
394773001,harley,394773
394773002,black,394773
525849000,clock,525849
525849001,glass,525849
525849003,no 1,525849
1563000,skis,1563
1563002,red,1563
132644003,hat,132644
1573000,yes,1573
1573001,0,1573
1573003,nothing,1573
1577002,roses,1577
1577003,no,1577
263723001,8,263723
132652003,yes,132652
132652008,nowhere,132652
132652013,phone,132652
132652023,black,132652
525869001,grass,525869
525869002,0,525869
415325000,white,415325
415325001,stop,415325
1584005,downtown,1584
1584006,bus,1584
1584007,1,1584
1584008,1,1584
1584009,38,1584
1584011,24,1584
1584012,front,1584
1584015,1,1584
1584017,long,1584
394801001,4,394801
394801002,banana,394801
1590000,box,1590
1591001,yes,1591
1592002,black,1592
1599000,green,1599
1599001,nowhere,1599
153184001,no,153184
153184002,eating,153184
371638001,2,371638
371638003,0,371638
22113000,yellow,22113
132682004,no,132682
263758002,3,263758
525903000,broccoli,525903
525903002,soup,525903
132689000,umbrella,132689
132689001,wooden,132689
132690002,yes,132690
65806001,white,65806
394840002,right,394840
1626000,carpet,1626
132702000,broccoli,132702
132703000,yes,132703
132703002,black,132703
132706002,vegetables,132706
263780003,6,263780
263780004,no,263780
263780005,no,263780
263780009,middle,263780
525927000,no,525927
289813000,street,289813
1647001,cutting,1647
263793000,cow,263793
263793001,1,263793
263793005,afternoon,263793
263796000,blue,263796
263796002,yes,263796
1655002,yes,1655
1655007,himself,1655
132733001,food,132733
132733002,red,132733
196885002,baseball,196885
1667001,nothing,1667
1667002,fork,1667
1668000,dodgers,1668
1668001,blue,1668
1668002,2,1668
394892002,black,394892
1682002,cone,1682
1682008,1,1682
263828000,harley,263828
263828003,blue,263828
393497001,no,393497
394904000,left,394904
263834002,usa,263834
263834003,police,263834
263834004,unknown,263834
525988004,sitting,525988
525988006,fedora,525988
525988010,bed,525988
525988011,rope,525988
525988015,yes,525988
525988017,christmas,525988
525988020,bedroom,525988
525988022,big,525988
525988025,big,525988
132776002,yes,132776
526000001,0,526000
526004000,yes,526004
526004001,no,526004
132791002,road,132791
132791003,home,132791
263866000,tracks,263866
263866001,2,263866
263866002,red,263866
263866003,2,263866
394940000,back,394940
394940002,white,394940
394941004,surfer,394941
394941006,wetsuit,394941
526021000,yes,526021
131361000,no,131361
131361001,0,131361
263881004,trees,263881
1739001,no,1739
1739002,chicken,1739
394957002,yes,394957
526040000,no,526040
526044000,water,526044
526044002,yes,526044
526044003,grazing,526044
526044004,yes,526044
526044005,bull,526044
526044011,yes,526044
526044014,land,526044
526044017,standing,526044
526044030,yes,526044
526044033,mountains,526044
1757002,glasses,1757
1757003,,1757
1761003,yes,1761
427782002,no,427782
1779000,0,1779
1779001,,1779
263929005,clouds,263929
263929006,sand,263929
132860000,brown,132860
132860001,7,132860
132860002,0,132860
132861000,white,132861
132861002,noon,132861
132861003,3,132861
132861010,yes,132861
437205007,no,437205
437205010,2,437205
437205016,lap,437205
437205022,lap,437205
437205023,brown,437205
1799001,unknown,1799
1799003,food,1799
1799004,no 1,1799
526089001,no,526089
526089003,0,526089
526091003,female,526091
427783001,black,427783
526103001,box,526103
526103002,no,526103
263961000,red,263961
263961002,purple,263961
263966001,pink,263966
263969000,nothing,263969
263969001,6,263969
263969003,black,263969
263973004,t shirt,263973
263973005,wetsuit,263973
263973006,white,263973
526126002,no,526126
502749002,summer,502749
1840000,blue,1840
1840001,high,1840
524595000,20,524595
526132001,cement,526132
526133001,4,526133
1852000,brown,1852
526143001,no,526143
1856001,yellow,1856
132931000,yes,132931
132931002,1,132931
395083005,beach,395083
395083006,0,395083
395083009,15,395083
264013003,red,264013
264017000,table,264017
44003000,main,44003
44003001,0,44003
44003002,1,44003
44003004,stop,44003
264032002,silver,264032
264032005,white,264032
264032007,no,264032
395113001,blue and white,395113
395113002,blue and white,395113
395113003,2,395113
395113005,2,395113
395113006,white,395113
526186000,cup,526186
526186001,woman,526186
526188000,yes,526188
526188003,bird,526188
1903000,blue,1903
1903002,left,1903
395124000,4,395124
395124005,rectangle,395124
395124007,flowers,395124
395124008,door,395124
526197000,3,526197
526197004,12,526197
526197005,10,526197
526197006,unknown,526197
205196000,6,205196
205196003,dessert,205196
132987002,1,132987
175082000,soup,175082
175082001,white,175082
175082002,sandwiches,175082
133000001,nothing,133000
133000003,new york,133000
133000009,red,133000
133002001,black,133002
133002003,no,133002
526222000,nike,526222
502766001,sheep,502766
306159002,1,306159
1948000,brown,1948
1948001,2,1948
1948002,bird,1948
133025000,1,133025
133025001,5,133025
133025002,left,133025
1960002,blue,1960
133034000,sony,133034
133034004,1,133034
133034005,no,133034
133034007,cell phone,133034
133034008,bed,133034
395180001,biking,395180
395180002,1,395180
526256000,1:05,526256
526256002,no,526256
395185001,fence,395185
395185002,white,395185
133042000,27,133042
133042004,25,133042
133042006,white,133042
133042007,baseball field,133042
133042008,yes,133042
133042011,red sox,133042
133042012,umpire,133042
264121004,back,264121
133050001,1,133050
133050003,black,133050
133050006,6,133050
133050008,5,133050
133050010,yes,133050
133051002,solid,133051
1987002,red,1987
153249000,0,153249
153249002,person,153249
153249006,skateboarding,153249
395210000,noon,395210
395210001,wall,395210
395210002,no,395210
395210005,noon,395210
175096002,yes,175096
2006001,blue and white,2006
2006002,red,2006
2006003,0,2006
2006005,red,2006
264155005,0,264155
264155006,yes,264155
264155011,coca cola,264155
395230001,truck,395230
395230002,sedan,395230
395230003,no,395230
395230004,truck,395230
133087001,yes,133087
133087002,yes,133087
264161000,purse,264161
264161001,black,264161
264161004,black,264161
264161006,sitting,264161
165919001,english,165919
133100000,no,133100
133104000,green,133104
133104002,no,133104
133104003,no,133104
133104005,yes,133104
264180002,petting,264180
175102001,nothing,175102
264191000,black and white,264191
133125001,gold,133125
526342002,yes,526342
526342003,coca cola,526342
526342005,food,526342
526342007,wood,526342
264201001,no,264201
264201002,red,264201
133131001,1 way,133131
133131004,nothing,133131
526353003,yes,526353
526353005,luggage,526353
395283001,rainbow,395283
133142000,no,133142
133142002,green,133142
526359002,lamp,526359
526359004,0,526359
395289001,afternoon,395289
395289002,above,395289
395291002,red,395291
395291003,pitching,395291
395291004,glove,395291
395291005,no,395291
395291007,throw,395291
526364001,0,526364
526364002,gas,526364
526364003,no,526364
133149001,many,133149
264222000,no,264222
526368000,no,526368
526368001,2,526368
526368002,black,526368
415408000,truck,415408
415408002,yellow,415408
415408003,3,415408
415408005,red and white,415408
415408006,red and white,415408
415408009,can't tell,415408
526371000,helmet,526371
526371001,yes,526371
526371002,soft,526371
133161000,fruit,133161
133161002,identification,133161
133161003,blue,133161
133161004,no,133161
133161005,store,133161
133161006,1,133161
526392000,no,526392
526392001,graffiti,526392
526394000,1,526394
526394001,no,526394
395324002,yes,395324
395324003,2,395324
395324005,red,395324
395324006,yes,395324
395324008,yes,395324
395324009,black,395324
395324010,red,395324
415413002,noon,415413
526401003,no,526401
526401008,mountain,526401
133195002,noon,133195
133195003,no,133195
264268002,yes,264268
526414000,no,526414
395344001,white,395344
526418002,red,526418
264279001,front,264279
526425001,lab,526425
526425003,lab,526425
133210001,blue,133210
133210002,blue,133210
2139000,no,2139
2139001,yes,2139
2139002,bicycle,2139
2139004,yes,2139
2142003,black,2142
395364000,5,395364
395364002,umbrella,395364
2149001,fruit,2149
2149002,4,2149
2153000,yes,2153
2154000,yellow,2154
2154001,yes,2154
2154002,food,2154
131431000,brick,131431
131431003,brick,131431
131431004,evening,131431
131431006,blue,131431
131431007,1:05,131431
2157002,carrots,2157
526446000,12,526446
526446003,red,526446
133233002,water,133233
395378000,electric,395378
395378003,no,395378
2164000,10,2164
2164002,red,2164
133237000,big,133237
395382000,police,395382
395382002,sidewalk,395382
526456003,wall,526456
2171004,yes,2171
133251000,white,133251
133251008,terrier,133251
133251010,house,133251
133251011,terrier,133251
133251013,couch,133251
133251016,yes,133251
133251020,no,133251
133251022,cat,133251
395402005,yes,395402
395402006,heart,395402
395402008,blue,395402
395405004,1,395405
264336001,blue,264336
264336003,female,264336
526486000,no,526486
